tbl,idx,stat
"v1_d53d93c70ac02cbb551a46a219cc071a21e8ecbd7e0c874f246109eb248c7363","","1"
"v1_1ff094b9a73bb471de04c9a92447166cf697ad7df5ecdad6017d5ccbc9610077","","3"
"v1_90922a666e785f35981cd4f6abaf467e5cc56c4de2a9921f193d6c41488781f6","","43"
"v1_b9ef5e69ec5b104acfbd481bdcb2d6cb122308954b8ec49f05e6026771c42c4b","","368"
"v1_884838265cab4b52a0442f258fa425bf26621bc135e1db1affddd5fc1c09899a","","50"
"v1_2724629361527c33abafc78a85259714901ebf842f98b619997f88a383e845ab","","11"
"v1_8773ac4287d5999210374e07cec9e00f325385683721f0b45dde58952b480e34","","1"
"v1_3da598008e1ced5f036ba615a5788e011fef3e69d75ea99d2fbc5988070b25e9","v1_3da598008e1ced5f036ba615a5788e011fef3e69d75ea99d2fbc5988070b25e9_0_3177da9bd92bfe068cfb73054af981b29dc121484e1424dc5ab47be84bee0476","1468 4"
"v1_2f02be1cadeb12382e45ac567d6968775962939dbce83db739b72bb3c62df97d","","3"
"v1_21fe4021cdbbbd01fecb48848cecb10345866411751daf0c41ae59a38066f816","v1_21fe4021cdbbbd01fecb48848cecb10345866411751daf0c41ae59a38066f816_0_31f5a62328e0a2da41e519cc021be43ec2b9cea31102c6e4ac02bc63b00cbc40","449 1"
"v1_4bf59e5c6cf3aca7658e9959479a7fd361a71677cc10b478352548f80a4b7339","","6"
"v1_54b42e24953da8f34ea531da327dad8407140b8ab0b29e74d51ac939920c8098","v1_54b42e24953da8f34ea531da327dad8407140b8ab0b29e74d51ac939920c8098_0_bb1195240eb47f0002f5037cad43f95ecc6f5b02b53d8f98f9432dc4b64751e1","846 106"
"v1_05fdf487700474257348ef79890b340bb1d1b4ae148c3d86723c9b581f8c6927","","5"
"v1_1b3efa24f45cfd36fb46b5849d7c913dacc8451284de44a57ae2df700667fa46","v1_1b3efa24f45cfd36fb46b5849d7c913dacc8451284de44a57ae2df700667fa46_0_49109959532333cb2b8ef4f3bfc110fe6f53711e249b8b18e460a39a78d96854_1_cb30c605c278f45269cb0e8901a0b340e50728bfd919b3bcc3881cc39aa80c9c","24 8 4"
"v1_79f73a097c424959a2b32b77c2b6e2ba7c97bdaa8848de316463ce8be6ddcf73","","30"
"v1_0b1dfb6b6634b6e9ce8f74bb1039023b6faf2dc1dfdc62703385d4b368ebeb64","","1"
"v1_0ade83a5f91f60d5ff2b0a733a3b5eba053fb227392cd622352fe0cfd59a7799","v1_0ade83a5f91f60d5ff2b0a733a3b5eba053fb227392cd622352fe0cfd59a7799_0_1c39ac5b12608dfaa28eedcf1bc0098a31ae3ac89273bcee526127c2aa737129","62 11"
"v1_3db2ac6143a3d7cf16162c14359f4e16554e5c4a5c103cdf4551914fa307074f","v1_3db2ac6143a3d7cf16162c14359f4e16554e5c4a5c103cdf4551914fa307074f_0_de90fbd08fd3fca9d999f29642c87702e474cc3220dad8104684308cf456a948","17 17"
"v1_f48b24d61b9ac2f23fd5ee47caa7ad49f8f364a37e2cc6fd89ac209812534e13","v1_f48b24d61b9ac2f23fd5ee47caa7ad49f8f364a37e2cc6fd89ac209812534e13_0_271c08316b56ab0c838d6860ec5624485c85b8e33f57dd2d3f0adcb85749350b","15 15"
"v1_75c3285da51726b779964644ab9575a7a5694adc659874290dabed8d3fb6f5dc","v1_75c3285da51726b779964644ab9575a7a5694adc659874290dabed8d3fb6f5dc_0_ec256459883cfa5f57621168c52fd7beeff3f04c332c05cbc3110b3ab471fb9c","3374 20"
"v1_688a069cbfffaa7d5b5418878a9634c8068ae772a1248fd52b6ca33f93db7bdd","","30"
"v1_e639d0dcc38f4befac7e43ed2c50ac089f7e3df22c0b5aa80341541509c91cb7","v1_e639d0dcc38f4befac7e43ed2c50ac089f7e3df22c0b5aa80341541509c91cb7_0_c4806e1582512b786831520bf01ba13c3ef41c4af8f5fa5026b1a70c00997740","520 2"
"v1_e639d0dcc38f4befac7e43ed2c50ac089f7e3df22c0b5aa80341541509c91cb7","sqlite_autoindex_v1_e639d0dcc38f4befac7e43ed2c50ac089f7e3df22c0b5aa80341541509c91cb7_1","520 2 1"
"v1_1b46e5ef257aa308f850635ff7ce06c3f2aacca5fc469c8f709fec0c1b914e52","","124"
"v1_51ee2aa03c5601b1e5b6412898c015dc7bd0181a3759461a0edff2f36a3ca96b","","10"
"v1_3238ddafed0ca2d495980a9d80e042da3ee287e77623d915275a31cf62d0c8a8","v1_3238ddafed0ca2d495980a9d80e042da3ee287e77623d915275a31cf62d0c8a8_0_1750f0b9ef8a4c7f6ce06f29af995b80c28204f992d378f4464f48b57623b07e","100 1"
"v1_86fa54ed4bb32021201e882688c57973334640f058264efe7c52a1f904ac8b33","","3"
"v1_ad8842a22cd49b4dd282d661a83e379746ed233d0b825463530e823fd94c621b","","25"
"v1_9ed5533c70527d33830ebc65301b3fd48733a07928d40e3d025dbf4f43767cf6","v1_9ed5533c70527d33830ebc65301b3fd48733a07928d40e3d025dbf4f43767cf6_0_fbbd485147f989f5db1a69fb888de64eba9536b368fbe28d77244aa6ab38d1e2","1 1"
"v1_1daee82a3599543a4364d049e03d389ef9038222cbd529b3182eddb6c1b3aac1","v1_1daee82a3599543a4364d049e03d389ef9038222cbd529b3182eddb6c1b3aac1_0_aa9a658e8983d64855219bb12e6fc9203d3a19d47a9ba9c020120a1c9606c819","3 1"
"v1_c8e53722a9e45beeecae4dc3e02b64b4da3b49109287651bc0e69000cf8ade62","v1_c8e53722a9e45beeecae4dc3e02b64b4da3b49109287651bc0e69000cf8ade62_0_0245f10dc8b7e2642191e19598dd8a9a800844aeffdcc177f0dbe69167938120","21 2"
"v1_c8e53722a9e45beeecae4dc3e02b64b4da3b49109287651bc0e69000cf8ade62","v1_c8e53722a9e45beeecae4dc3e02b64b4da3b49109287651bc0e69000cf8ade62_0_df9a3a08077e8589be547c41fd7a9ac37e6b1fc5ad2113d22f4a6c335ee68bb1","21 4"
"v1_c8e53722a9e45beeecae4dc3e02b64b4da3b49109287651bc0e69000cf8ade62","v1_c8e53722a9e45beeecae4dc3e02b64b4da3b49109287651bc0e69000cf8ade62_0_929d430bc6207c72ab2d6411928f26521fc0bad37fb2d014f7c2a5e38170792e","21 11"
"v1_fa3100ec2df5318960fe11aef12ea810a034836c228eae62cff4ba8d76320508","v1_fa3100ec2df5318960fe11aef12ea810a034836c228eae62cff4ba8d76320508_0_49ff8144d6383d89c4a05130cd129bea3fbb4cf6b13937461a74cd7031323240","54 54"
"v1_4e19ccfe84d9872748bca33e2ebeefd4c46b6e6f3032c8a8990d3a349950479e","","500"
"v1_db8fbf678c16ac3d71b0f1a1184f4b2a6a47cbf5d1496d640458baa6a300f69e","v1_db8fbf678c16ac3d71b0f1a1184f4b2a6a47cbf5d1496d640458baa6a300f69e_0_45394aeec26a2cf8bf48e67d2e7a2d677d0ccc580c10a7e56de1ff8bcfe4379d","510 57"
"v1_1c9b2998915f7425e7b69400234d72d7f85fa27bb3441a8d52d247ec657712bd","v1_1c9b2998915f7425e7b69400234d72d7f85fa27bb3441a8d52d247ec657712bd_0_d94594f1a3bbd68eb24fe8ff370fb0e15dc140c7acd21bab2a67c3a778769b3c","10 1"
"v1_e931ef16fe0ccdd843c84c0cf31c430f08382a0abe895650285483cc2f5a14cb","v1_e931ef16fe0ccdd843c84c0cf31c430f08382a0abe895650285483cc2f5a14cb_0_fee63172e56e3141851b618704ab996d63797b09e22c4007902b2edeb3980c30","1155 6"
"v1_5ad12721444990a2a7652d09f2c210d802dd32feabaaa2d782d1722091366774","","19"
"v1_d4b72fa8f28f9d441d790cb5885553c6d05f668eca50b737f4fea8b540a5dce0","","1145"
"v1_259e764c040667c8b6d6d9ea67f779400dcb3ae538556bd328d5b624a83d32b5","","2"
"v1_24a2bd01a4c923301da92e08f435b061bb7858d6600be8c64a87f495e215557b","","1"
"v1_b08bd907ea90708775e40abb30ccb55500f567b0d8856030d6008615a445e65e","","81"
"v1_1201d4e453a6ca31990f5805e8567c9191adb6c5c6562c748849c9b372237ae8","","43"
"v1_57567c80421c8587fb26ffac6ea47109261680e7531d528675d88fd3455e7a18","","5"
"v1_c78c38812280693c7657dd1a1acb699ca92f29a37eb455a7d7dd8a69d108adc2","v1_c78c38812280693c7657dd1a1acb699ca92f29a37eb455a7d7dd8a69d108adc2_0_36ab3b904c15ae05662560e1305d6c253607cb245add9924bde814e6045c2a96","100 1"
"v1_66c52622d87b58a626ceab669e9a0f51d7b716c19f77a50930e9380e5d7bcc1e","sqlite_autoindex_v1_66c52622d87b58a626ceab669e9a0f51d7b716c19f77a50930e9380e5d7bcc1e_1","7 7 1"
"v1_6d2895362e469abdd5b7722b8f801033872fe5daf069d23a2f4c5dc248144322","v1_6d2895362e469abdd5b7722b8f801033872fe5daf069d23a2f4c5dc248144322_0_62430869cc1c21f5ba847921cb06128e5276ddd891e4cf16125cc3cfb3c43e03","50 50"
"v1_6d2895362e469abdd5b7722b8f801033872fe5daf069d23a2f4c5dc248144322","v1_6d2895362e469abdd5b7722b8f801033872fe5daf069d23a2f4c5dc248144322_0_62430869cc1c21f5ba847921cb06128e5276ddd891e4cf16125cc3cfb3c43e03_1_00862cb7238f6c416966cca01edecd7033a8eb902c8bcdd7476059e09811e9b6","50 50 13"
"v1_8ff7577ca242d2c80213698f1ec8cb653327b9b7b630d44aa9dbdabbd50eb97c","","1229"
"v1_40c518dc5a19e61bf62988d0cba4f1e8a37c92b78aa06f15edce0b474eb828d6","","1"
"v1_fecd3c1bc44a240975a619aa4c1197e7d48b4291f35bba450d089d3d7c50831c","v1_fecd3c1bc44a240975a619aa4c1197e7d48b4291f35bba450d089d3d7c50831c_0_6af5ca57da2248557a3e609990e98a1945d03befe6da0281ab014eb12b25d5d9","146 7"
"v1_f601edfd7a1ac86cc12c7ac1d8d64df1865eda55526eac6d40b74684b493af9b","v1_f601edfd7a1ac86cc12c7ac1d8d64df1865eda55526eac6d40b74684b493af9b_0_f7feb6e0c82c49ba9541f7f042a8736a36e0caa4945a0b3a84fe141cc623cf2c_1_cc9ec27cbb2480db68f296b0cbca56baced3ce2feaa24a029064ebf84d77b61a","389 26 3"
