326c5c22e2ae3dea89588395043ad07f0bb4a909ccd7aa3786316a170ff8b2cd,d406c14c9a15f127866003cc8cb876f174cc58642984bdace087aaa3e91afaa3,cf542c67fd4625aedf2c1da0946976e517eeb209575aed2a6b8316ce00555633,d233f476e740ca04d8a89ad87d81e309f23896c866f92a0743429784f4e82743,17be8087caa383494ddba2b75265472938afbf27e94ad6e835b001677010973a,a74da0e0b98ec67bf31c5f9c47f482d95c8712db637001cbfbaea038a474664c,0c9e3b639ca109f186e8075bdcfbccd2c787eb9cd823084e6a6df71d661641ed,dc12fa28b1aad8148816b2e98d88c7dfc30d7b4244b3377b410318c8dd42b4b0,72eda993f8853ca1c29701762bf5612d321699685a193f40a8d6363392ce8c17,ef19572a00054b822dd350af80af7140466f8d4b80e173226967ff46cad87a1c,4d95671e8f530affdaec2c23106909c992b5e8bbdee3e050e6aea147dda92170,793c7254e8c659f1e4abce361af5e192f6c487a78ec75dec1ea3d33c56f1d76c,b08600a9a938a122a32a8095810040bcaa21efa743083025017fb49e974ca783,4449113f3a19ee009cb72f2bce190d57442fdc0e2d64b735c14ec3b53fb62d52,004cc7c4d6ae3978d0fdf2b5d97f22484a581a178ca0c058fe97c2ffe57db158,d2a139c494d668913e9766d94695fc7936882f4979f18669fcbbad4b090f7915,1b8e3a223e0dc94eea932be27581f206cfe07ea40c95d6ba7c55a5bc88500196,6f27ff5cb6cb3cd65c11032e489c6c44d8f4771b6dee07fcdc30a1abb56c4f88
"90005","3","100","12","300000","94002","30","2","1001","4","2","91002","1","150003","8","20004","8","3"
"90005","3","150","12","400000","94002","30","4","1001","4","2","91002","2","150004","60","140001","8","3"
"90005","3","150","12","500000","94002","30","2","1001","4","2","91002","3","150005","10","20004","8","3"
"90005","3","200","12","750000","94002","30","4","1001","4","2","91002","4","150006","90","140001","8","3"
"90005","3","200","12","1000000","94002","30","2","1001","4","2","91002","5","150007","1","21951","8","3"
"90005","3","100","12","300000","94002","30","2","1002","4","2","91002","1","150003","8","20004","8","3"
"90005","3","150","12","400000","94002","30","4","1002","4","2","91002","2","150004","60","140001","8","3"
"90005","3","150","12","500000","94002","30","2","1002","4","2","91002","3","150005","10","20004","8","3"
"90005","3","200","12","750000","94002","30","4","1002","4","2","91002","4","150006","90","140001","8","3"
"90005","3","200","12","1000000","94002","30","2","1002","4","2","91002","5","150007","1","21951","8","3"
"150004","3","50","12","300000","94002","100","2","1003","4","4","91002","1","150003","8","20004","8","100"
"90005","3","100","12","400000","94002","50","4","1003","4","2","91002","2","150005","60","140001","8","5"
"94002","3","100","0","0","0","50","2","1003","4","12","91002","3","150006","10","20004","8","500000"
"90005","3","150","12","750000","94002","50","4","1003","4","2","91002","4","150007","90","140001","8","10"
"94002","3","150","0","0","0","50","2","1003","4","12","91002","5","150008","1","21951","8","1000000"
"150004","3","50","12","300000","94002","100","2","1004","4","4","91002","1","150003","8","20004","8","100"
"90005","3","100","12","400000","94002","50","4","1004","4","2","91002","2","150005","60","140001","8","5"
"94002","3","100","0","0","0","50","2","1004","4","12","91002","3","150006","10","20004","8","500000"
"90005","3","150","12","750000","94002","50","4","1004","4","2","91002","4","150007","90","140001","8","10"
"94002","3","150","0","0","0","50","2","1004","4","12","91002","5","150008","1","21951","8","1000000"
"150004","3","50","12","300000","94002","100","2","1005","4","4","91002","1","150003","8","20004","8","100"
"90005","3","100","12","400000","94002","50","4","1005","4","2","91002","2","150005","60","140001","8","5"
"94002","3","100","0","0","0","50","2","1005","4","12","91002","3","150006","10","20004","8","500000"
"90005","3","150","12","750000","94002","50","4","1005","4","2","91002","4","150007","90","140001","8","10"
"94002","3","150","0","0","0","50","2","1005","4","12","91002","5","150008","1","21951","8","1000000"
"150005","3","50","12","300000","94002","100","2","1006","4","4","91002","1","150004","8","20004","8","100"
"90005","3","100","12","400000","94002","50","4","1006","4","2","91002","2","150006","60","140001","8","5"
"94002","3","100","0","0","0","50","2","1006","4","12","91002","3","150007","10","20004","8","500000"
"90005","3","150","12","750000","94002","50","4","1006","4","2","91002","4","150008","90","140001","8","10"
"94002","3","150","0","0","0","50","2","1006","4","12","91002","5","150009","1","21951","8","1000000"
