1d09420c7a07291e47feeb2a854424207ff7f1344ebde98543b3d7074bebad00,d250881ed7b734a5c6059009bbf82a52989f472213dd5f5eef0f403a633ab7ec,cc1a65a504fe6d5212e43c53fe342fa728d920c36d96d22b40fde34afbd1ce61,5e4876744acae6b69742b6d5e69d7377c7fecd8e543445602582033a0f634655,77f365216bd3cca7c4d7df3e20499f143734132d456e1a3fc9c80c71aa5e22fd,810ed15699f0b3da175df37eea72357e4c7987231909db20a791422290ea2624,e0d1b322b5c3e2ae64b349b0cdb62ab0077b8b34eac16320fce9f40bb228a69a
"0","1","0","1","1","1","1"
"0","4","0","1","1","2","2"
"12","5","0","1","1","3","1"
"0","2","0","1","1","4","2"
"0","8","0","1","2","5","1"
"0","1","0","2","1","1","1"
"0","1","0","2","1","2","2"
"0","6","0","2","1","3","1"
"0","1","0","2","1","4","2"
"0","1","0","2","1","5","3"
"11","3","0","2","3","6","1"
"0","1","0","2","1","7","2"
"0","3","0","2","1","8","1"
"0","1","0","2","2","9","1"
"0","1","0","3","1","1","1"
"0","10","0","3","1","2","2"
"0","11","0","3","1","3","1"
"0","5","0","3","1","4","2"
"0","6","0","3","1","5","3"
"0","3","0","3","1","6","3"
"9","3","0","3","2","7","4"
"0","7","0","3","1","8","4"
"0","1","0","3","1","9","4"
"8","9","0","3","3","10","1"
"0","4","0","3","1","11","2"
"0","1","0","3","1","12","1"
"0","3","0","3","1","13","4"
"11","3","0","3","2","14","3"
"10","4","0","4","1","1","1"
"12","12","0","4","1","2","1"
"10","1","0","4","1","3","2"
"4","11","0","4","1","4","1"
"0","1","0","4","1","5","2"
"13","4","0","4","1","6","1"
"6","2","0","4","1","7","2"
"0","8","0","4","1","8","1"
"10","8","0","4","1","9","2"
"10","1","0","5","1","1","1"
"5","11","0","5","1","2","2"
"7","1","0","5","1","3","1"
"12","5","0","5","1","4","2"
"11","1","0","5","1","5","1"
"4","3","0","5","1","6","2"
"12","5","0","5","1","7","2"
"6","2","0","5","1","8","1"
"4","11","0","5","1","9","2"
"8","8","0","5","1","10","1"
"10","4","0","5","1","11","1"
"10","5","0","5","1","12","2"
"7","8","0","6","1","1","1"
"10","4","0","6","1","2","2"
"11","1","0","6","1","3","1"
"8","8","0","6","1","4","2"
"6","11","0","6","1","5","1"
"7","2","0","6","2","6","1"
"4","5","0","6","1","7","1"
"10","4","0","6","1","8","2"
"13","10","0","6","2","9","1"
"7","8","0","7","1","1","1"
"10","12","0","7","1","2","2"
"12","4","0","7","1","3","2"
"7","11","0","7","1","4","1"
"10","1","0","7","1","5","1"
"12","5","0","7","1","6","2"
"11","5","0","7","1","7","2"
"10","8","0","7","1","8","2"
"8","2","0","7","1","9","1"
"7","8","0","7","1","10","1"
"9","4","0","7","1","11","2"
"10","1","0","8","2","1","1"
"10","12","0","8","1","2","2"
"5","12","0","8","1","3","1"
"12","5","0","8","1","4","1"
"10","1","0","8","1","5","2"
"12","5","0","8","1","6","1"
"12","5","0","8","1","7","1"
"10","1","0","8","1","8","2"
"9","8","0","8","1","9","2"
"9","4","0","8","2","10","1"
"8","4","0","9","1","1","1"
"10","5","0","9","1","2","1"
"7","4","0","9","1","3","2"
"8","6","0","9","1","4","2"
"10","1","0","9","1","5","1"
"11","11","0","9","1","6","1"
"6","1","0","9","1","7","1"
"8","5","0","9","1","8","2"
"7","8","0","9","1","9","2"
"6","4","0","9","1","10","1"
"10","11","0","10","1","1","2"
"7","1","0","10","1","2","1"
"8","8","0","10","2","3","1"
"9","5","0","10","1","4","2"
"8","10","0","10","1","5","1"
"7","1","0","10","2","6","1"
"6","2","0","10","2","7","1"
"10","11","0","10","1","8","1"
"10","8","0","10","1","9","2"
"8","9","0","11","1","1","1"
"0","5","0","11","1","2","2"
"12","6","0","11","1","3","2"
"5","1","0","11","1","4","1"
"10","5","0","11","1","5","2"
"12","6","0","11","1","6","2"
"4","1","0","11","1","7","1"
"0","11","0","11","1","8","1"
"0","6","0","11","1","9","1"
"10","1","0","11","1","10","2"
"11","6","0","11","1","11","1"
"12","1","0","11","1","12","2"
"6","5","0","11","1","13","2"
"7","10","0","11","1","14","1"
"7","4","0","11","1","15","2"
"4","11","0","12","1","1","2"
"5","1","0","12","1","2","1"
"10","6","0","12","1","3","2"
"10","5","0","12","1","4","2"
"0","11","0","12","1","5","1"
"0","6","0","12","1","6","2"
"17","12","0","12","1","7","2"
"1","5","0","12","1","8","1"
"2","1","0","12","1","9","1"
"10","6","0","12","1","10","2"
"10","4","0","12","1","11","2"
"0","1","0","12","1","12","1"
"13","5","0","12","1","13","1"
"8","11","0","12","1","14","2"
"10","8","0","12","1","15","1"
"10","11","0","13","1","1","1"
"8","11","0","13","1","2","3"
"0","6","0","13","1","3","2"
"10","11","0","13","1","4","1"
"7","11","0","13","1","5","2"
"6","2","0","13","1","6","3"
"0","1","1500","13","1","7","3"
"5","11","0","13","3","8","1"
"10","5","0","13","1","9","3"
