3669937550574b7d44f0818d1718b54844ff7ebaf7bc17872873a21b4157f56c,9e5b781874b7e0cc73c72d00161b0ef06b8f60e584229acecf44d7eaf3aa6f46,6d6e58d2f2463bbec2579cd5c2fdb5ee9e068b549cebf2bb84e29add821741fa,a5300a5622d7c01af3f7811f43fbd0f69bb43a12ee4e13d55f83bf9a9ce82c4a
"2","1061002","1061101","1061001"
"2","1061003","1061102","1061001"
"2","1061012","1061111","1061001"
"2","1067001","1067101","1067001"
"2","1068001","1068103","1068001"
"2","1068002","1068101","1068001"
"2","1068003","1068102","1068001"
"2","1068012","1068111","1068001"
"2","1069001","1069101","1069001"
"1","1158001","1158100","1158001"
"2","1158002","1158101","1158001"
"2","1158003","1158102","1158001"
"2","1158012","1158111","1158001"
"2","1158203","1158102","1158001"
"2","1164001","1164101","1164001"
"2","1182001","1182101","1182001"
"2","1185001","1185101","1185001"
"2","1186001","1186101","1186001"
"2","1208002","1208101","1208001"
"2","1208012","1208111","1208001"
"2","1220001","1220101","1220001"
"2","1223002","1223101","1223001"
"2","1223003","1223102","1223001"
"1","1223011","1223110","1223001"
"2","1223012","1223111","1223001"
"2","1227001","1227101","1227001"
"2","1230001","1230101","1230001"
"2","1250002","1250101","1250001"
"2","1250003","1250102","1250001"
"2","1250012","1250111","1250001"
"2","1258001","1258101","1258001"
"2","1260001","1260101","1260001"
"2","1261001","1261101","1261001"
"2","1262001","1262101","1262001"
"2","1264001","1264103","1264001"
"2","1264002","1264101","1264001"
"2","1264003","1264102","1264001"
"2","1265001","1265101","1265001"
"2","1290001","1290101","1290001"
"2","1293001","1293101","1293001"
"2","1294001","1294101","1294001"
"2","1295001","1295101","1295001"
"2","1296001","1296101","1296001"
"2","1297001","1297101","1297001"
"2","1300001","1300101","1300001"
"2","1301001","1301101","1301001"
"2","1312001","1312101","1312001"
"2","1318001","1318101","1318001"
"2","1320001","1320101","1320001"
"1","1321001","1321100","1321001"
"2","1321002","1321101","1321001"
"2","1321003","1321102","1321001"
"2","1329001","1329101","1329001"
"2","1338001","1338101","1338003"
"2","1338002","1338102","1338003"
"2","1345001","1345101","1345001"
"2","1812001","1812101","1812001"
"2","4319012","4319101","4319012"
