cf717e04f45de25c1ef70cb70110cfe785a85ebf8c6f4cda40309139414fee7d,1f03d0cdfdada0c9d732896df1156749486a8325e6e8a4eb49ef31930fa0509a,cd666a3fa02115a01358a25df504ead8645f72c2b915a3d293ba817f9fa86b9d,8f5ffc7975f98a1815ced09f913c1f37822e6def0a6abc16f0c87171b7b39dd2,c24d84d908e4923193225ee6e8027f1ed69a0c52849066aed4559893a95c7966
"100","30","10001","10","255"
"100","34","10002","10","110"
"100","37","10003","10","185"
"101","41","10004","10","388"
"100","46","10005","10","603"
"100","51","10006","10","696"
"100","54","10007","10","478"
"101","58","10008","10","240"
"100","62","10009","10","371"
"100","67","10010","10","253"
"100","71","10011","10","408"
"100","75","10012","10","342"
"101","78","10013","10","549"
"100","82","10014","10","696"
"100","87","10015","10","468"
"100","92","10016","10","641"
"100","96","10017","10","701"
"100","101","10018","10","531"
"100","105","10019","10","387"
"100","108","10020","10","315"
"100","112","10021","10","241"
"100","117","10022","10","316"
"100","120","10023","10","741"
"100","125","10024","10","1007"
"101","129","10025","10","730"
"100","133","10026","10","647"
"100","137","10027","10","836"
"100","140","10028","10","1087"
"100","143","10029","10","818"
"100","147","10030","10","558"
"101","152","10031","10","228"
"100","155","10032","10","569"
"101","159","10033","10","724"
"101","162","10034","10","367"
"100","165","10035","10","9"
"100","170","10036","10","101"
"101","173","10037","10","509"
"100","178","10038","10","214"
"400","183","10039","10","511"
"100","188","10040","10","477"
"100","192","10041","10","739"
"101","197","10042","10","485"
"100","202","10043","10","670"
"100","205","10044","10","339"
"100","210","10045","10","193"
"101","215","10046","10","376"
"100","219","10047","10","719"
"100","224","10048","10","1012"
"100","227","10049","10","1199"
"100","232","10050","10","870"
"100","237","10051","10","521"
"100","240","10052","10","632"
"100","244","10053","10","263"
"101","247","10054","10","180"
"100","252","10055","10","295"
"200","255","10056","10","594"
"100","259","10057","10","252"
"100","262","10058","10","623"
"101","265","10059","10","219"
"100","270","10060","10","379"
"101","273","10061","10","218"
"100","277","10062","10","478"
"100","281","10063","10","415"
"100","284","10064","10","700"
"100","289","10065","10","411"
"100","292","10066","10","326"
"101","296","10067","10","763"
"100","300","10068","10","591"
"300","304","10069","10","837"
"100","307","10070","10","432"
"100","310","10071","10","379"
"101","314","10072","10","31"
"100","317","10073","10","216"
"100","321","10074","10","412"
"101","326","10075","10","183"
"100","330","10076","10","57"
"100","335","10077","10","204"
"100","340","10078","10","486"
"100","345","10079","10","858"
"101","349","10080","10","584"
"100","352","10081","10","178"
"100","357","10082","10","448"
"100","361","10083","10","793"
"101","364","10084","10","1102"
"100","369","10085","10","975"
"100","374","10086","10","1132"
"101","379","10087","10","922"
"100","383","10088","10","752"
"100","386","10089","10","457"
"100","391","10090","10","367"
"101","395","10091","10","410"
"100","398","10092","10","93"
"100","402","10093","10","425"
"100","407","10094","10","54"
"100","410","10095","10","255"
"100","414","10096","10","318"
"101","417","10097","10","535"
"100","422","10098","10","467"
"100","425","10099","10","695"
"100","429","10100","10","820"
"101","434","10101","10","676"
"100","439","10102","10","880"
"100","444","10103","10","656"
"400","447","10104","10","849"
"100","452","10105","10","1077"
"100","456","10106","10","1195"
"101","461","10107","10","1053"
"100","464","10108","10","975"
"300","467","10109","10","762"
"100","471","10110","10","1120"
"101","476","10111","10","1062"
"100","481","10112","10","815"
"100","484","10113","10","680"
"100","488","10114","10","626"
"100","492","10115","10","658"
"100","495","10116","10","804"
"100","500","10117","10","645"
"200","503","10118","10","716"
"100","506","10119","10","792"
"100","510","10120","10","891"
"100","514","10121","10","1092"
"101","519","10122","10","1181"
"100","522","10123","10","1102"
"101","526","10124","10","1042"
"100","529","10125","10","846"
"100","532","10126","10","880"
"101","537","10127","10","945"
"100","541","10128","10","892"
"100","546","10129","10","1018"
"101","551","10130","10","866"
"100","554","10131","10","630"
"101","558","10132","10","543"
"100","563","10133","10","320"
"100","566","10134","10","421"
"101","570","10135","10","483"
"100","575","10136","10","600"
"100","580","10137","10","505"
"100","583","10138","10","321"
"101","586","10139","10","268"
"100","590","10140","10","373"
"100","595","10141","10","579"
"400","599","10142","10","386"
"100","604","10143","10","511"
"100","608","10144","10","599"
"101","612","10145","10","639"
"100","615","10146","10","731"
"300","619","10147","10","689"
"100","624","10148","10","478"
"101","628","10149","10","583"
"100","633","10150","10","338"
"100","636","10151","10","142"
"100","640","10152","10","383"
"100","644","10153","10","555"
"101","649","10154","10","510"
"100","653","10155","10","751"
"100","656","10156","10","529"
"100","659","10157","10","491"
"100","662","10158","10","265"
"100","665","10159","10","440"
"101","670","10160","10","236"
"100","674","10161","10","351"
"101","677","10162","10","302"
"100","682","10163","10","150"
"100","686","10164","10","71"
"101","690","10165","10","14"
"100","694","10166","10","211"
"101","698","10167","10","127"
"100","702","10168","10","375"
"100","706","10169","10","497"
"200","710","10170","10","412"
"100","714","10171","10","638"
"100","719","10172","10","835"
"100","722","10173","10","921"
"101","727","10174","10","828"
"100","730","10175","10","882"
"100","735","10176","10","658"
"101","739","10177","10","883"
"100","743","10178","10","1105"
"100","748","10179","10","1186"
"100","752","10180","10","979"
"400","755","10181","10","780"
"100","760","10182","10","644"
"100","764","10183","10","397"
"100","768","10184","10","561"
"100","773","10185","10","530"
"101","778","10186","10","653"
"100","783","10187","10","695"
"100","787","10188","10","531"
"101","793","10189","10","653"
"100","799","10190","10","414"
"100","804","10191","10","190"
"101","809","10192","10","147"
"100","815","10193","10","334"
"100","820","10194","10","270"
"100","825","10195","10","487"
