c491c983f069cf4d0367fae06af681191de101bf59a70b195868036a7c987ec5,8b5fa4415cf10235f5641d9b5cf58dfcb7d2485f933c9e5cc36bf3078895334c,9adf377267a854dfec7cfef74a5adb9a6d8361f153c28689064a0f35ef2f0a44,c4a29480f07695d8107d4e579a38d857213fcc54e1868301296a3d3ea52943d4
"1","1","18","4301511"
"2","1","18","4301512"
"3","1","18","4301513"
"4","1","18","4301514"
"5","1","18","4301515"
"6","1","2","26202"
"1","2","18","4302511"
"2","2","18","4302512"
"3","2","18","4302513"
"4","2","18","4302514"
"5","2","18","4302515"
"6","2","2","26202"
"1","3","18","4303511"
"2","3","18","4303512"
"3","3","18","4303513"
"4","3","18","4303514"
"5","3","18","4303515"
"6","3","2","26202"
"1","4","18","4304511"
"2","4","18","4304512"
"3","4","18","4304513"
"4","4","18","4304514"
"5","4","18","4304515"
"6","4","2","26202"
"1","5","18","4305511"
"2","5","18","4305512"
"3","5","18","4305513"
"4","5","18","4305514"
"5","5","18","4305515"
"6","5","2","26202"
"1","6","18","4301516"
"2","6","18","4301517"
"3","6","18","4301518"
"4","6","18","4301519"
"5","6","18","4301520"
"6","6","2","26202"
"1","7","18","4302516"
"2","7","18","4302517"
"3","7","18","4302518"
"4","7","18","4302519"
"5","7","18","4302520"
"6","7","2","26202"
"1","8","18","4303516"
"2","8","18","4303517"
"3","8","18","4303518"
"4","8","18","4303519"
"5","8","18","4303520"
"6","8","2","26202"
"1","9","18","4304516"
"2","9","18","4304517"
"3","9","18","4304518"
"4","9","18","4304519"
"5","9","18","4304520"
"6","9","2","26202"
"1","10","18","4305516"
"2","10","18","4305517"
"3","10","18","4305518"
"4","10","18","4305519"
"5","10","18","4305520"
"6","10","2","26202"
