9c9bf619e5783ef3f2bb3e417ef3cf7122d2425d331af3d78340fe07bbaa7de3,9a685ba46e7b5c80f4a4516af3fc7e466d6bcc907b9230a6858e0bc8d8065d69,ca732d1cdbab4870de799b25d05e63bdb6d12ce12e4452da0fd4be1c090a8340
"10101","1","1"
"10102","1","2"
"10103","1","3"
"10104","1","4"
"10201","2","1"
"10202","2","2"
"10203","2","3"
"10204","2","4"
"10301","3","1"
"10302","3","2"
"10303","3","3"
"10304","3","4"
"10401","4","1"
"10402","4","2"
"10403","4","3"
"10404","4","4"
"10501","5","1"
"10502","5","2"
"10503","5","3"
"10504","5","4"
"10601","6","1"
"10602","6","2"
"10603","6","3"
"10604","6","4"
"10701","7","1"
"10702","7","2"
"10703","7","3"
"10704","7","4"
"10801","8","1"
"10802","8","2"
"10803","8","3"
"10804","8","4"
"99999","0","0"
