c0bb9f73ea909daf82b5362242d6081a70f150150d111c6120c9c37d091212e6,84ccc39740f3c4795ddcd71911456491036042ec63803ce0a63139e6d443a0cc,1b7c1702c79d004a9c4a97d7ba58980c45a71db9c1ae5a2572583343e149da5b,f896ebdb99f83ea40aa2c02ab557ed7eb6a035536f8f3dc91e9209146d5c0409,e14da468ae526b671fc7a2e1c634d637353f456d2c24d9b8f39736101be0c8cc
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","1","10101","damage_limit","ダメージ減衰"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","1","10102","def_lower_limit","防御力（ダウン不可）アップ"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","2","10201","damage_limit","ダメージ減衰"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","2","10202","def_lower_limit","防御力（ダウン不可）アップ"
"すべてのモンスターが受けるダメージを一定値カットさせる。","2","10203","damage_cut","全ダメージカット"
"すべてのモンスターの与えるダメージをアップさせる。","2","10204","damage_up","与ダメージアップ"
"すべてのモンスターの物理/魔法防御力をアップさせる。","2","10205","def_up","防御力アップ"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","3","10301","damage_limit","ダメージ減衰"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","3","10302","def_lower_limit","防御力（ダウン不可）アップ"
"すべてのモンスターが受けるダメージを一定値カットさせる。","3","10303","damage_cut","全ダメージカット"
"すべてのモンスターの与えるダメージをアップさせる。","3","10304","damage_up","与ダメージアップ"
"すべてのモンスターの物理/魔法防御力をアップさせる。","3","10305","def_up","防御力アップ"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","3","10306","critical_down","クリティカルダウン"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","4","10401","damage_limit","ダメージ減衰"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","4","10402","def_lower_limit","防御力（ダウン不可）アップ"
"すべてのモンスターが受けるダメージを一定値カットさせる。","4","10403","damage_cut","全ダメージカット"
"すべてのモンスターの与えるダメージをアップさせる。","4","10404","damage_up","与ダメージアップ"
"すべてのモンスターの物理/魔法防御力をアップさせる。","4","10405","def_up","防御力アップ"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","4","10406","critical_down","クリティカルダウン"
"すべてのキャラのＨＰ吸収をダウンさせる。","4","10407","life_steal_down","ＨＰ吸収ダウン"
"EXTREMEバトル時に一定確率で強敵が出現する。","5","10501","add_monster","強敵出現"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","5","10502","damage_limit","ダメージ減衰"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","5","10503","def_lower_limit","防御力（ダウン不可）アップ"
"すべてのモンスターが受けるダメージを一定値カットさせる。","5","10504","damage_cut","全ダメージカット"
"すべてのモンスターの与えるダメージをアップさせる。","5","10505","damage_up","与ダメージアップ"
"すべてのモンスターの物理/魔法防御力をアップさせる。","5","10506","def_up","防御力アップ"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","5","10507","critical_down","クリティカルダウン"
"すべてのキャラのＨＰ吸収をダウンさせる。","5","10508","life_steal_down","ＨＰ吸収ダウン"
"すべてのモンスターがＴＰダウンカット状態になる。","5","10509","tp_down_cut","ＴＰダウンカット"
"すべてのキャラのＨＰ回復量をダウンさせる。","5","10510","hp_recovery_down","ＨＰ回復量ダウン"
"EXTREMEバトル時に一定確率で強敵が出現する。","6","10601","add_monster","強敵出現"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","6","10602","damage_limit","ダメージ減衰"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","6","10603","def_lower_limit","防御力（ダウン不可）アップ"
"すべてのモンスターが受けるダメージを一定値カットさせる。","6","10604","damage_cut","全ダメージカット"
"すべてのモンスターの与えるダメージをアップさせる。","6","10605","damage_up","与ダメージアップ"
"すべてのモンスターの物理/魔法防御力をアップさせる。","6","10606","def_up","防御力アップ"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","6","10607","critical_down","クリティカルダウン"
"すべてのキャラのＨＰ吸収をダウンさせる。","6","10608","life_steal_down","ＨＰ吸収ダウン"
"すべてのモンスターがＴＰダウンカット状態になる。","6","10609","tp_down_cut","ＴＰダウンカット"
"すべてのキャラのＨＰ回復量をダウンさせる。","6","10610","hp_recovery_down","ＨＰ回復量ダウン"
"EXTREMEバトル時に一定確率で強敵が出現する。","7","10701","add_monster","強敵出現"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","7","10702","damage_limit","ダメージ減衰"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","7","10703","def_lower_limit","防御力（ダウン不可）アップ"
"すべてのモンスターが受けるダメージを一定値カットさせる。","7","10704","damage_cut","全ダメージカット"
"すべてのモンスターの与えるダメージをアップさせる。","7","10705","damage_up","与ダメージアップ"
"すべてのモンスターの物理/魔法防御力をアップさせる。","7","10706","def_up","防御力アップ"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","7","10707","critical_down","クリティカルダウン"
"すべてのキャラのＨＰ吸収をダウンさせる。","7","10708","life_steal_down","ＨＰ吸収ダウン"
"すべてのモンスターがＴＰダウンカット状態になる。","7","10709","tp_down_cut","ＴＰダウンカット"
"すべてのキャラのＨＰ回復量をダウンさせる。","7","10710","hp_recovery_down","ＨＰ回復量ダウン"
"バトル勝利時のアルファルピ獲得量がダウンする。","7","10711","decrease_income","アルファルピ獲得量ダウン"
"EXTREMEバトル時に一定確率で強敵が出現する。","8","10801","add_monster","強敵出現"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","8","10802","damage_limit","ダメージ減衰"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","8","10803","def_lower_limit","防御力（ダウン不可）アップ"
"すべてのモンスターが受けるダメージを一定値カットさせる。","8","10804","damage_cut","全ダメージカット"
"すべてのモンスターの与えるダメージをアップさせる。","8","10805","damage_up","与ダメージアップ"
"すべてのモンスターの物理/魔法防御力をアップさせる。","8","10806","def_up","防御力アップ"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","8","10807","critical_down","クリティカルダウン"
"すべてのキャラのＨＰ吸収をダウンさせる。","8","10808","life_steal_down","ＨＰ吸収ダウン"
"すべてのモンスターがＴＰダウンカット状態になる。","8","10809","tp_down_cut","ＴＰダウンカット"
"すべてのキャラのＨＰ回復量をダウンさせる。","8","10810","hp_recovery_down","ＨＰ回復量ダウン"
"バトル勝利時のアルファルピ獲得量がダウンする。","8","10811","decrease_income","アルファルピ獲得量ダウン"
"すべてのモンスターが受ける継続ダメージの発生間隔と効果時間が延長される。","8","10812","increase_dot_interval","継続ダメージ発生間隔/効果時間延長"
"EXTREMEバトル時に一定確率で強敵が出現する。","9","10901","add_monster","強敵出現"
