2c5a798667eb835d4514a2f64004c9c3689432f30d44f58d35b6171e79394eb9,bf43733ab7b0d342e4f741c48e4a5ad7e0cf5bd91073d4d2df9fc90651bc183f,a44a3a95bf12be5f70b1b266651f75bcccafbfa01b6643f7360e59b57e08b006,72ea0e4553e72015359af1ebd72c0d08f77cb142e7432d22bd12825c3e0a607a,5ed4b2daa3532f467bd11deb7642f69323d55cd66598487dde0afba707a0ec77,d41e75de6ab6e3788eead36a36ac70dcd5f33f9a124278152b04939f2bf1eadd,91df22b261e09cad408c5a1c474726809165714381dd2ab389d40aadc616973f,73cacaad10b1f41294b392598931f39272e7e7e96eef7e63980122945411e690
"0","1","3050100","1","24","1","0","10101020"
"0","2","4010200","2","24","1","0","0"
"0","3","3030200","3","24","1","0","10401020"
"0","4","3050200","4","24","1","0","10401020"
"0","5","3040200","5","24","1","0","10401020"
"0","6","3020200","6","24","1","0","10401020"
"0","7","4010300","7","24","1","0","0"
"0","8","3030100","101","24","1","0","10101020"
"0","9","3010201","102","24","1","0","0"
"0","10","3020201","103","24","1","0","0"
"0","11","3010301","104","24","1","0","0"
"0","12","3030301","105","24","1","0","0"
"0","13","3040301","106","24","1","0","0"
"0","14","3050301","107","24","1","0","0"
"0","15","3020301","108","24","1","0","0"
"0","16","3030300","109","24","1","0","10401050"
"0","17","3040300","110","24","1","0","10401050"
"0","18","3050300","111","24","1","0","10401050"
"0","19","3020300","112","24","1","0","10401050"
"0","20","3010100","201","24","1","0","10101020"
"0","21","3020100","202","24","1","0","10101020"
"0","22","3030100","203","24","1","0","10101020"
"0","23","3040100","204","24","1","0","10101020"
"0","24","3050100","205","24","1","0","10101020"
"0","25","3010200","206","24","1","0","10101020"
"0","26","3020200","207","24","1","0","10101020"
"0","27","3030200","208","24","1","0","10101020"
"0","28","3040200","209","24","1","0","10101020"
"0","29","3050200","210","24","1","0","10101020"
"0","30","1010301","401","24","1","112","0"
"0","31","1020301","402","24","1","203","0"
"0","32","1030301","403","24","1","306","0"
"0","33","1040301","404","24","1","401","0"
"0","34","1050301","405","24","1","508","0"
"0","35","1020301","406","24","1","209","20101050"
"0","36","1030301","407","24","1","306","20101050"
"0","37","1040301","408","24","1","407","20101050"
"0","38","1050301","409","24","1","501","20101050"
"11001337","39","0","600","15","1","0","0"
"91002","40","0","600","8","150","0","0"
"11001338","41","0","700","15","1","0","0"
"91002","42","0","799","8","150","0","0"
"11001339","43","0","800","15","1","0","0"
"0","44","0","999","24","1","0","0"
