c5bdbfb9918aef71fb7fe529d83987583ac28e0d6a25f29e0a645790ad9f6243,a5bb6a68eb87b4da0dfe20d911154a68b0ef51c613b8a96b1acbb201e2132911,9888a9a66757bd8a5eb74aca65b0a7d1629efa678d4c7b241319b6fec04c8801,84da93a8ff369f889ef5fb30f2ae5b682805e121d035abaf3785a3ac735a302d,dbd32e10c0b31d383a480dd8db9aefec22ac6494b5a2abdffbafef1b31b8f5f5,5419254fd50fb7e86acee86123d02782259fce14dbfa9d010354c1f5716cc6ff,af09b28bc780cc657cfad509ac380da6b8e093dbae5e60511d1b01037ffe9f76
"10101","101","アニメ プリンセスコネクト！Re:Dive 1 封入特典","2020-08-04 12:00:00","2023/12/31 23:59:59","1","0"
"10102","101","アニメ プリンセスコネクト！Re:Dive 2 封入特典","2020-09-03 19:00:00","2023/12/31 23:59:59","1","0"
"10103","101","アニメ プリンセスコネクト！Re:Dive 3 封入特典","2020-10-01 17:00:00","2023/12/31 23:59:59","1","0"
"10104","101","アニメ プリンセスコネクト！Re:Dive 4 封入特典","2020-11-05 12:00:00","2023/12/31 23:59:59","1","0"
"10201","102","アニメ プリコネ！Re:Dive Season2 1巻 購入特典","2022-03-21 00:00:00","2026/12/31 23:59:59","1","0"
"10202","102","アニメ プリコネ！Re:Dive Season2 2巻 購入特典","2022-04-18 00:00:00","2026/12/31 23:59:59","1","0"
"10203","102","アニメ プリコネ！Re:Dive Season2 3巻 購入特典","2022-05-16 00:00:00","2026/12/31 23:59:59","1","0"
"20101","201","週刊ファミ通6月3日号（5月20日発売） 封入特典","2021-05-19 00:00:00","2022/05/19 23:59:59","1","0"
"20201","202","公式アートワークス Vol.3 発売記念アイテム","2021-07-30 00:00:00","2030/07/30 23:59:59","1","0"
"20301","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20302","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20303","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20304","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20305","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20306","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20307","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20308","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20309","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20310","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20311","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20312","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20313","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20314","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20315","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20316","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20317","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20401","204","キャラクターソングアルバムVol.5 購入特典","2024-02-14 00:00:00","2025/02/13 23:59:59","1","0"
"20501","205","サウンドトラックVol.6 購入特典","2024-02-14 00:00:00","2025/02/13 23:59:59","1","0"
