8acf6ba8c07a5ae4623c1a540e457f85a3b371faca9b3bb2d358d22b6a2fad6f,5cef5cd936e214f4ab52e41aee85f21d06703cd1e8d3e994596dc10e395d2107,67b75e99d5088aa086dd5e09966264894657a434488f2b7033c657b71c7535c1,11d1c6d7e1ef08abb9fcd3609cbfef004411d4582fc4ca30e87c1a48be01c6e5,e0d93db2e12aba1b2e5f9dee9e3814f1f9982053be0bf03f7bbee14f224789b9,07f2eb4dc2d4c752a345f79bdad5a3d357498053ad4067732d9a8ae2ebf23f5a,da5e494ab8c30e2ad778088b2a6c3777c2f71d3d3c71287f14d647f8674095aa,860e73ae8d998cecf8b8140ed0cd21003505f7d6a556654e08911356dc80f9da,d234b4b2d9ac40e1cbc638c491c2fd894ccae70e3fe5f72ed84d668b3c158654,edb5196a9a9eddd98adf42cf427b60ff23c9d1a5f8ae276011f4e56b08763987,b4f3b586e5790a41a9536662ca920dafc2071c8c2c6c2b30bbecf29bb0714699
"5","1","53","1","0","0","10101","empty","0","1101010001","1"
"5","101000","56","2","0","0","10101","empty","0","1101010002","1"
"5","101000","70","3","0","0","10101","empty","0","1101010003","1"
"31","101000","0","0","0","1","10101","","","1101010004","0"
"31","101001","0","1","0","1","10101","","","1101010005","0"
"31","101002","0","2","0","1","10101","","","1101010006","0"
"31","101003","0","3","0","1","10101","","","1101010007","0"
"31","101004","0","4","0","1","10101","","","1101010008","0"
"31","1","0","10","0","1","10101","","","1101010009","0"
"31","3","0","30","0","1","10101","","","1101010010","0"
"91","0","","0","","","10101","","","1101010011",""
"32","0","","1","","","10101","","","1101010012",""
"32","10","","1","","","10101","","","1101010013",""
"3","2","0","getDish_1_in","","","10101","","","1101010014","0"
"93","0.2","","0","","","10101","","","1101010015",""
"3","1","0","getDish","","","10101","","","1101010016","0"
"3","2","0","getDish_1_B","","","10101","","","1101010017","0"
"3","3","0","getDish_1_F","","","10101","","","1101010018","0"
"32","1","","1","","","10101","","","1101010019",""
"32","3","","1","","","10101","","","1101010020",""
"93","7.2","","0","","","10101","","","1101010021",""
"101","1101010023","","1","","","10101","","","1101010022",""
"35","2","","1","","","10101","","","1101010023",""
"32","2","","1","","","10101","","","1101010024",""
"35","4","","1","","","10101","","","1101010025",""
"32","4","","1","","","10101","","","1101010026",""
"32","3","","0","","","10101","","","1101010027",""
"93","2.3","","0","","","10101","","","1101010028",""
"35","30","","1","","","10101","","","1101010029",""
"32","30","","1","","","10101","","","1101010030",""
"93","0.2","","0","","","10101","","","1101010031",""
"6","1","1","1","1","0","10101","","0","1101010032","0"
"6","2","1","1","1","0","10101","","0","1101010033","0"
"6","3","1","1","1","0","10101","","0","1101010034","0"
"32","0","","0","","","10101","","","1101010035",""
"32","1","","0","","","10101","","","1101010036",""
"32","2","","0","","","10101","","","1101010037",""
"32","3","","0","","","10101","","","1101010038",""
"32","4","","0","","","10101","","","1101010039",""
"32","10","","0","","","10101","","","1101010040",""
"93","0.3","","0","","","10101","","","1101010041",""
"111","1","1","1","1","0","10101","","0","1101010042","0.1"
"5","2","50","1","-205","-325","10201","empty","0","1102010001","0.9"
"5","102000","58","2","-205","-325","10201","empty","0","1102010002","0.9"
"5","100","54","100","1500","-263","10201","idle_single","0","1102010003","0.6"
"31","102000","0","0","0","1","10201","","","1102010004","0"
"31","102001","1500","1","-263","1","10201","","","1102010005","0"
"31","102002","0","2","0","1","10201","","","1102010006","0"
"31","102003","-132","3","-136","1","10201","","","1102010007","0"
"31","102004","0","4","0","1","10201","","","1102010008","0"
"31","1","0","10","0","1","10201","","","1102010009","0"
"31","2","0","20","0","1","10201","","","1102010010","0"
"31","3","0","30","0","1","10201","","","1102010011","0"
"91","0","","0","","","10201","","","1102010012",""
"32","0","","1","","","10201","","","1102010013",""
"32","10","","1","","","10201","","","1102010014",""
"23","se_caravan","0","se_caravan_dice_get_intro","","","10201","","","1102010015",""
"3","1","1","getDice_idle","","","10201","","","1102010016","0"
"3","100","0","run_getDice","eat_loop","1","10201","","0","1102010017","0"
"32","1","","1","","","10201","","","1102010018",""
"2","100","-263","344","2","11","10201","","","1102010019",""
"33","1","-263","344","2","11","10201","","","1102010020",""
"32","2","","1","","","10201","","","1102010021",""
"93","1.7","","0","","","10201","","","1102010022",""
"3","1","1","getDice_curious","","","10201","","0","1102010023","0.2"
"21","vo_caravan","0","vo_caravan_event_002_000","0","","10201","","","1102010024",""
"93","1.5","","0","","","10201","","","1102010025",""
"23","se_caravan","0","se_caravan_dice_get_outro_1","","","10201","","","1102010026",""
"21","vo_caravan","0","vo_caravan_event_002_001","0.1","","10201","","","1102010027",""
"3","100","0","spit_in","","","10201","","","1102010028","0.1"
"3","2","0","getDice_1","","","10201","","","1102010029","0"
"3","1","0","getDice_panic_1","","","10201","","","1102010030","0.1"
"93","0.5","","0","","","10201","","","1102010031",""
"3","100","0","spit_out","idle_single","1","10201","","0","1102010032","0"
"93","1.4","","0","","","10201","","","1102010033",""
"3","100","0","joy_single","idle_single","1","10201","","0","1102010034","0.2"
"93","0.1","","0","","","10201","","","1102010035",""
"32","3","","1","","","10201","","","1102010036",""
"93","0.5","","0","","","10201","","","1102010037",""
"21","vo_caravan","0","vo_caravan_event_002_002","0","","10201","","","1102010038",""
"93","1.3","","0","","","10201","","","1102010039",""
"101","1102010041","","0","","","10201","","","1102010040",""
"35","4","","1","","","10201","","","1102010041",""
"32","4","","1","","","10201","","","1102010042",""
"32","20","","1","","","10201","","","1102010043",""
"32","1","","0","","","10201","","","1102010044",""
"93","0.4","","0","","","10201","","","1102010045",""
"92","","","","","","10201","","","1102010046",""
"35","30","","1","","","10201","","","1102010047",""
"32","30","","1","","","10201","","","1102010048",""
"93","0.2","","0","","","10201","","","1102010049",""
"6","1","1","1","1","0","10201","","0","1102010050","0"
"6","2","1","1","1","0","10201","","0","1102010051","0"
"6","100","1","1","1","0","10201","","0","1102010052","0"
"32","0","","0","","","10201","","","1102010053",""
"32","2","","0","","","10201","","","1102010054",""
"32","3","","0","","","10201","","","1102010055",""
"32","4","","0","","","10201","","","1102010056",""
"32","10","","0","","","10201","","","1102010057",""
"93","0.3","","0","","","10201","","","1102010058",""
"5","2","50","1","-205","-325","10202","empty","0","1102020001","0.9"
"5","102000","58","2","-205","-325","10202","empty","0","1102020002","0.9"
"5","100","54","100","1500","-263","10202","idle_single","0","1102020003","0.6"
"31","102000","0","0","0","1","10202","","","1102020004","0"
"31","102001","1500","1","-263","1","10202","","","1102020005","0"
"31","102002","0","2","0","1","10202","","","1102020006","0"
"31","102003","-132","3","-136","1","10202","","","1102020007","0"
"31","102005","0","4","0","1","10202","","","1102020008","0"
"31","1","0","10","0","1","10202","","","1102020009","0"
"31","2","0","20","0","1","10202","","","1102020010","0"
"31","3","0","30","0","1","10202","","","1102020011","0"
"91","0","","0","","","10202","","","1102020012",""
"32","0","","1","","","10202","","","1102020013",""
"32","10","","1","","","10202","","","1102020014",""
"23","se_caravan","0","se_caravan_dice_get_intro","","","10202","","","1102020015",""
"3","1","1","getDice_idle","","","10202","","","1102020016","0"
"3","100","0","run_getDice","eat_loop","1","10202","","0","1102020017","0"
"32","1","","1","","","10202","","","1102020018",""
"2","100","-263","344","2","11","10202","","","1102020019",""
"33","1","-263","344","2","11","10202","","","1102020020",""
"32","2","","1","","","10202","","","1102020021",""
"93","1.7","","0","","","10202","","","1102020022",""
"3","1","1","getDice_curious","","","10202","","0","1102020023","0.2"
"21","vo_caravan","0","vo_caravan_event_003_000","0","","10202","","","1102020024",""
"93","1.5","","0","","","10202","","","1102020025",""
"23","se_caravan","0","se_caravan_dice_get_outro_2","","","10202","","","1102020026",""
"21","vo_caravan","0","vo_caravan_event_003_001","0","","10202","","","1102020027",""
"3","100","0","spit_in","idle_single","1","10202","","0","1102020028","0.1"
"3","2","0","getDice_2","","","10202","","","1102020029","0"
"3","1","0","getDice_panic_2","","","10202","","","1102020030","0.1"
"93","2.5","","0","","","10202","","","1102020031",""
"3","100","0","joy_single","idle_single","1","10202","","0","1102020032","0.2"
"93","0.5","","0","","","10202","","","1102020033",""
"21","vo_caravan","0","vo_caravan_event_003_002","0.1","","10202","","","1102020034",""
"93","0.1","","0","","","10202","","","1102020035",""
"32","3","","1","","","10202","","","1102020036",""
"93","1.6","","0","","","10202","","","1102020037",""
"101","1102020039","","0","","","10202","","","1102020038",""
"35","4","","1","","","10202","","","1102020039",""
