34acd2c836158fad37293f21dc389c1301cf89c368e324d23b51dc0dc28a21c0,6d6809fc3613c768dda48bf63e34ea185e23875450e2716d47fbdf7ae71b98dd,831f692c827a946f45cb6cfe3726ca0e0fe1dd77222b93f163a7b5e064be081e,ac23aaebd3b10d83130a251e97168828b4b2ca548be5c148d563d8db399fac12,9a5ca2e0d382ead5bbcbdb6c8d1b5b5a5f685530bc791b6411a81176c0c98edd
"100001011","150000","10000101","94002","12"
"100001012","6","10000101","22003","2"
"100001021","500000","10000102","94002","12"
"100001022","6","10000102","22003","2"
"100001031","500000","10000103","94002","12"
"100001032","3","10000103","140001","4"
"100001033","3","10000103","25001","2"
"100001041","500000","10000104","94002","12"
"100001042","6","10000104","22003","2"
"100001051","500000","10000105","94002","12"
"100001052","4","10000105","140001","4"
"100001053","4","10000105","25001","2"
"100001061","500000","10000106","94002","12"
"100001062","6","10000106","22003","2"
"100001071","500000","10000107","94002","12"
"100001072","4","10000107","140001","4"
"100001073","4","10000107","25001","2"
"100001081","500000","10000108","94002","12"
"100001082","6","10000108","22003","2"
"100001091","500000","10000109","94002","12"
"100001092","4","10000109","140001","4"
"100001093","4","10000109","25001","2"
"100505011","120000","10050501","94002","12"
"100505012","3","10050501","22003","2"
"100505021","120000","10050502","94002","12"
"100505022","4","10050502","22003","2"
"100505031","120000","10050503","94002","12"
"100505032","4","10050503","22003","2"
"100505111","120000","10050511","94002","12"
"100505112","3","10050511","22003","2"
"100505121","160000","10050512","94002","12"
"100505122","4","10050512","22003","2"
"100606011","120000","10060601","94002","12"
"100606012","3","10060601","22003","2"
"100606021","120000","10060602","94002","12"
"100606022","4","10060602","22003","2"
"100606031","120000","10060603","94002","12"
"100606032","4","10060603","22003","2"
"100606111","120000","10060611","94002","12"
"100606112","3","10060611","22003","2"
"100606121","160000","10060612","94002","12"
"100606122","4","10060612","22003","2"
"100707011","120000","10070701","94002","12"
"100707012","3","10070701","22003","2"
"100707021","120000","10070702","94002","12"
"100707022","4","10070702","22003","2"
"100707031","120000","10070703","94002","12"
"100707032","4","10070703","22003","2"
"100707111","120000","10070711","94002","12"
"100707112","3","10070711","22003","2"
"100707121","160000","10070712","94002","12"
"100707122","4","10070712","22003","2"
"100808011","120000","10080801","94002","12"
"100808012","3","10080801","22003","2"
"100808021","120000","10080802","94002","12"
"100808022","4","10080802","22003","2"
"100808031","120000","10080803","94002","12"
"100808032","4","10080803","22003","2"
"100808111","120000","10080811","94002","12"
"100808112","3","10080811","22003","2"
"100808121","160000","10080812","94002","12"
"100808122","4","10080812","22003","2"
