b8756c6c28559c7200f00692f74a788a24348daf0be221f67bf1120dd0255b15,07534f68f4597f7b49f681a93ab810af8caf60c018b971c3b69c37227076be8f,c41f7161e01234d1b93d6fa312b17d48af6c2e4ff79b24439e4956eeeab90fed,d2b563cebef326e826c606206eead77394abe2a870af6d1a31fb7ac3ef240df2,3d9f6f44963f0b9b6d36ad5064407f7ab36add7f4ef182432af83a24d7a84fe2,fedf9f448698cc18fe523b4ec9bd74bc474e1acd224e37917de4cee295cd8b4d,fe57d4fba09391b1335ff3b1cc38901fc0ca83095f8b77dd0868d22f2dfb26f1,6ac63d55f337d7ae95d63644665a856013dd0e9bb59532d393c2adff8207f6d9,cc06764deb5f02b9dc8a2b4f2fcc9f05afaf50c9768ce06b1f1fedbc8eb6ba1d,d9232be430211965f36c4d5711c3cd18d66860d84cef9b50558c7be1524460af,c392d4f6a1c277a7de515680870a188b31b2c7f49971dd05336e684f7ec8d6c5
"","","","","","","","","","1082","イ"
"","","","","","","","","","1107","オ"
"","ツ","","","","","","","","1176",""
"","","ホ","","","","","","ル","1189","ー"
"","","","","","","","","","1192","ゥー"
"","","","","","","","","","1245","イ"
"ゃさ","","","","","","","","ちそ","1250",""
"ア","ナ","イ","トメア","ナイア","イトメ","ナイト","ナメア","メ","2013","ト"
"ル","ン","ソ","ンドル","ランル","ラドソ","ランド","ドソル","","2014","ラ"
"う","る","","るのと","そるう","そのと","そるの","そのう","","2015","と"
"の","る","な","のとう","るなと","なのと","るなう","るのう","う","2016","と"
"","く","","くうて","ひくて","ひうて","ひくう","ひてい","い","2017","う"
"ん","ふ","","","ふゃ","しん","ふゃ","ふん","し","2019","ゃ"
"ぎ","ゅ","わ","ぎしゅ","ぎゅわ","むぎし","むしわ","むゅわ","む","2020","し"
"","","","S","E","","","","","2031",""
"","","","","","","AE","","","2032",""
"","","","","A","","","R","","2033",""
"","","","","E","","","I","","2034",""
"","","","","UA","","","R","","2036",""
"","","","","E","E","Y","L","","2037",""
"","","","","E","V","I","L","","2038",""
"","","","","L","","","I","","2040",""
"","","","","","","","A","","2041",""
"","","","Y","","","","","","2042",""
"","","","K","","","","A","","2043",""
"","","","","","","","A","","2045",""
"","","","Q","","","","R","","2046",""
"","","","","A","","","R","","2047",""
"","","","KQ","","","","A","","2048",""
"","","","","B","","","","","2049",""
"","","","","U","","T","A","","2050",""
"","","","","EI","","P","C","","2052",""
"","","","","I","","T","A","","2053",""
"","","","","","","S","","","2054",""
"","","","","","","","R","","2055",""
"","","","","V","","","","","2056",""
"","","","","","","","WU","","2058",""
"","","","R","","","","","","2059",""
"","","","R","","","","","","2060",""
"","","","","","","","S","","2062",""
"","","","","A","S","S","E","","2063",""
"","","","","","","A","A","","2064",""
"","","","","A","","S","","","2065",""
"","","","C","","","","","","2066",""
"","","","","B","","","","","2067",""
"","","","L","I","","","","","2068",""
"","","","C","","","","E","","2069",""
"","","","","E","D","","","","2070",""
"","","","","A","N","I","","","2071",""
"","","","","","","A","C","","2074",""
"","","","","","","A","A","","2077",""
"し","ち","","","","","","","","2092",""
"","","","フ","ン","ム","ト","ァ","","2130",""
"聞聴","か","視","","","","","","わ","2200","聴言"
"ビブ","ー","","","","","","","","2201",""
"ル","","","","","","","","","2202",""
"","","麦","","","","","","鯉","2216","飯"
"","","し","","","","","","う","2261","ゅ"
"","ぅ","","","","","","","","2264",""
"","","","","","","","","","2266","ー"
"き","ん","ひ","","","","","","く","2295","ふ"
"だ","","","","","","","","","2313",""
"","","","ル","","","","ナ","","3020",""
"","","フ","","","","","","","3066","ェ"
"","","く","","","","","","","3068",""
"","","","","","","","","が","3073",""
"生","","","","","","","","","3084",""
"ア","","","","","","","","","3158",""
"","","","","","","","","ひ","3165",""
"か","","","","","","","","","3187",""
"シス","オ","","","","","","","デ","3191",""
"さ","ま","","","","","","","","3193",""
"","","","ブ","","","","","","3195",""
"","","","","","","","","ス","3222",""
"ず","","","","","","","","","3238",""
"帰","","","","","","","","","3271",""
"","","","","","","","","","3277","ク"
"","","","","","","","","ア","3318",""
"し","ち","","","","","","","","4029",""
"","X","","","","","","","","4049",""
"た","","","","","","","","","4052",""
"さ","","","","","","","","","4077",""
"","帯","","","","","","","","4154",""
"","","","","そ","","","","","4157",""
"","","","","い","","","","","4167",""
"","","","二","","","","","","4171",""
"","","","","","","倍","小","","4194",""
"","","","","","","約","大","","4195",""
"","","高","","","","","","底","4196",""
"","","","半","","","","","","4197",""
"く","","","","","","","","","4203",""
"","","","","","","","","ウ","4220",""
"","","","","","","","","","4222","ィ"
"","","セ","","","","","","","4247",""
"","","","","","","","","ー","5010",""
"","","","","","","","","ワ","5011",""
"","","","","","テカ","ラモ","","","5030",""
"","","","","","レカ","オモ","","","5031",""
"","","","","","","","","ー","5051",""
"ら","","","","","","","","か","5066","お"
"","","","","","","","","ぶ","5100",""
"","","","み","","つ","じ","つ","","5109",""
"","","","カ","ン","ー","タ","ウ","","5140",""
"","ロ","","","","","","","","5147",""
"","","","","","","","","と","5160",""
"","","","卯辰戌","戌卯辰","卯戌子","戌酉子","戌酉卯","虎","5193","牛"
"","ト","","","","","","","","6060",""
"","","","","","","","","ほ","6065",""
"ィ","","","","","","","","","6157",""
"","","","","","ト","","","","6188",""
"","","イ","","","","","","ド","6203","ン"
"ジ","ラ","","","","","","","ク","6216",""
"","","","チ","ウ","","","ョ","","6227",""
