4181e1774ab5e82a03c36efea68080631d8a2a6435d32a1e1c5e055835df2ff5,1e6678b113ad2ea3961d9b55e55c42e26ca37e005b8183aefab378e6775dec3b,e477ffcc4cf47b6117c41fa9ce41595d6abae1b74bcb0217e674c016211eb9a4,e271b388d7d444805b6b9e7299f64d1b091e586a6f5f85ba9bf3b6752e504cc2,ecbc5d8cecfa422335b680780f3ff24818d54420984b4dbe5a2c10c6fde107d2,d09f497d17ac3e926933b2a11a941405a415bb2d0c85ebe4c9dd555883004550,dbc4f80271de1375c9f24440d152475d0062dabd18aa94d9eb794109997652f3,fb241140450801e7b841306cdae3160b7e97f758213d2196f4c180db7d9d96aa,287ad4ef4ea1724e29a72a53a69f9ca2396ad35cdc2db5afbe0b734317624ee5,27e5071fa927b52ded640f63ba1255144e6932c7d066658d1570cc3cfd992806,83dca9eeb573c4c537a7bb951d1068405bfcde8cc6a5d6ec863fb4250890b556,e312ca42871e17ccda434a75cea8bb8f95b8d738ba4874ba7fa37ee290b3b59e,249a8e50518ec4805e17349e34780538e5156db2a58f71c71f915c65397ed88c,aa332dec24d5f246c7a43c63175fe3cb2081cffbcde75be54e60f4e26dfbf946,08b3325d3bcdfb98474e2e5eb69cf20d5bc99dbd66af8713b6dbad77d2b7ea97,7ebffce977458e36fc85c4aff3a40eef08eb9b22f75170fa4043f3828df776c5,f84b1efe97dc91d92d1df7aa67cf7ba37dee3fa51538f6ac30c2a168b7ad7890,9f96b1327a61192d57bb3d4bb5b17217299ee76cd3e8f020e7531f4f06225ee3,6880fdf1b78b15befab1e74692c66ca20250e83a23c7c7727ac76453f77fdf10
"1","1002200","1","23001","0","0","0","50","0","0","2000000","2","94002","80","20004","0","2","50","12"
"51","1002200","2","23001","0","0","0","40","0","0","1600000","2","94002","80","20004","0","2","100","12"
"101","1002200","3","23001","0","0","0","40","0","0","1400000","2","94002","60","20004","0","2","200","12"
"201","1002200","4","23001","0","0","0","35","0","0","1200000","2","94002","60","20004","0","2","500","12"
"501","1002200","5","23001","0","0","0","35","0","0","1000000","2","94002","40","20004","0","2","1000","12"
"1001","1002200","6","23001","0","0","0","30","0","0","800000","2","94002","40","20004","0","2","1500","12"
"1501","1002200","7","23001","0","0","0","25","0","0","600000","2","94002","40","20004","0","2","2000","12"
"2001","1002200","8","23001","0","0","0","25","0","0","600000","2","94002","80","20003","0","2","3000","12"
"3001","1002200","9","23001","0","0","0","20","0","0","400000","2","94002","60","20003","0","2","5000","12"
"5001","1002200","10","23001","0","0","0","15","0","0","300000","2","94002","40","20003","0","2","10000","12"
"10001","1002200","11","23001","0","0","0","10","0","0","200000","2","94002","20","20003","0","2","100000","12"
"100001","1002200","12","23001","0","0","0","5","0","0","100000","2","94002","12","20003","0","2","200000","12"
"200001","1002200","13","23001","0","0","0","5","0","0","80000","2","94002","8","20003","0","2","300000","12"
"300001","1002200","14","23001","0","0","0","5","0","0","60000","2","94002","5","20003","0","2","400000","12"
"400001","1002200","15","23001","0","0","0","5","0","0","50000","2","94002","3","20003","0","2","-1","12"
