aa77f205d56789a5d4e0f20c4511109decd4107fb5794ac855d890abadf85113,de95e74baf452e99d35f199c71887e9ec8e571d15a2211402853574518789ad0,e9b1c8ad1683f17301762e7d55ce57c4ca119a86b86368f301b10488ff827ad5,fadefed80d55b1bec7e3242e7dac71d8ee60119266fbdf0c96ffe419930de9ff,e761191d54ffc9c5ffe13a7ac775b26ab5168441370b0d0056710a35d8e9e2b7,99fd95186da4c3afeca9b62d9758725d69ec6266aff68e464cb73e031f5c6be0,ad68071cfbe1085d9b4e337473dfd9bf1d4135b47b888dbd6758119f639007a9,7ca076144d9a7681987fb66598246a0ede028f8031307e40e19f83aa70630752,acc73b721f201d2957e36a331aca67008d592e60530f71a5b3951aa26db7458e,1d5a05a1307f02825a9e09083aa9a53d398ba893af331af50afa7d29f53df458,a48633e78962c25a81134a2ad81b812a47ccb65b9cb715d94d60a21ee04ed91d
"bgm_M321","25","","bgm_M321_2C","","","4514","","","","4514001"
"1","1","2","105811","250","-1000","4514","0","wac_birthday_idle_normal","-70","4514002"
"1","1","2","106011","256","200","4514","1","wac_birthday_idle_doya","-270","4514003"
"1","1","2","105911","258","320","4514","1","wac_birthday_idle_wish","-310","4514004"
"1","1","2","106431","257","440","4514","1","wac_birthday_idle_smile","-290","4514005"
"105811","13","","300","","","4514","","","","4514006"
"106011","13","","300","","","4514","","","","4514007"
"600","31","1","600","0","0","4514","","","1","4514008"
"602","31","0","602","0","0","4514","","","1","4514009"
"603","31","0","603","0","0","4514","","","1","4514010"
"604","31","1","604","30","60","4514","","","1","4514011"
"611","31","1","611","0","0","4514","","","1","4514012"
"700","31","0","700","0","0","4514","","","1","4514013"
"701","31","0","701","0","0","4514","","","1","4514014"
"702","31","0","702","0","0","4514","","","1","4514015"
"800","31","0","800","0","0","4514","","","1","4514016"
"900","31","1","900","30","60","4514","","","1","4514017"
"1","93","","","","","4514","","","","4514018"
"105911","3","0.2","wac_birthday_reaction_01","0","wac_birthday_reaction_03","4514","0.2","","1","4514019"
"0.1","93","","","","","4514","","","","4514020"
"106011","3","0.2","wac_birthday_reaction_05","0","wac_birthday_reaction_04","4514","0.2","","1","4514021"
"106431","3","0.2","wac_birthday_reaction_02","0","wac_birthday_reaction_03","4514","0.2","","1","4514022"
"0.3","93","","","","","4514","","","","4514023"
"105811","3","0.2","wac_birthday_run_01","1","","4514","","","","4514024"
"105811","2","","0","-70","3","4514","","","","4514025"
"2.5","93","","","","","4514","","","","4514026"
"602","32","","1","","","4514","","","","4514027"
"0.6","93","","","","","4514","","","","4514028"
"600","32","","0","","","4514","","","","4514029"
"611","32","","0","","","4514","","","","4514030"
"604","32","","0","","","4514","","","","4514031"
"701","32","","1","","","4514","","","","4514032"
"900","33","","0","0","0.01","4514","","","","4514033"
"105811","3","0.2","wac_birthday_blowout_02","0","wac_birthday_wish_02","4514","0.2","","1","4514034"
"105811","2","","-200","-330","0.01","4514","","","","4514035"
"106011","3","0.2","wac_birthday_idle_doya","1","","4514","","","","4514036"
"106011","2","","180","-320","0.01","4514","","","","4514037"
"105911","3","0.2","wac_birthday_idle_wish","1","","4514","","","","4514038"
"105911","2","","300","-360","0.01","4514","","","","4514039"
"106431","3","0.2","wac_birthday_idle_smile","1","","4514","","","","4514040"
