58687c83e0a8e36ad78fad91f3f1a32b25a72e3dfe6d23c5d3fd14a2e70c1c29,4674f944518cf6ddc89c74d7650ce76c55138838ea5cbb951ee40ae179b8a898,2c62d0fcfec9bcce386ba1f11c64a31501d6647478c3fd7e8965ece2251f941a,2e42e7ac4abb91f48a48facb2a8889547ca323f8b5a3bfa545e60be9fbd48dc1,ef6800e8bf4a1323581fc5019c1b8a3822eac3bcfeac740c49d47fa0dd026038
"91002","100","8","1","1"
"91002","100","8","2","2"
"91002","100","8","3","3"
"91002","100","8","4","4"
"91002","100","8","5","5"
"23003","500","2","6","6"
"140001","100","4","7","7"
"21953","1","2","8","8"
"23003","500","2","9","9"
"25001","100","2","10","10"
"90005","100","2","11","11"
"41000","1","2","12","12"
"23003","500","2","13","13"
"25011","10000","2","14","14"
"25012","10000","2","15","15"
"25013","10000","2","16","16"
"25014","10000","2","17","17"
"25015","10000","2","18","18"
"25021","5000","2","19","19"
"25101","1","2","20","20"
"23003","100","2","21","21"
"25011","10000","2","22","22"
"25012","10000","2","23","23"
"25013","10000","2","24","24"
"25014","10000","2","25","25"
"25015","10000","2","26","26"
"25021","5000","2","27","27"
"91002","100","8","28","28"
"23003","150","2","29","29"
"23003","150","2","30","30"
"23003","150","2","31","31"
"23003","150","2","32","32"
"23003","150","2","33","33"
"23003","150","2","34","34"
"26202","50000","2","35","35"
"26202","50000","2","36","36"
"26203","1","2","37","37"
"26202","50000","2","38","38"
"26202","50000","2","39","39"
"26203","1","2","40","40"
"26202","50000","2","41","41"
"26202","50000","2","42","42"
"26203","1","2","43","43"
"26202","50000","2","44","44"
"26202","50000","2","45","45"
"26203","1","2","46","46"
"26202","50000","2","47","47"
"26202","50000","2","48","48"
"26203","1","2","49","49"
"26202","100000","2","50","50"
"26202","100000","2","51","51"
"26203","1","2","52","52"
"26202","100000","2","53","53"
"26202","100000","2","54","54"
"26203","1","2","55","55"
"26202","100000","2","56","56"
"26202","100000","2","57","57"
"26203","1","2","58","58"
"26202","100000","2","59","59"
"26202","100000","2","60","60"
"26203","1","2","61","61"
"26202","100000","2","62","62"
"26202","100000","2","63","63"
"26203","1","2","64","64"
