0ba8771baaa14d3dbd1df788a0fc3d49ba5cc163dc3574900c1d86549df61ce3,feb1cf01c961dde03f1e18a8ddb898d939334c319896365d5b26cb7916cefe16,45aa52cd7390dd099820a455b2f5e179606f570439830ae8bc636f7e2898a878,112260edbac738fe797444aa1e584fa17a2e6457e4a743da54a0828cf82c309a,960b00f65d16612d74b940610c3e110b8dff1cb2c99c590bb357496b4ea52c80,3e8b1e9484244caec4c3a1fac955be79c7cbd3ccfb20debd98e0a5c9082836cb,aabe624af5e79397a3e9e2c315a704fa7e67bd236e92cf8d301506a3584b3233,1b8d65f43cf66d8ee47db1b956fe2037296ae2834154dd16cc3bd261b4f46946,7f5ba889a37be437b9ac742acc39daed08add1c7e252977231354f2191f58bbd,e55dad11c9e03a1581eb4ff75ac9b08ffa98ebd59a1e56b6b2460dfa7e282dce,441b6c8680d4ce7b5879eef436b73d1a5f13d7b5f33f275e2406f0e7b9a2fddc,b75658952ebcf8c1f699ca7b0907584225c96730ef3cd33a2b8525f439662126
"0","100201","20","0","8","1007401","91002","10074","2021/08/31 12:00:00","ユイのカルテ　その１","若さと微熱","20041106"
"1007401","100201","20","0","8","1007402","91002","10074","2021/08/31 12:00:00","ユイのカルテ　その２","この胸の高鳴りを","20041112"
"1007402","100201","30","0","8","1007403","91002","10074","2021/09/02 5:00:00","ユイのカルテ　その３","狂おしき病の名は","20041115"
"0","111001","20","0","8","1007404","91002","10074","2021/08/31 12:00:00","ユニのカルテ　その１","予期せぬ来訪者","20041106"
"1007404","111001","20","0","8","1007405","91002","10074","2021/08/31 12:00:00","ユニのカルテ　その２","お薬の時間","20041112"
"1007405","111001","30","0","8","1007406","91002","10074","2021/09/03 5:00:00","ユニのカルテ　その３","親愛なるあなたへ","20041115"
"0","102501","20","0","8","1007407","91002","10074","2021/08/31 12:00:00","スズメのカルテ　その１","奇妙な外来患者","20041108"
"1007407","102501","20","0","8","1007408","91002","10074","2021/08/31 12:00:00","スズメのカルテ　その２","恐るべき症例","20041114"
"1007408","102501","30","0","8","1007409","91002","10074","2021/09/04 5:00:00","スズメのカルテ　その３","現代医学の限界","20041115"
"0","104401","20","0","8","1007410","91002","10074","2021/08/31 12:00:00","イリヤのカルテ　その１","夜を統べる者の受難","20041108"
"1007410","104401","20","0","8","1007411","91002","10074","2021/08/31 12:00:00","イリヤのカルテ　その２","美しきプロデュース","20041114"
"1007411","104401","30","0","8","1007412","91002","10074","2021/09/05 5:00:00","イリヤのカルテ　その３","麗しのレッスン","20041115"
"0","100901","20","0","8","1007413","91002","10074","2021/08/31 12:00:00","アンナのカルテ　その１","見えない敵","20041110"
"1007413","100901","20","2004101","8","1007414","91002","10074","2021/08/31 12:00:00","アンナのカルテ　その２","封じられた魔法","0"
"1007414","100901","30","2004101","8","1007415","91002","10074","2021/09/06 5:00:00","アンナのカルテ　その３","隻眼の悪魔の特別診療","0"
"0","103101","20","0","8","1007416","91002","10074","2021/08/31 12:00:00","シノブのカルテ　その１","スカルサプライズ","20041110"
"1007416","103101","30","2004101","8","1007417","91002","10074","2021/09/01 5:00:00","シノブのカルテ　その２","迷える少女に救いの手を","0"
