99f47537bf19f29928e5a57a375df9451d0846a97731aceea4209967765c0cbc,c4679dab5d3e2ddd8299003503abd21fc8c310d9aa10632cbc64d4e00ed2e16f,250857bcbbdc56113cb7bd57ab47379e112e402aa56781db1ee6ed4f3f6a318c,2003754ddcb5521459810ff80de2b371c78d4edda3a4308ce186ee42f2b9452c,99c2718820eb7a6ceb41584216428a6d52ec359d55ee15abfb25254bd144b657
"28","2020/02/15 15:00:00","2020/03/02 4:59:59","27001","27001"
"33","2021/02/15 23:00:00","2021/03/05 11:59:59","27002","27001"
"42","2021/08/15 15:00:00","2021/09/05 11:59:59","27003","27001"
"43","2021/12/31 12:00:00","2022/01/21 11:59:59","27004","27001"
"44","2022/02/15 15:00:00","2022/03/05 14:59:59","27005","27005"
"55","2022/08/15 15:00:00","2022/09/05 11:59:59","27006","27001"
"81","2022/12/31 12:00:00","2023/01/21 11:59:59","27007","27001"
"82","2023/02/15 15:00:00","2023/03/05 14:59:59","27008","27005"
"85","2023/04/30 12:00:00","2023/05/25 14:59:59","27009","27009"
"113","2023/08/15 15:00:00","2023/09/04 14:59:59","27010","27001"
"115","2023/12/31 12:00:00","2024/01/21 11:59:59","27012","27012"
"118","2024/02/15 00:00:00","2024/03/05 14:59:59","27013","27005"
"119","2024/04/30 12:00:00","2024/05/30 23:59:59","27014","27012"
"127","2024/08/15 15:00:00","2024/09/10 23:59:59","27015","27012"
