c4f14f4cb8c6c725499c2596500fa7931b7abe52b1606cb950c16407916e3bce,570a90d830265e51daf8773eb465d529d686ad945bfade51da39fac7dcf6c61b,20c86492af1555072c3e92cca099ec68dde75744a44254b724583612756aeb87,91b7b106bb25cbe3a75b1ead362a5cec1e11a887a6cfcf445aa6da3a4e369728,e4bc9d45959f9019d522505fb08e369dba92d3afe5243d66859bfc82a357b559,2086caee8a51cd151eb6a30c97c0449a2b1ef5cde4d671e249ca12a0a6158485,560bd5294b28fa836855934a548f16e7be5348e0ce2aa773ead957b1fda23212,7d5d80bc32e875293bdd5a733814c20c08915dd3ef812d42ae0d585ca81fa95b,9d2fd652579d62f6f2978f2395449dc24e2277f8e4e70d664320b0f47cf1d463,ebafc07f7709a2662d70eb419a5a88ada99a078cc67926b595b38489faaaa698,8fefd7b1001e815299ee0c8478649f0c0e6f0de78bea1b6aafde7cecb59536b8,649e594bb88e396a2ef14e7002c9164b908d4d548ee39a486d6f7cacc4cc5c88,0264948cdd62e901f2ace755c67ddcfd54215dbc70fb0ea75a77a7b7c56ec8da
"","","","","31001_01","","","","29","1","","3100101",""
"","","","","31001_03","","","","59","30","","3100101",""
"","","","","31001_05","","","","-1","60","","3100101",""
"31001_01","","","","31001_01","","","","29","1","","3100102",""
"31001_03","","","","31001_03","","","","59","30","","3100102",""
"31001_05","","","","31001_05","","","","-1","60","","3100102",""
"31001_01","","","","31001_01","","","31001_01","29","1","","3100103",""
"31001_03","","","","31001_03","","","31001_03","59","30","","3100103",""
"31001_05","","","","31001_05","","","31001_05","-1","60","","3100103",""
"31001_01","","","","31001_01","","31001_01","31001_01","29","1","","3100104",""
"31001_03","","","","31001_03","","31001_03","31001_03","59","30","","3100104",""
"31001_05","","","","31001_05","","31001_05","31001_05","-1","60","","3100104",""
"61003_02","","","","61003_01","","","","29","1","","3100201",""
"61003_04","","","","61003_03","","","","49","30","","3100201",""
"61003_06","","","","61003_05","","","","79","50","","3100201",""
"61003_08","","","","61003_07","","","","99","80","","3100201",""
"61003_10","","","","61003_09","","","","109","100","","3100201",""
"61003_12","","","","61003_11","","","","119","110","","3100201",""
"61003_14","","","","61003_13","","","","129","120","","3100201",""
"61003_16","","","","61003_15","","","","139","130","","3100201",""
"61003_18","","","","61003_17","","","","149","140","","3100201",""
"61003_20","","","","61003_19","","","","159","150","","3100201",""
"61003_22","","","","61003_21","","","","169","160","","3100201",""
"61003_24","","","","61003_23","","","","179","170","","3100201",""
"61003_26","","","","61003_25","","","","189","180","","3100201",""
"61003_28","","","","61003_27","","","","199","190","","3100201",""
"61003_30","","","","61003_29","","","","209","200","","3100201",""
"61003_32","","","","61003_31","","","","219","210","","3100201",""
"61003_34","","","","61003_33","","","","229","220","","3100201",""
"61003_36","","","","61003_35","","","","239","230","","3100201",""
"61003_38","","","","61003_37","","","","249","240","","3100201",""
"61003_40","","","","61003_39","","","","259","250","","3100201",""
"61003_42","","","","61003_41","","","","269","260","","3100201",""
"61003_44","","","","61003_43","","","","279","270","","3100201",""
"61003_46","","","","61003_45","","","","289","280","","3100201",""
"61003_48","","","","61003_47","","","","299","290","","3100201",""
"61003_50","","","","61003_49","","","","309","300","","3100201",""
"61003_52","","","","61003_51","","","","319","310","","3100201",""
"61003_54","","","","61003_53","","","","-1","320","","3100201",""
