c4adb5e5bdd8df5427a26ea2dabbafdf3bdeaf9ac283eb3b77829b056adca148,445bcc96498181a75c7b151ff8d07c5c1a9c0a309bcad3a813150e33d3c6df2b,f13e4580bd2cc6ee765ebd3c843d1f8713474d7880364a8b4272580e3df3c3fe,8b181ad76c42926dfe906d96ba18b541a8c705276cff7c275fe8bcc98cacfedf,ec55580aaded5c42a078226d0c38e2dbb8f085a44d9cb15a7ae18871e619bdb4,c17d9161cbbca2f809c90b23e9837cc011a2cf709e8b193c810e7cd8322fdcce,09b7cbe9b2e9932e376551439efe97d81b3069a1de42f11884bc74e14b62f414,a7fa698843d0fa556e7c7e66bd74577c99476f4fdf76528b02fe6840390048eb,cac45daccd3ac0282cb3fa9911b278fbe3f1f4cdf25183a4831787cbc5a50ec2,0fb17354f20694c9ffd13e9880fd78ba7e87d2af282a42c7ad204c1d17fe619c,dca35a4e74daeba862af26daf213fbb8e33c89bfb92a8ee44f820911336432da,96dbb5c0137c0115f79a50c48314ab29ea046966c7d287f15b447ad97b97eb93,97c9aa4a7de1b5fb90f6a2782421c2a3fe0317a3061b1e8bd8bcc9769001dc6c,2ea4d3cb2bf94167b14940d238338be4f292c7670e3ae839583adb0315d4bfbc
"7","1","1","1","1","30","-1","1","1","6","1","4","30","1001"
"11","1","1","1","1","60","-1","1","1","6","1","31","60","1002"
"15","1","1","1","1","90","-1","1","1","6","1","61","90","1003"
"19","1","1","1","1","120","-1","1","1","6","1","91","120","1004"
"23","1","1","1","1","150","-1","1","1","6","1","121","150","1005"
"27","1","1","1","1","180","-1","1","1","6","1","151","180","1006"
"29","1","1","1","1","210","-1","1","1","6","1","181","210","1007"
"31","1","1","1","1","240","-1","1","1","6","1","211","240","1008"
"31","1","1","1","1","270","-1","1","1","6","1","241","270","1009"
"31","1","1","1","1","300","-1","1","1","6","1","271","300","1010"
"31","1","1","1","1","-1","-1","1","1","6","1","301","310","1011"
"7","1","1","1","1","30","-1","1","1","5","2","4","30","1101"
"11","1","1","1","1","60","-1","1","1","5","2","31","60","1102"
"15","1","1","1","1","90","-1","1","1","5","2","61","90","1103"
"19","1","1","1","1","120","-1","1","1","5","2","91","120","1104"
"23","1","1","1","1","150","-1","1","1","5","2","121","150","1105"
"27","1","1","1","1","180","-1","1","1","5","2","151","180","1106"
"29","1","1","1","1","210","-1","1","1","5","2","181","210","1107"
"31","1","1","1","1","240","-1","1","1","5","2","211","240","1108"
"31","1","1","1","1","270","-1","1","1","5","2","241","270","1109"
"31","1","1","1","1","300","-1","1","1","5","2","271","300","1110"
"31","1","1","1","1","-1","-1","1","1","5","2","301","310","1111"
"7","1","1","1","1","30","-1","1","1","5","3","4","-1","1201"
"11","1","1","1","1","60","-1","1","1","5","3","31","-1","1202"
"15","1","1","1","1","90","-1","1","1","5","3","61","-1","1203"
"19","1","1","1","1","120","-1","1","1","5","3","91","-1","1204"
"23","1","1","1","1","150","-1","1","1","5","3","121","-1","1205"
"27","1","1","1","1","180","-1","1","1","5","3","151","-1","1206"
"29","1","1","1","1","210","-1","1","1","5","3","181","-1","1207"
"31","1","1","1","1","240","-1","1","1","5","3","211","-1","1208"
"31","1","1","1","1","270","-1","1","1","5","3","241","-1","1209"
"31","1","1","1","1","300","-1","1","1","5","3","271","-1","1210"
"31","1","1","1","1","-1","-1","1","1","5","3","301","-1","1211"
"7","1","1","1","1","30","-1","1","1","5","4","4","30","1301"
"10","1","1","1","1","60","-1","1","1","5","4","31","60","1302"
"13","1","1","1","1","90","-1","1","1","5","4","61","90","1303"
"16","1","1","1","1","120","-1","1","1","5","4","91","120","1304"
"19","1","1","1","1","150","-1","1","1","5","4","121","150","1305"
"22","1","1","1","1","180","-1","1","1","5","4","151","180","1306"
"25","1","1","1","1","210","-1","1","1","5","4","181","210","1307"
"28","1","1","1","1","240","-1","1","1","5","4","211","240","1308"
"28","1","1","1","1","270","-1","1","1","5","4","241","270","1309"
"28","1","1","1","1","300","-1","1","1","5","4","271","300","1310"
"28","1","1","1","1","-1","-1","1","1","5","4","301","310","1311"
"7","1","1","1","1","30","-1","1","1","5","5","4","-1","1401"
"10","1","1","1","1","60","-1","1","1","5","5","31","-1","1402"
"13","1","1","1","1","90","-1","1","1","5","5","61","-1","1403"
"16","1","1","1","1","120","-1","1","1","5","5","91","-1","1404"
"19","1","1","1","1","150","-1","1","1","5","5","121","-1","1405"
"22","1","1","1","1","180","-1","1","1","5","5","151","-1","1406"
"25","1","1","1","1","210","-1","1","1","5","5","181","-1","1407"
"28","1","1","1","1","240","-1","1","1","5","5","211","-1","1408"
"28","1","1","1","1","270","-1","1","1","5","5","241","-1","1409"
"28","1","1","1","1","300","-1","1","1","5","5","271","-1","1410"
"28","1","1","1","1","-1","-1","1","1","5","5","301","-1","1411"
"7","1","1","1","1","30","-1","1","1","3","6","4","-1","1501"
"10","1","1","1","1","60","-1","1","1","3","6","31","-1","1502"
"13","1","1","1","1","90","-1","1","1","3","6","61","-1","1503"
"16","1","1","1","1","120","-1","1","1","3","6","91","-1","1504"
"19","1","1","1","1","150","-1","1","1","3","6","121","-1","1505"
"22","1","1","1","1","180","-1","1","1","3","6","151","-1","1506"
"22","1","1","1","1","210","-1","1","1","3","6","181","-1","1507"
"22","1","1","1","1","240","-1","1","1","3","6","211","-1","1508"
"22","1","1","1","1","270","-1","1","1","3","6","241","-1","1509"
"22","1","1","1","1","-1","-1","1","1","3","6","271","-1","1510"
"7","1","1","1","1","30","5","1","1","6","7","4","30","1601"
"11","1","1","1","1","60","5","1","1","6","7","31","60","1602"
"15","1","1","1","1","90","5","1","1","6","7","61","90","1603"
"19","1","1","1","1","120","5","1","1","6","7","91","120","1604"
"23","1","1","1","1","150","5","1","1","6","7","121","150","1605"
"27","1","1","1","1","180","5","1","1","6","7","151","180","1606"
"29","1","1","1","1","210","5","1","1","6","7","181","210","1607"
"31","1","1","1","1","240","5","1","1","6","7","211","240","1608"
"31","1","1","1","1","270","5","1","1","6","7","241","270","1609"
"31","1","1","1","1","300","5","1","1","6","7","271","300","1610"
"31","1","1","1","1","-1","5","1","1","6","7","301","310","1611"
"7","1","1","1","1","30","5","1","1","5","8","4","30","1701"
"11","1","1","1","1","60","5","1","1","5","8","31","60","1702"
"15","1","1","1","1","90","5","1","1","5","8","61","90","1703"
"19","1","1","1","1","120","5","1","1","5","8","91","120","1704"
"23","1","1","1","1","150","5","1","1","5","8","121","150","1705"
"27","1","1","1","1","180","5","1","1","5","8","151","180","1706"
"29","1","1","1","1","210","5","1","1","5","8","181","210","1707"
"31","1","1","1","1","240","5","1","1","5","8","211","240","1708"
"31","1","1","1","1","270","5","1","1","5","8","241","270","1709"
"31","1","1","1","1","300","5","1","1","5","8","271","300","1710"
"31","1","1","1","1","-1","5","1","1","5","8","301","310","1711"
