b3194f2edc541ae6bd7c7eda221283dce589313f15387e6d3fef2641ebf3cee6,53553609c52303850196e818c85ce379642a3458f0e8ee7604ffb891ef54b6ad,610d86949399f21321f8d8b7d5008f4750c2849ccb68f18677143fb28a71479f,447f3375891f63602267d17623865054af6c77eb5f4765b8753a032e8912470c
"5046601","1","1004601","1004601"
"5048007","1","1004801","1004801"
"1004801","2","1004802","1004802"
"5056601","1","1005601","1005601"
"5061601","1","1006101","1006101"
"5061602","3","1006102","1006102"
"5061601","1","1006103","1006103"
"5027704","4","1006601","1006601"
"0","5","1007001","1007001"
"5046601","1","1007301","1007301"
"5048007","1","1007501","1007501"
"1004801","2","1007502","1007502"
"0","6","1008201","1008201"
"5056601","1","1008301","1008301"
"5061601","1","1008901","1008901"
"5061602","3","1008902","1008902"
"5061601","1","1008903","1008903"
"5092601","3","1009201","1009201"
"5100601","3","1010001","1010001"
"5100601","3","1010201","1010201"
"0","6","1010901","1010901"
"5092601","3","1011901","1011901"
"5100601","3","1012701","1012701"
"5056601","1","2003201","2003201"
