4764ba56e33e636dd902dc12e008d1b87ebad2dad10e89379cf475bc10e67c77,fcfceb798bc9851d5b8d9154287812b6bec0d2d406316b1803195f6472353d4a,f9dcfae4cd7a66ef72a3a592106e246a67d902a6be302b1aad6182d125b8f3d5,9b0cc9d9415c0693056abe3ac11e5f5427c7745c7041ffbd3db289253b8a2604,4b87ab1183e5b172709003e28589863c4589280981e71795c9302ee335adadd5,3f7a12cc88bf8259049b429e0f8959e721399d157257fef0c81cee13ac7cbf3c
"0","5035004","10036","0","0","5035005"
"0","5058004","10059","0","0","5058005"
"1006201","0","10063","10062","10062115","0"
"1008401","0","10085","10084","10084115","0"
"1008601","0","10087","10086","10086115","0"
"1011001","0","10111","10110","10110115","0"
"1011201","0","10113","10112","10112115","0"
"1013601","0","10137","10136","10136110","0"
"1013801","0","10139","10138","10138115","0"
"2003301","0","20034","20033","20033115","0"
"2004601","0","20047","20046","20046115","0"
