b4aa905035b327ee736d1f8edf89faef13491eec2840e8deb992987537eef49e,fc475327134b605741616aa289fbe1ab138cd0fc02f1548f6544a98026b95e53,ae63b33a915eae53d487b13b01c832bb6ffaa5b2b8a27cfac360f2a3cca992f4,a9f66c8619d5df483e68574b7062ba3020ecd515730e26060a8d9cdf48e5b483,81ac90cd49976afed47cc29b0625cfca4610cdf89eb9d73f9547813bd6f76076,b6de204641f8be44d2af43efad2d6bfba978c5bc6f1f87538cf870f45f323dc7,af7c9dc93334bf1a30727df0e4a96a75db41a94c36387d2e8e56efc31d1d9bc8,d446435c9356c61bdc4ece806d4255953943f2ed504997e6beeaaa20d3ac1d8d,0ad3286952910de14b9489819e2fd7385207bbc0e2284423c6092331463a715e,a3f459f6eccc9ad79be5ae5f86407193115a8602c4524fc9cbeff853eb112f2a,10f28aac2cf884c1553f2287b1195ed63494c70588d7d89e1f0d8b193e185995,bbb1fec810c063829bfab9b5d0d379be272feb29fae71185aa7ddd094c9c9549,dd5718b5557c30e2d6f2e053d447f457a4c8aae77421a6a08e5ac53c6093a035,9a83001a0fcde4c7d5a795a559d4ed731250d725d1229574708e4a331348544f,bf2f27166e54b99bfd7416b48895f88eb03386cd37bd3a5a2ce3c98f11575a75,99f31f3e7ed7c6e5d1708fe69c262b2d5970310f27594cf0300984b172515ccd,3be68fbd7a5b057958fb05e472774391ccf7fb637c1e7c2169a11defd6d6bc3c,e6e72111dce420bbd097f131b9c16ce90dd9cccb4b3e692b526a488fdd95078a,a600c471378db333d645cb5936217ef140d618db6bedf636349518e125191c56,407160c9a46f94546459d042a88a1d276e6375408452e9108c88b59b771de09b,25b53862fa6cabadcb81c2e92eb5d5273bddd60df8fbfbf291b69988c0493954
"100100101","-1","0","1","30","0","0","0","3","単体物理ダメージ+{0}","2.4","0","0","敵単体に{0}の物理ダメージ","1","1","0","30","1","1","1"
"100100102","-1","0","3","0","0","0","0","3","","500","0","0","","1","1","0","50","99","3","1"
"100100103","400","0","1","13.5","0","0","0","3","範囲物理ダメージ+{0}","1.08","0","0","範囲内の敵に{0}の物理ダメージ","1","1","0","13.5","99","1","2"
"100100201","-1","0","1","20","0","0","0","3","物理ダメージ+{0}","1.6","0","0","敵単体に{0}の物理ダメージ","1","1","0","20","1","1","1"
"100100301","0","0","1","8","0","0","0","1","物理ダメージ+{0}","0.6","0","0","敵単体に{0}の物理ダメージ","1","1","0","8","1","1","1"
"100100302","0","0","10","11","0","0","0","7","物理攻撃力アップ+{0}","11","1","12","自分の物理攻撃力を{0}アップ","1","2","1","1","1","10","1"
"100101101","-1","0","1","60","0","0","0","3","単体物理ダメージ+{0}","4.8","0","0","敵単体に{0}の物理ダメージ","1","1","0","60","1","1","1"
"100101102","600","0","1","45","0","0","0","3","範囲物理ダメージ+{0}","3.6","0","0","範囲内の敵に{0}の物理ダメージ","1","1","0","45","99","1","2"
"100101201","-1","0","1","20","0","0","0","3","単体物理ダメージ+{0}","1.6","0","0","敵単体に{0}の物理ダメージ","1","1","0","20","1","1","1"
"100101202","400","0","1","9","0","0","0","3","範囲物理ダメージ+{0}","0.72","0","0","範囲内の敵に{0}の物理ダメージ","1","1","0","9","99","1","2"
"100150101","0","0","90","15","0","0","0","0","物理攻撃力アップ+{0}","15","0","1","自分の物理攻撃力を{0}アップ","1","0","0","1","0","2","0"
"100151101","0","0","90","240","0","0","0","0","物理攻撃力アップ+{0}","15","0","1","自分の物理攻撃力を{0}アップ","1","0","0","1","0","2","0"
"100200101","2160","0","4","6","0","0","0","3","ＨＰ回復量+{0}","6","0","0.45","味方全体のＨＰを{0}回復","1","2","0","1","99","2","3"
"100200201","-1","0","1","15","0","0","0","3","魔法ダメージ+{0}","1.2","0","0","敵単体に{0}の魔法ダメージ","1","1","0","15","1","2","1"
"100200301","2160","0","10","0.23","0","0","0","3","物理防御力アップ+{0}","0.23","1","12","味方全体の物理防御力を{0}アップ","1","2","1","1","99","20","3"
"100201101","2160","0","4","8","0","0","0","3","ＨＰ回復量+{0}","8","0","0.6","味方全体のＨＰを{0}回復","1","2","0","1","99","2","3"
"100201102","2160","0","10","1.2","0","0","0","3","物理防御力アップ+{0}","1.2","1","18","味方全体の物理防御力を{0}アップ","1","2","1","1","99","20","3"
"100201103","2160","0","6","45","0","0","0","3","無効ダメージ量+{0}","18","0","0","{0}ダメージ分の物理無効バリアを展開する","1","2","0","45","99","1","3"
"100201104","2160","0","8","0","0","0","0","3","","18","0","0","味方全体の行動速度アップ","1","2","1","2","99","2","3"
"100201201","-1","0","1","20","0","0","0","3","魔法ダメージ+{0}","1.6","0","0","敵単体に{0}の魔法ダメージ","1","1","0","20","1","2","1"
"100201202","-1","0","10","7.5","0","0","0","3","物理攻撃力ダウン+{0}","7.5","1","12","敵単体の物理攻撃力を{0}ダウン","1","1","1","1","1","11","1"
