b2e88ccb59c67f819d940a5823bc8cb2acaa8740a96856cb0831da350d3ac8c8,9167f10fcdb434c7227efb6f5928c97e2be5b3afa123eb2257ce05f8a9b65225,c8bd6944aea67701d47a1382fee8163cc22c70c08e259e630c600649b1883eae,313b639ec676fe2b7fadb0a246e6848f2c377a25a738415ef3c6c8002a731cd3,5e354b0a146635e3c580a81ced8b69e34e7bc142c0771da2884cb2f7a5fa12af
"990001","1","-4.5","-7","30010001"
"990001","1","-21.5","12","30010003"
"990001","1","-21.5","-3","30010004"
"1","1","-21.6","-5.8","30010007"
"1","1","-21.6","-4.4","30010008"
"1","1","-8.6","-16.7","30010029"
"1","1","-13","-7","30010038"
"990002","1","2.9","-5.5","30010047"
"1","1","-17.6","-8.9","30010055"
"1","1","-19","-6.6","30010056"
"1","1","-18.4","-5","30010060"
"3","1","-20.4","0.6","30010061"
"3","1","-17.2","-3.9","30010062"
"1","1","-14.9","-4.1","30010063"
"1","1","-17","2.2","30010066"
"1","1","-18.5","2.2","30010068"
"1","1","-15.4","2.2","30010070"
"3","1","-21.7","-9.6","30010071"
"1","1","-21.6","-11.9","30010073"
"3","1","-20","-12","30010074"
"3","1","-21.7","-1.9","30010077"
"3","1","-13.8","-4.9","30010079"
"2","1","-3.6","-17","30010081"
"2","1","-4.7","-15","30010083"
"3","1","-16.8","-13.9","30010085"
"3","1","-11.5","-7.1","30010089"
"2","1","-8.7","-8.1","30010091"
"2","1","-8.7","-5.7","30010094"
"2","1","-4.7","-16.3","30010100"
"2","1","-0.2","-13.8","30010104"
"2","1","2.3","-13.9","30010106"
"2","1","1","-15.2","30010107"
"2","1","2.1","-16.6","30010109"
"2","1","-0.1","-16.5","30010110"
"2","1","-2","-20","30010112"
"2","1","-0.8","-20","30010113"
"2","1","2","-20","30010115"
"2","1","3.7","-20","30010116"
"3","1","0.6","-19.9","30010117"
"3","1","-2.9","-18.2","30010119"
"3","1","-3","-19.5","30010120"
"991002","1","-2.5","-15","30010125"
"991001","1","-2.5","-16.7","30010126"
"991001","1","-21.4","-8.5","30010130"
"3","1","4.8","-18.4","30010134"
"3","1","5.8","-17","30010136"
"2","1","6.9","-17.1","30010137"
"3","1","8","-17","30010138"
"2","1","9.5","-17","30010139"
"2","1","5.3","-13.5","30010145"
"2","1","5.3","-12.1","30010146"
"3","1","8.7","-15.5","30010147"
"2","1","8.8","-14.3","30010148"
"3","1","8.8","-13","30010149"
"2","1","10.2","-12.3","30010150"
"2","1","8.4","-10.8","30010152"
"2","1","10.2","-10.7","30010155"
"1","1","-16.1","-6.2","30010156"
"2","1","6.8","-7.3","30010160"
"3","1","7.9","-6.4","30010161"
"1","1","6.4","-6","30010162"
"3","1","2","-6","30010163"
"1","1","4.6","-6","30010164"
"1","1","3","-2.8","30010166"
"1","1","5.3","-2.2","30010168"
"3","1","5.3","-0.5","30010169"
"1","1","-12.2","-4.9","30010170"
"3","1","-10.9","-4.9","30010171"
"1","1","8","-3.8","30010173"
"2","1","8.7","-2.6","30010174"
"1","1","8","-1.5","30010175"
"2","1","8.7","-0.3","30010176"
"1","1","7.9","0.9","30010177"
"2","1","3.3","-1.9","30010178"
"2","1","-0.8","-1.6","30010181"
"1","1","0.4","1","30010182"
"2","1","0.4","2.4","30010183"
"1","1","0.4","3.6","30010184"
"1","1","1.3","6.4","30010186"
"3","1","1.3","8","30010187"
"1","1","1.3","9.5","30010188"
"2","1","4.9","5.4","30010189"
"1","1","5.8","6.4","30010190"
"2","1","4.9","7.5","30010191"
"2","1","5.8","8.6","30010192"
"1","1","5.7","3.8","30010193"
"3","1","0.4","11.1","30010194"
"2","1","0.2","14","30010195"
"3","1","1.4","15","30010196"
"2","1","2.4","14.1","30010197"
"1","1","3.5","15.1","30010198"
"2","1","4.3","14","30010199"
"1","1","6.3","12","30010200"
"2","1","6.3","10.3","30010201"
"1","1","-2.8","12.1","30010202"
"3","1","-1.7","9.1","30010203"
"1","1","-3","9","30010204"
"3","1","-4.7","9","30010205"
"2","1","-1.7","15.9","30010206"
"2","1","-3.2","16.8","30010207"
"2","1","-4.5","15.8","30010208"
"3","1","-2.8","13.1","30010209"
"1","1","-8.8","10.2","30010210"
"2","1","-7.5","10.1","30010211"
"1","1","-5.9","10","30010212"
"3","1","-8.7","15.1","30010213"
"3","1","-7.6","16.2","30010214"
"3","1","-6.3","15.3","30010215"
"1","1","-10.4","15.9","30010216"
"3","1","-11.6","16.9","30010217"
"1","1","-13","15.9","30010218"
"2","1","-11.6","11.1","30010219"
"3","1","-10.1","11.1","30010220"
"3","1","-14.3","13.9","30010221"
"1","1","-15.5","15","30010222"
"3","1","-17.3","14.3","30010223"
"1","1","-18.4","15","30010224"
"1","1","-17.8","11.1","30010225"
"3","1","-18.9","11.1","30010226"
"1","1","-21.6","11","30010227"
"2","1","-21.6","9.7","30010228"
"1","1","-21.6","8.5","30010229"
"1","1","-21.6","7","30010230"
"3","1","-21.7","5.5","30010231"
"1","1","-21.7","4","30010232"
"3","1","-20.4","2.2","30010233"
"2","1","-19.3","6","30010234"
"2","1","-18.2","5.3","30010235"
"2","1","-16.8","6","30010236"
"1","1","-11.8","2.2","30010237"
"1","1","-9.5","7","30010238"
"3","1","-9","5.9","30010239"
"1","1","-9.5","4.9","30010240"
"3","1","-10.3","2.1","30010241"
"1","1","-8.5","2.1","30010242"
"1","1","-18.7","0.6","30010243"
"3","1","-13.4","5.2","30010244"
"3","1","-12.6","4","30010245"
"991004","1","6","-16.6","30010246"
"991002","1","5.5","-15.1","30010247"
"991002","1","-2.5","12.3","30010251"
"991001","1","-2.5","11.7","30010252"
"991002","1","-7.5","12.2","30010253"
"991001","1","-7.5","11.8","30010254"
"991001","1","-13.2","11.4","30010255"
"991003","1","-13.7","12.7","30010256"
"991001","1","-21.5","6.5","30010257"
"991002","1","-12.6","6.8","30010259"
"991001","1","-12.6","5.2","30010260"
"991002","1","-11.5","-1.5","30010261"
"991001","1","-11.5","-2.5","30010262"
"991004","1","-20.2","6.4","30010263"
"991002","1","-16.6","-1.8","30010264"
"991001","1","-16.6","-2.2","30010265"
"2","1","8.5","-9.3","30010267"
"1","1","-18.6","-12","30010268"
"991002","1","-17.6","-10.1","30010269"
