605899bc86f52b7dc64ca8290d22e667e64485557a87cdf6359bcadbb6e47215,fb41546bf4a525cb28fc936e04e3d992b3e75bd1973e39578598f604c1d49640,eb9a325540d8735f12f51bc493e338ead9b7aaa101cbbcb74ace051a0f52b9fc,403558110e7cc06e33f8293f386b33ee7623ed883394ef6d9847d96f47581ebc,d9957534b154b6e7cd57aad726a03766d9813b77532974803353c8412abbba7d
"30109001","8","91002","100","1"
"30109001","2","20002","10","2"
"30109002","8","91002","100","3"
"30109002","12","94002","40000","4"
"30109003","8","91002","300","5"
"30109004","8","91002","500","6"
"30109005","8","91002","500","7"
"30109005","12","94002","1000000","8"
"30109006","8","91002","500","9"
"30109006","12","94002","500000","10"
"30110001","8","91002","600","11"
"30110006","12","94002","200000","12"
