9b5d717124d1c69264745eb777f0bff3db1dcbf31b379d4fc9ed06d1d91e46ed,e942e8003eef92b4b2dc0eb77fcf429518e07d0f378052c6f9159d2f6ce6f6c2,ff650099f26e4cd32cbb919378eca009743839ea22c6500a443b116a93f71644,129a2133f4ddcd388a60ece6f3e1121de1ed8df99ac4f646882535764645a1d8
"100101","1.6","938","-354"
"100201","1.6","952","-499"
"100301","1.6","1014","-523"
"100401","1.6","894","-488"
"100601","1.6","980","-628"
"100701","1.6","983","-573"
"100801","1.6","1019","-544"
"100901","1.6","985","-510"
"101001","1.6","1115","-660"
"101101","1.6","1128","-415"
"101201","1.6","1042","-589"
"101601","1.6","1050","-501"
"101701","1.6","1038","-598"
"101801","1.6","985","-356"
"102001","1.6","1114","-494"
"102101","1.6","1003","-392"
"102201","1.6","1057","-407"
"102501","1.6","997","-388"
"102701","1.6","1090","-490"
"102801","1.6","987","-554"
"102901","1.6","976","-526"
"103001","1.6","994","-879"
"103101","1.6","1056","-560"
"103301","1.6","1018","-453"
"103401","1.6","1017","-345"
"103801","1.6","961","-674"
"104001","1.6","1095","-499"
"104201","1.6","955","-521"
"104301","1.6","1079","-581"
"104501","1.6","980","-538"
"104601","1.6","954","-364"
"104801","1.6","1107","-777"
"104901","1.6","973","-795"
"105001","1.6","1122","-492"
"105201","1.6","1035","-607"
"105301","1.6","885","-490"
