a70292322a9c55f04176e09372ef8d0e1a6daa2530e3a6f92b27ad999bf87481,ffbe14bd580707721ddac7d15f60d1ebaa604af8f1ffb77632f88bb8e9571646,f2afd2964e468f0e5b3aec3dea37e40fb20647d9f1b33f2a7630f65c9581ad09,66d624770dfe2483611bb5e8ef35a4503742584d8f1f8426c18add18ba2523d8,f2e5181e0aa1055ac9ff42daccdf1c17e5a8630ef4bddf4dafee5148638201c1,22139ba40b046748015ae349e69c5361b9eb2f4f0cc99ea419bf9ab8dd460eb2,6ff95b9196a250cb11fb96e6a13d6cea144a191944b68ecf9d6a8ea15e3ef2e7,de077d5d886e2a0f2c74d762e074f8eb5d7b3320f525018a2fdcb5277febb448,d71899f37e996d0eea4662f833d87527c275eb484822a2f512b2d23d1fc6c0d0,94a693efd74e36117bb8f4c0394273e1c9da75668fad470f0389b2673b2d7d3a,398a349ad3538b00ae0b41009d11a69a3d83dc88b7ba6dd005cf3b8ff0d400dc,828e170974deda4970121ca74e063442ed11b94d8c1a93e1f66b1902849adfce
"若さと微熱","0","20041106","91002","0","ユイのカルテ　その１","10074","1007401","100201","2021/08/31 12:00:00","8","20"
"この胸の高鳴りを","0","20041112","91002","1007401","ユイのカルテ　その２","10074","1007402","100201","2021/08/31 12:00:00","8","20"
"狂おしき病の名は","0","20041115","91002","1007402","ユイのカルテ　その３","10074","1007403","100201","2021/09/02 5:00:00","8","30"
"予期せぬ来訪者","0","20041106","91002","0","ユニのカルテ　その１","10074","1007404","111001","2021/08/31 12:00:00","8","20"
"お薬の時間","0","20041112","91002","1007404","ユニのカルテ　その２","10074","1007405","111001","2021/08/31 12:00:00","8","20"
"親愛なるあなたへ","0","20041115","91002","1007405","ユニのカルテ　その３","10074","1007406","111001","2021/09/03 5:00:00","8","30"
"奇妙な外来患者","0","20041108","91002","0","スズメのカルテ　その１","10074","1007407","102501","2021/08/31 12:00:00","8","20"
"恐るべき症例","0","20041114","91002","1007407","スズメのカルテ　その２","10074","1007408","102501","2021/08/31 12:00:00","8","20"
"現代医学の限界","0","20041115","91002","1007408","スズメのカルテ　その３","10074","1007409","102501","2021/09/04 5:00:00","8","30"
"夜を統べる者の受難","0","20041108","91002","0","イリヤのカルテ　その１","10074","1007410","104401","2021/08/31 12:00:00","8","20"
"美しきプロデュース","0","20041114","91002","1007410","イリヤのカルテ　その２","10074","1007411","104401","2021/08/31 12:00:00","8","20"
"麗しのレッスン","0","20041115","91002","1007411","イリヤのカルテ　その３","10074","1007412","104401","2021/09/05 5:00:00","8","30"
"見えない敵","0","20041110","91002","0","アンナのカルテ　その１","10074","1007413","100901","2021/08/31 12:00:00","8","20"
"封じられた魔法","2004101","0","91002","1007413","アンナのカルテ　その２","10074","1007414","100901","2021/08/31 12:00:00","8","20"
"隻眼の悪魔の特別診療","2004101","0","91002","1007414","アンナのカルテ　その３","10074","1007415","100901","2021/09/06 5:00:00","8","30"
"スカルサプライズ","0","20041110","91002","0","シノブのカルテ　その１","10074","1007416","103101","2021/08/31 12:00:00","8","20"
"迷える少女に救いの手を","2004101","0","91002","1007416","シノブのカルテ　その２","10074","1007417","103101","2021/09/01 5:00:00","8","30"
