b525dc5a375ced626ee5e9428e6d6e07bb52de730b0853da14b5b73a82430dc0,d971d7482ea35635d88f878ce19c995084d94c9d9032971f4f1a5c54189e7a96,e772b4fce344e425adbb36e13d97adce028f2304197222905f989999df694e1f,cd0214ad9be5d39d038c12fecf0171e34be744ad4113bc056fea632fd170987a
"1","1","ＨＰ","10000"
"2","1","物理攻撃力","10000"
"3","1","物理防御力","10000"
"4","1","魔法攻撃力","10000"
"5","1","魔法防御力","10000"
"6","1","物理クリティカル","10000"
"7","1","魔法クリティカル","10000"
"8","0","回避","1"
"9","0","ＨＰ吸収","1"
"10","0","ＨＰ自動回復","1"
"11","0","ＴＰ自動回復","1"
"12","0","物理貫通ダメージ","1"
"13","0","魔法貫通ダメージ","1"
"14","0","ＴＰ上昇","1"
"15","0","回復量上昇","1"
"16","0","ＴＰ消費軽減","1"
"17","0","命中","1"
"100","1","物理クリティカルダメージ","100"
"101","1","魔法クリティカルダメージ","100"
"102","1","物理与ダメージ","100"
"103","1","魔法与ダメージ","100"
"104","1","属性ボーナス","10000"
"105","0","状態異常命中","1"
"107","0","通常攻撃強化","1"
"108","0","バフ強化","1"
"110","0","回復強化","1"
