2125e0f780cad5eb8596fc1fa77c01e58f81539faa884401a1bbb2f858c06234,0ade2d1fdabcf325760cf408fd5391ada2c51d08aba98f604e23c3a2836d473d,536248eb56e028e0eeac6d6c5fd53af0909ab695bdc386530e82d8d9dc42d348,4c5e0c8fdf1dc34aa1c954810946942164a131a3808acd25137a367a4b8dd0d4,4f0b2bc22bc23fdaa391e059449d1947f1fd0b98293f5994d0c842ee69377ed7,1f616eb507a289b0c13764ac1f759ce5fcd47423aba9c73bf0187885856866fc,c88965077b812f090dd24c413af3954453d84539bf5ec6eff49d7fa83fda958b,124e11618229756b9ecdc2a16aa610da45677c485cd1fdf74385c0aa06d2f9ee,3550cbeba73a2b9248de14060a8c6af5034a42f19ba0b990961568816783c8ae,8d8eaf2a75bc03bf9c8f982559d056c5e72ca26e8dcaef85b9409130f29e3b9b,9fa8069b6fa2d4299240ceea332aa7ec94c72d8b44fbc49775a2ece72ddcbe37,c72622b406eaaa300b3eaf0a394e2e9bc28b1e5d9548dd8d37e0690c33250b3a
"10017","0","10019","0","0","0","0","0","10016","0","266000","0"
"10019","0","0","0","0","0","0","0","10008","0","261000","0"
"10019","0","0","0","0","0","0","0","10008","0","261001","0"
"0","0","0","0","0","0","0","0","10019","0","262000","0"
"10019","0","0","0","0","0","0","0","10018","0","263000","0"
"10019","0","0","0","0","0","0","0","10017","0","264000","0"
"10019","0","0","0","0","0","0","0","10007","0","265000","0"
"10013","0","0","0","0","0","0","0","10001","0","301206","0"
"10009","0","10010","0","0","0","0","0","10001","0","303306","0"
"10009","0","10010","0","0","0","0","0","10001","0","312505","0"
"10004","0","10012","0","0","0","0","0","10001","0","304809","0"
"10013","0","0","0","0","0","0","0","10001","0","312307","0"
"10004","0","0","0","0","0","0","0","10001","0","310308","0"
"0","0","0","0","0","0","0","0","10002","0","303609","0"
"10006","0","0","0","0","0","0","0","10005","0","304404","0"
"10008","0","0","0","0","0","0","0","10007","0","319604","0"
"10018","0","0","0","0","0","0","0","10007","0","313709","0"
"0","0","0","0","0","0","0","0","10008","0","310707","0"
"10017","0","0","0","0","0","0","0","10016","0","306604","0"
"0","0","0","0","0","0","0","0","10019","0","322702","0"
"10004","0","10012","0","0","0","0","0","10003","0","302501","0"
"10006","0","10015","0","0","0","0","0","10005","0","319401","0"
"0","0","0","0","0","0","0","0","10007","0","310103","0"
"0","0","0","0","0","0","0","0","10011","0","315004","0"
"10017","0","0","0","0","0","0","0","10016","0","301701","0"
"10009","0","10010","0","0","0","0","0","10001","0","305708","0"
"10011","0","10012","0","0","0","0","0","10007","0","306905","0"
"10014","0","10017","0","0","0","0","0","10013","0","306306","0"
"10016","0","10017","0","0","0","0","0","10014","0","322907","0"
"10008","0","10013","0","0","0","10014","0","10007","10016","324400","0"
"0","0","0","0","0","410020301","0","0","0","0","306306","0"
"0","0","0","0","0","410020401","0","0","0","0","322907","0"
"10010","0","0","0","0","410040101","0","0","10001","0","305700","0"
"10008","0","10011","0","0","410040201","10012","0","10007","0","304600","0"
"10014","0","0","0","0","410040301","0","0","10005","0","301205","0"
"10013","0","0","0","0","410040401","0","0","10007","0","316103","0"
"10004","0","0","0","0","410040501","0","0","10006","0","312502","0"
"10011","0","0","0","0","410040601","0","0","10007","0","304102","0"
"0","0","0","0","0","410040701","0","0","10020","0","301102","0"
"10016","0","0","0","0","410040801","0","0","10018","0","304000","0"
"10016","0","10011","0","0","410040901","10012","0","10007","0","305803","0"
"10011","0","10013","0","0","410041001","0","0","10001","0","302904","0"
"10008","0","10011","0","0","0","10012","0","10007","0","320803","0"
"0","0","0","0","0","0","0","0","10020","0","309103","0"
"0","0","0","0","0","0","0","0","10020","0","309104","0"
"10015","0","0","0","0","0","0","0","10018","0","303905","0"
"10003","0","10004","0","0","0","0","0","10001","0","311205","0"
"10017","0","0","0","0","0","0","0","10016","0","301702","0"
