9ae714ded8200ef8cfb50f81b0df288fe09b4728f3188b38cb17ee7f9edd8c66,d94f3b19ca80d8f7d44a9ced54da31964afb6970171ee3afe38c7f7c9352cf44,14a070764277cbfd16f289fcf3df3b345d7b9d62b94cc239a5466b1ed0605e4d,33e9add905ea33ab80c40d2a5fe4dc60d75aafcfa7a85c8a8b3d272a0c73f48c
"100101","戦闘不能になったキャラが0人以下で勝利","0","1001"
"100102","戦闘不能になったキャラが1人以下で勝利","1","1001"
"100103","戦闘不能になったキャラが2人以下で勝利","2","1001"
"100201","バトルの残り時間が1:15以上で勝利","74001","1002"
"100202","バトルの残り時間が1:10以上で勝利","69001","1002"
"100203","バトルの残り時間が1:00以上で勝利","59001","1002"
"100204","バトルの残り時間が0:50以上で勝利","49001","1002"
"100205","バトルの残り時間が0:45以上で勝利","44001","1002"
"100206","バトルの残り時間が0:40以上で勝利","39001","1002"
"100207","バトルの残り時間が0:30以上で勝利","29001","1002"
"100301","味方のTotal HPが100%以上で勝利","1000","1003"
"100302","味方のTotal HPが90%以上で勝利","900","1003"
"100303","味方のTotal HPが80%以上で勝利","800","1003"
"100304","味方のTotal HPが70%以上で勝利","700","1003"
"100305","味方のTotal HPが60%以上で勝利","600","1003"
"100306","味方のTotal HPが50%以上で勝利","500","1003"
"100307","味方のTotal HPが99%以上で勝利","990","1003"
