ac7fdb83dfc460273d8b11be80e13443345fa8c4dae18f884b87c095909a28e6,8541f242ebc3ee1f70b118076741ba25330dfe03e861e50a4dcf299a7bae0c3a,a0001d1e663f75298f776314add95b807988632b76063d82877fd83082512b32,4cca20a3065c32c547b88a94bfbd67e1ac7a1e4a3e14565ecd75a19b111aca7b,1f107752a8e2fd11caa3afa9bbef1bd1aa401ec3ef19c6c97836662aabfb1e40,8fd0d0e81a0dddaea48600794ddeb9a03e980b40d923de2c96cde7ea6a43aab7
"0","1","1","0","1101","20025"
"0","1","1","0","1102","20025"
"1","0","1","5042002","1103","20025"
"0","1","1","0","1104","20025"
"1","0","1","5042003","1105","20025"
"0","1","1","0","1106","20025"
"2","0","1","5042005","1107","20025"
"1","0","2","5042007","1201","20025"
"2","0","2","5042007","1202","20025"
"0","1","2","0","1203","20025"
"0","1","2","0","1204","20025"
"0","0","1","0","1301","20025"
