57a22bf6e6c9ca953fcfbb2b8b026d164d644c548d8416dae966667c4bef5aa3,bea17f407d0a5084d0ec8710c1510e3e23ff4b016d11b3b15179e323005fc648,b586ec8d9255a6593e9ae5106227192f12b570b14667058f5ac4fe0bff69556e,f4d271ef0f9a224f820d0af13fc175905eb46f7fd9f744db2a85c4ec4e1c229a,7bc93a89876c0e16bef7204476c18dd9b555fc71714a83ac4ba004494c22de0d,507c32936057e75d3ecffa21fef6fec3a24685a0cb5f3b4e83050ab8b780c3a9
"100111","10011","0","0","100112","0"
"100121","10012","0","0","100122","0"
"100131","10013","0","0","0","0"
"100211","10021","0","0","0","0"
"100221","10022","0","0","0","0"
"100231","10023","0","0","100232","0"
"100311","10031","0","0","100312","0"
"100321","10032","0","0","100322","0"
"100331","10033","0","0","0","0"
"100411","10041","0","0","100412","0"
"100421","10042","0","0","100422","0"
"100431","10043","0","0","100432","0"
"100511","10051","0","0","0","0"
"100521","10052","0","0","100522","0"
"100531","10053","0","0","100532","0"
"110011","11001","0","0","0","0"
"110021","11002","0","0","0","0"
"110031","11003","0","0","0","0"
"110041","11004","0","0","0","0"
"110051","11005","0","0","0","0"
"120011","12001","0","0","0","0"
"120021","12002","0","0","0","0"
"120031","12003","0","0","0","0"
"120041","12004","0","0","0","0"
"120051","12005","0","0","0","0"
"130011","13001","0","0","0","0"
"130021","13002","0","0","130022","0"
"130031","13003","0","0","0","0"
"130041","13004","0","0","130042","0"
"130051","13005","0","0","0","0"
"140011","14001","0","0","0","0"
"140021","14002","0","0","0","0"
"140031","14003","0","0","0","0"
"140041","14004","0","0","140042","0"
"140051","14005","0","0","140052","0"
"150011","15001","0","0","0","0"
"150021","15002","0","0","0","0"
"150031","15003","0","0","0","0"
"150041","15004","0","0","0","0"
"150051","15005","0","0","0","0"
"210011","21001","0","0","0","0"
"210021","21002","0","0","0","0"
"210031","21003","0","0","0","0"
"210041","21004","0","0","0","0"
"210051","21005","0","0","0","0"
"220011","22001","0","0","0","0"
"220021","22002","0","0","0","0"
"220031","22003","0","0","0","0"
"220041","22004","0","0","0","0"
"220051","22005","0","0","0","0"
"230011","23001","0","0","0","0"
"230021","23002","0","0","230022","0"
"230031","23003","0","0","0","0"
"230041","23004","0","0","230042","0"
"230051","23005","0","0","0","0"
"240011","24001","0","0","0","0"
"240021","24002","0","0","0","0"
"240031","24003","0","0","0","0"
"240041","24004","0","0","240042","0"
"240051","24005","0","0","240052","0"
"250011","25001","0","0","0","0"
"250021","25002","0","0","0","0"
"250031","25003","0","0","0","0"
"250041","25004","0","0","0","0"
"250051","25005","0","0","0","0"
"300011","30001","0","0","0","0"
"310011","31001","0","0","0","0"
"310021","31002","0","0","0","0"
"310031","31003","0","0","0","0"
"310041","31004","0","0","0","0"
"310051","31005","0","0","0","0"
"310061","31006","0","0","0","0"
"320011","32001","0","0","0","0"
"320021","32002","0","0","0","0"
"320031","32003","0","0","0","0"
"320041","32004","0","0","0","0"
"320051","32005","0","0","0","0"
"320061","32006","0","0","0","0"
"330011","33001","0","0","0","0"
"330021","33002","0","0","330022","0"
"330031","33003","0","0","0","0"
"330041","33004","0","0","330042","0"
"330051","33005","0","0","0","0"
"330061","33006","0","0","330062","0"
"340011","34001","0","0","0","0"
"340021","34002","0","0","0","0"
"340031","34003","0","0","0","0"
"340041","34004","0","0","340042","0"
"340051","34005","0","0","340052","0"
"340061","34006","0","0","0","0"
"350011","35001","0","0","0","0"
"350021","35002","0","0","0","0"
"350031","35003","0","0","0","0"
"350041","35004","0","0","0","0"
"350051","35005","0","0","0","0"
"350061","35006","0","0","0","0"
"400011","40001","0","400013","400012","0"
"400021","40002","0","0","0","0"
"400031","40003","0","0","0","0"
"400041","40004","400044","400043","400042","0"
"400051","40005","0","0","0","0"
"400061","40006","0","400063","400062","0"
"400071","40007","0","0","0","0"
"400081","40008","0","0","0","0"
"400091","40009","0","0","400092","0"
"400101","40010","0","0","0","0"
"400111","40011","0","0","0","0"
"400121","40012","0","0","0","0"
"400131","40013","0","0","0","0"
"400141","40014","0","0","0","0"
"500011","50001","0","0","500012","0"
"500021","50002","0","0","0","0"
"500031","50003","0","0","0","0"
"500041","50004","0","0","0","0"
"500051","50005","0","0","0","0"
"500061","50006","0","0","0","0"
"500071","50007","0","0","0","0"
"500081","50008","0","0","0","0"
"500091","50009","0","0","500092","0"
"500101","50010","0","0","0","0"
"500111","50011","0","0","0","0"
"500121","50012","0","0","0","0"
"500131","50013","0","0","0","0"
"500141","50014","0","0","0","0"
