7e7fc4099b3f57510605f78d5ff67c4220987830d8fda3a78d3bd494ab85a2bd,38d31ed64daa21b6b4a14b0b2a6cbf91d60672d0317789e9b8eb16bef6118790,b99b00de6bd131ccc615ab7a11db1dc5532ea3d1846e4c6179ca1be94bd0747c,3fa1932bc69bf5de025687b6b9ae2ba1f0ad5b6a19a736c1868ff268fbcf7808
"0","100101","1001","戦闘不能になったキャラが0人以下で勝利"
"1","100102","1001","戦闘不能になったキャラが1人以下で勝利"
"2","100103","1001","戦闘不能になったキャラが2人以下で勝利"
"74001","100201","1002","バトルの残り時間が1:15以上で勝利"
"69001","100202","1002","バトルの残り時間が1:10以上で勝利"
"59001","100203","1002","バトルの残り時間が1:00以上で勝利"
"49001","100204","1002","バトルの残り時間が0:50以上で勝利"
"44001","100205","1002","バトルの残り時間が0:45以上で勝利"
"39001","100206","1002","バトルの残り時間が0:40以上で勝利"
"29001","100207","1002","バトルの残り時間が0:30以上で勝利"
"1000","100301","1003","味方のTotal HPが100%以上で勝利"
"900","100302","1003","味方のTotal HPが90%以上で勝利"
"800","100303","1003","味方のTotal HPが80%以上で勝利"
"700","100304","1003","味方のTotal HPが70%以上で勝利"
"600","100305","1003","味方のTotal HPが60%以上で勝利"
"500","100306","1003","味方のTotal HPが50%以上で勝利"
"990","100307","1003","味方のTotal HPが99%以上で勝利"
