17d623fcfe0cfef54208dfd3e12e2ecb41df3eaa509ba70bb6d7f0c572a0b46a,3a1b48b1c40a2a5dd1cee16c2c3f6f52eeea737903611b09f82f40d80c84b78d,42a6d9f53a45ec498df28a7d6af3d5c0e8b5de5890bff8fc20c33c3ff41702d5,7b9b81c5026a4d68135c1ffb9548d5f8c4ce821eef42628eb0beb5d179d061f9,05f7d7e6bc170c224493c1edbe65be60357961aedd090ee522563e524dffb617,1dc007bcfadff9929f02d043773d933ca74195215aaae9bbb6472deb2747ad9f,5ef2b38a732b2e443bb8460dd3f79019457fcf8fea4f991fdf3dfd8361076032,adf995d2a0ce73d2a77c8f05e73f5ddeb9fd5f5966cefb8c506d98d69ba33e1d
"110001","0","110001","70000","90110001","1","111","ガーゴイル（EASY）をクリアしよう"
"110002","0","110001","70000","90110002","1","112","ガーゴイル（NORMAL）をクリアしよう"
"110003","0","110001","70000","90110003","1","113","ガーゴイル（HARD）をクリアしよう"
"110004","0","110001","70000","90110004","1","114","ガーゴイル（VERY HARD）をクリアしよう"
"110005","0","110001","70000","90110005","1","115","ガーゴイル（EXTREME）をクリアしよう"
"120001","0","110001","70000","90120001","1","121","マグスガーゴイル（EASY）をクリアしよう"
"120002","0","110001","70000","90120002","1","122","マグスガーゴイル（NORMAL）をクリアしよう"
"120003","0","110001","70000","90120003","1","123","マグスガーゴイル（HARD）をクリアしよう"
"120004","0","110001","70000","90120004","1","124","マグスガーゴイル（VERY HARD）をクリアしよう"
"120005","0","110001","70000","90120005","1","125","マグスガーゴイル（EXTREME）をクリアしよう"
"130001","0","110001","70000","90130001","1","131","ガードガーゴイル（EASY）をクリアしよう"
"130002","0","110001","70000","90130002","1","132","ガードガーゴイル（NORMAL）をクリアしよう"
"130003","0","110001","70000","90130003","1","133","ガードガーゴイル（HARD）をクリアしよう"
"130004","0","110001","70000","90130004","1","134","ガードガーゴイル（VERY HARD）をクリアしよう"
"130005","0","110001","70000","90130005","1","135","ガードガーゴイル（EXTREME）をクリアしよう"
"140001","0","110001","70000","90140001","1","141","ガーゴイル・バースト（EASY）をクリアしよう"
"140002","0","110001","70000","90140002","1","142","ガーゴイル・バースト（NORMAL）をクリアしよう"
"140003","0","110001","70000","90140003","1","143","ガーゴイル・バースト（HARD）をクリアしよう"
"140004","0","110001","70000","90140004","1","144","ガーゴイル・バースト（VERY HARD）をクリアしよう"
"140005","0","110001","70000","90140005","1","145","ガーゴイル・バースト（EXTREME）をクリアしよう"
"150001","0","110001","70000","90150001","1","151","ガーゴイル・マギ（EASY）をクリアしよう"
"150002","0","110001","70000","90150002","1","152","ガーゴイル・マギ（NORMAL）をクリアしよう"
"150003","0","110001","70000","90150003","1","153","ガーゴイル・マギ（HARD）をクリアしよう"
"150004","0","110001","70000","90150004","1","154","ガーゴイル・マギ（VERY HARD）をクリアしよう"
"150005","0","110001","70000","90150005","1","155","ガーゴイル・マギ（EXTREME）をクリアしよう"
