136657d3be67a4603e5f585782382553762b6a23a878f1617ba6ddafe8e184cc,e3bedf9f9e22b66dde71ef063684725ff6624788fccd428fb8b971dfe0c0da38,878d30580fd587f0dd1c2335de35e5988c98b152c9ff0a2b0b14828d1322c50f,b102a8e0b8b8b4293f3bb500b1420fc42863245060a6878c020476e47a1edbdc,cc0457a70c3e89218e7684256601cc10afb464aa4dd9798c3d45331474b4fd8d,e35875d1af7bc6f8989dc219cf41fd071a102008e880e6fbb53f879df5b4ca27,5bfdc3d67a9e2b57e512e67ea02ef90c1e1f69084b91d81b139effd2dca914c7,aac8691174e80407c4d6aad2cbd7045adca18f842ce3084138efdfd41bc260de,cb0fb7185a1ddce6d1c85fb5df465869a11af80e417efb857f9947ce3f396021,21e684aba8cae532072a4130c7691b3c411847e9ac57dad9eb41f072abfeee9c,0e4e3eb453a3500908931fca141e44cdb968f4aa90712bfd6c9d83b2dce24ffd,6ad14d6c7eda827c4ccb4a758c9a6014aeefb04e428133fe3d595802849b2473,7a436ee711dca234c8da857fbe74394ec62284e79247606b73efce94f04303e2,951139153221938368224589911d6a90153573b7704093ae59520f6ff4252b3e,616083f315aef5640ae1bfa5ac7929225c9cfe832575083174d693d3429ef29c
"0","91002","フリーマーケット会場","2","40","7","フリーマーケットを訪れたジータが出会ったのは\n城をこっそり抜け出していたペコリーヌだった。","1","ペコリーヌとの出会い","2834","8","0","青空の下で謁見","10118","5118061"
"0","91002","フリーマーケット会場","2","40","7","ジータたちがフリーマーケットを巡っていると\n露店を出していたマホに声をかけられる。","1","マホとの出会い","2835","8","0","未来の騎空団\nマスコット？","10118","5118062"
"0","91002","ランドソル市街地","2","40","7","ジータが騎空団への依頼を確認していると、\n高笑いをしながらアキノが現れる。","1","アキノとの出会い","2837","8","0","お嬢さまからの\n緊急依頼","10118","5118063"
"0","91002","フリーマーケット会場","2","40","18","ジータたちは、フリーマーケット会場で\n少し困った様子のジュンを見かける。","1","ジュンとの出会い","4108402","8","0","黄金色の悩みごと","10118","5118064"
"0","91002","フリーマーケット会場","2","40","18","フリーマーケットの隅で開かれる格闘大会──\nそこにはカオリもいて……？","1","カオリとの出会い","4107402","8","0","白熱！　格闘大会！","10118","5118065"
"1","91002","オーエド町","2","40","16","太鼓祭を控えるオーエド町──\nジータは、困った様子のニノンと出会う。","1","ニノンとの出会い","9000227","8","0","祭り太鼓はオーエドの華","10118","5118066"
"0","91002","フリーマーケット会場","3","40","19","ビカラはイベントに出演中のスズナを見かける。\nしかし、スズナはどこか困っているようで……？","1","スズナとの出会い","2101181","8","0","人気者は遅れて\nやってくる","10118","5118067"
"0","91002","ランドソル市街地","3","40","18","ビカラたちが街を散策していると、通りかかった\nナナカが興奮した様子で近づいてきて……？","1","ナナカとの出会い","4109402","8","0","巫女・ミーツ・魔法少女","10118","5118068"
"0","91002","フリーマーケット会場","3","40","18","ネズ耳をなくしてしまい絶望するビカラ。同じ頃\nキャルとコッコロは落とし物を拾っており……","1","キャル＆コッコロとの出会い","4305402","8","0","ネズ耳は二度なくなる","10118","5118069"
"0","91002","ランドソル市街地","3","40","18","街外れでひと休みをしていたビカラたちは、\nすっかりゴキゲンな様子のユカリと出会う。","1","ユカリとの出会い","4101402","8","0","この出会いにカンパイ！","10118","5118070"
"0","91002","ランドソル市街地","3","40","18","ビカラは、人混みに怯えるアオイを心配し、\n陽気に声をかけるも……","1","アオイとの出会い","4106402","8","0","陰陽アンサンブル","10118","5118071"
"1","91002","フリーマーケット会場","3","40","7","ビカラがフリーマーケット会場を歩いていると\n占いをしていたシノブに声をかけられる。","1","シノブとの出会い","2836","8","0","運試し十番勝負！","10118","5118072"
"0","0","0","1","0","0","0","0","オープニング","0","0","10145115","彼女たちの新たな日常","10118","5118600"
