0067c687f0ffcee896768be0310ac0c12f6b0f310c6e2486300cf202a97af804,668ecb502d46246df99994da14376b3c695452ee4a86d4dc4d157b5a9fc0c59b,f5ff943d7303c08e82036a13c4614c02d0be810feed445d26144213464f8502d,8cae30f3a84fcc4509fe27958ab71d65f05e6b87f7a07eac9b6953767c4a3aaf,0890b7a41c198e2bb37ec6c66f1af5a00f636c741e07298d9e93e9dfee2f64e6,b247ea3679f49248f726d4e37a6aab7abf1e52ea381a2e111ea31109d5b30ca6,4e9beed0a29463c48c86f34dc4d1e70d1bac26d0a29d10b66d34ddd74cfebda9,66344cecd678dd2b81db4d49449f9a871d68e52426dc972f5a177f5ab2e49f68,99f260c12c9e452e56cdcdc56c3fb813e647071c0813ddcd82fb33b84dc2ee3b,6c74451d7c3150fb9605ac78c6117a5c3bd4de0f17b7777a7cb64478f7d7d2fa,d0c48471c80e98aec7e961e5d8fb23f2c9ce973389bfcf10deba66d4dd760aad,9499da1bb8d5f13dcb44a404ccb48e9690421b77013021c3e22c77e97e1ecf99
"1005801","0.8","1","0","0","0","4","1","0","0","100580101","0"
"1005801","0","0","0","vo_ske_0101","vo_ske","2","2","0","0","100580102","0"
"1005801","0","0","1","0","0","1","3","0","0.705","100580103","60"
"1005801","1.549","1","0","0","0","4","4","0","0","100580104","0"
"1005801","0","0","1","0","0","1","5","60","1.807","100580105","304"
"1005801","3.027","1","0","0","0","4","6","0","0","100580106","0"
"1005801","0","0","2","0","0","1","7","0","1.141","100580107","140"
"1005801","1.9","1","0","0","0","4","8","0","0","100580108","0"
"1005801","0","0","2","0","0","1","9","140","1.78","100580109","380"
"1005801","4.544","1","0","0","0","4","10","0","0","100580110","0"
"1005801","0","0","0","vo_ske_0102","vo_ske","2","11","0","0","100580111","0"
"1005801","0","0","3","0","0","1","12","0","1.322","100580112","195"
"1005801","2.917","1","0","0","0","4","13","0","0","100580113","0"
"1005801","0","0","0","vo_ske_0103","vo_ske","2","14","0","0","100580114","0"
"1005801","0","0","4","0","0","1","15","0","1.932","100580115","228"
"1005801","2.582","1","0","0","0","4","16","0","0","100580116","0"
"1005801","0","0","4","0","0","1","17","228","0.996","100580117","367"
"1005801","3.856","1","0","0","0","4","18","0","0","100580118","0"
"1005801","0","0","0","vo_ske_0104","vo_ske","2","19","0","0","100580119","0"
"1005801","0","0","5","0","0","1","20","0","0.67","100580120","102"
"1005801","1.785","1","0","0","0","4","21","0","0","100580121","0"
"1005801","0","0","5","0","0","1","22","102","2.253","100580122","364"
