2c29dc11d686949dedfb7d73b55ad51aa76a5471cd3e551fd1c3bfcca3679a74,1341ca031e8915ae4c1a37f2a4de676e8a3731e96d5e35f73d6cf4c5d7a54e09,d1acf9f553423b5bd59eec0fc387e49149fb6b73c8378c3aea5355c3767db580,034063545b30eb65b52627bf70c86653dcadded61de67e7c135955819ab901c0,9c275eed11f19d2e8b81e5f7e163b85a59efd507f204e4c48946aa00366585bb,70d3a9370372f244f0a1c77aba9f225dc865ffc5c8ac2aafa96aea61a8b3c63e,5447900f941998c419b9be5e3d08a5bbe23e3de3dd45a2aae2cdb4f3bf224fe4,b2a2b5aa8e4c7fe809f17bd3ff25c1a7663dc946ad2b287b29327d39531552a8,aee9139ca325039d1a09dd95a2f746fe486e3de59762310e94fe71489926746a,9045831d8d4731244ce177ea17730018cb51fde8190e26ae787c561459da9997,47106ab9efa439e0103595ed38b87deacffbe2f171084e590f3e160a89c37149,1a74b2e4e73f2e9af7f0b3d34263cf97fe6221e61c6b64e507c694f62b79e567,f8a5c8b4ef7852014a893a08f760866eaa45d2a18ba89edb48d132dce054632f,c227c0fd0f9dce01cce915d0bbea14c12669e174eb211b2c3e98b928c761718a,28673249ce725ea90f8965900c3ce2200654a78d95589f9e078a39930538e342,d429c2451f6130f040c4b672451d8aec03c705b12eab58c5e37792c000b4cdda,dc519809c8bfdb396016dccb5b6f42cb990371ee44c05d09b932b8f963832b26,4516c689290be65046c03c38e9e1bd800e72ca66c2f67884b88b767d23238eef,fe719c0c39264386c38263c84347ed79f841265a575aec162c63107696ce9bed
"0","0","0","0","100101","0","75","0","2","0","10","0","16","1","0","0","65","1","0"
"0","0","0","0","100101","0","125","0","3","0","30","0","68","3","0","0","185","2","0"
"0","0","0","3","100101","0","260","0","4","0","60","0","158","7","0","0","420","4","0"
"0","0","0","7","100101","0","420","0","5","0","100","0","293","12","0","0","810","7","0"
"3","0","0","11","100101","0","630","0","6","0","130","0","486","17","0","0","1340","11","0"
"6","0","0","17","100101","0","1235","0","7","0","155","0","731","26","0","0","1660","15","0"
"9","0","0","24","100101","10","1795","0","8","0","180","9","1030","35","0","0","2290","15","0"
"9","5","0","27","100101","40","1795","0","9","0","205","23","1459","46","0","0","2540","16","0"
"9","10","0","35","100101","100","1795","10","10","0","205","37","1941","51","0","0","2740","16","0"
"9","15","0","44","100101","158","1795","20","11","0","205","37","2439","55","0","0","3100","16","3"
"9","15","0","46","100101","198","2045","20","12","0","205","37","2871","66","0","0","3470","18","36"
"9","15","0","54","100101","251","2045","20","13","0","230","37","3345","79","0","0","3720","18","56"
"9","15","0","68","100101","328","2045","20","14","0","255","37","3840","97","0","0","3880","20","56"
"9","15","0","82","100101","448","2045","20","15","0","255","37","4412","111","0","0","3880","20","56"
"9","15","0","94","100101","586","2045","20","16","0","255","37","5015","124","0","0","3880","20","59"
"9","15","0","103","100101","711","2045","20","17","0","255","37","5656","142","0","0","3930","20","62"
"9","15","0","119","100101","856","2045","20","18","0","255","37","6351","157","0","0","3980","20","62"
"9","15","0","135","100101","984","2045","20","19","0","255","37","7154","173","0","0","4075","20","62"
