d9e31cb65b21812a88a056df6e9743a93480845b6cc0943314e93fd3abbc11cc,2ba68e8f71c9788fcac006f3299dd7371c93fac105a333611b7b3a054479e95f,e21483df252ade77da876e95c0d6632d3535f7fdf78832e4ba7fc8397b498384,2fac4bfe375003ed3386e867bac7b770416486a1f63cb0aca46dccaacc3d1a03,03caa19b74bbd6d8c2ef9a4209a401f5d4830f76a43f262582dbfe879997f018,6cd14d979d7c84866099069264954906951a149487315c8392431da989506ef9,a01434f5aa1a5ccb6e339a3bd729b656d7f26cd98d0a356690490ecd447f08dd
"71004025","[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]","1","BOSS討伐で解放！\n残り{0}体","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","107601","10004"
"71005025","[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]","2","BOSS討伐で解放！\n残り{0}体","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","108001","10005"
"71007031","[3C404E]ボスNORMAL討伐で解放！","3","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","108201","10007"
"71009031","[3C404E]ボスNORMAL討伐で解放！","4","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","108501","10009"
"71010031","[3C404E]ボスNORMAL討伐で解放！","5","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","108901","10010"
"71011031","[3C404E]ボスNORMAL討伐で解放！","6","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","109001","10011"
"71013031","[3C404E]ボスNORMAL討伐で解放！","7","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","109301","10013"
"71017031","[3C404E]ボスNORMAL討伐で解放！","8","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","109801","10017"
"71019031","[3C404E]ボスNORMAL討伐で解放！","9","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","110101","10019"
"72004021","[3C404E]ボスNORMAL討伐で解放！","10","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","107601","20004"
"71021035","[3C404E]ボスNORMAL討伐で解放！","11","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","110501","10021"
"72005021","[3C404E]ボスNORMAL討伐で解放！","12","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","108001","20005"
"71025031","[3C404E]ボスNORMAL討伐で解放！","13","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","111201","10025"
"71026031","[3C404E]ボスNORMAL討伐で解放！","15","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","108201","10026"
"71029031","[3C404E]ボスNORMAL討伐で解放！","16","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","111601","10029"
"71030031","[3C404E]ボスNORMAL討伐で解放！","17","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","108501","10030"
"71031031","[3C404E]ボスNORMAL討伐で解放！","18","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","112101","10031"
"71032031","[3C404E]ボスNORMAL討伐で解放！","19","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","108901","10032"
"71033031","[3C404E]ボスNORMAL討伐で解放！","20","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","112301","10033"
"71035031","[3C404E]ボスNORMAL討伐で解放！","21","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","112601","10035"
"71034031","[3C404E]ボスNORMAL討伐で解放！","22","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","109001","10034"
"71039031","[3C404E]ボスNORMAL討伐で解放！","24","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","109301","10039"
"71042031","[3C404E]ボスNORMAL討伐で解放！","25","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","113001","10042"
"71043031","[3C404E]ボスNORMAL討伐で解放！","26","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","110101","10043"
"71044031","[3C404E]ボスNORMAL討伐で解放！","27","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","113201","10044"
"71046031","[3C404E]ボスNORMAL討伐で解放！","28","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","113501","10046"
"71045035","[3C404E]ボスNORMAL討伐で解放！","29","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","110501","10045"
"71049031","[3C404E]ボスNORMAL討伐で解放！","30","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","111201","10049"
"71050031","[3C404E]ボスNORMAL討伐で解放！","31","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","114101","10050"
"71053031","[3C404E]ボスNORMAL討伐で解放！","32","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","109801","10053"
"71054033","[3C404E]ボスNORMAL討伐で解放！","33","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","114601","10054"
"71055031","[3C404E]ボスNORMAL討伐で解放！","34","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","111601","10055"
"71056032","[3C404E]ボスNORMAL討伐で解放！","35","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","114701","10056"
"71057031","[3C404E]ボスNORMAL討伐で解放！","36","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","112101","10057"
"71058032","[3C404E]ボスNORMAL討伐で解放！","37","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","115601","10058"
"71060031","[3C404E]ボスNORMAL討伐で解放！","38","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","112301","10060"
"71061032","[3C404E]ボスNORMAL討伐で解放！","39","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","115801","10061"
"71062031","[3C404E]ボスNORMAL討伐で解放！","40","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","112601","10062"
"71068032","[3C404E]ボスNORMAL討伐で解放！","41","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","116801","10068"
"71069031","[3C404E]ボスNORMAL討伐で解放！","42","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","113001","10069"
"71071031","[3C404E]ボスNORMAL討伐で解放！","43","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","113201","10071"
"71072032","[3C404E]ボスNORMAL討伐で解放！","44","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","117401","10072"
"71073031","[3C404E]ボスNORMAL討伐で解放！","45","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","113501","10073"
"71076032","[3C404E]ボスNORMAL討伐で解放！","46","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","117801","10076"
"71077031","[3C404E]ボスNORMAL討伐で解放！","47","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","114101","10077"
"71080032","[3C404E]ボスNORMAL討伐で解放！","48","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","119201","10080"
"71081033","[3C404E]ボスNORMAL討伐で解放！","49","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","114601","10081"
"71082032","[3C404E]ボスNORMAL討伐で解放！","50","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","120801","10082"
"71083032","[3C404E]ボスNORMAL討伐で解放！","51","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","114701","10083"
"71085032","[3C404E]ボスNORMAL討伐で解放！","52","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","121201","10085"
"71086032","[3C404E]ボスNORMAL討伐で解放！","53","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","115601","10086"
"71089032","[3C404E]ボスNORMAL討伐で解放！","54","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","115801","10089"
"71094032","[3C404E]ボスNORMAL討伐で解放！","55","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","122101","10094"
"71095032","[3C404E]ボスNORMAL討伐で解放！","56","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","116801","10095"
