f12f000cb2792e8d2674a947edf5e7cbdbfb00d136e0ab6938350b79fdc600b3,dc19773b33ef1089a9ce1c1fdc6a08be30f803ef3493afe9fd2f598ba38c635c
"21001","20000"
"21002","20000"
"21003","20000"
"21004","20000"
"21005","20000"
"21006","20000"
"21007","20000"
"21008","20000"
"21009","20000"
"21010","20000"
"21011","20000"
"21012","20000"
"21013","20000"
"21014","20000"
"21015","20000"
"21016","20000"
"21017","20000"
"21018","20000"
"21019","20000"
"21020","20000"
"21021","20000"
"21022","20000"
"21900","20000"
"21901","20000"
"21902","20000"
"21903","20000"
"21904","20000"
"21905","20000"
