75f739aa33bf91697b5b4bd28602ee07f7fd84b55aefe501ed0302d8012080fa,633dcfcb4d03697a93ee86896d012817482ecf722576f6d6767aae5763b639b5,3e20bb3adac47698092f93b1f415c0dd15057b3af8a1a59eaa6a800a9b0f5b5e,b72fc900de2586584da2d0cc48465d3fd0752e0f240c7b5cbd241bbc2f15615f,0b150cd6c4a2dcc28fe1a032b205008bca0b2dc97c7240d0b435946ba7af9e63,2482d4b48f0c7f3f47f909e2a3af522471af88e2ab147951c3461ef50fbe7127,7ccfd1b774dce45f6baa7785ee88fb1721e78ff28bb619e7f08ba1376b79099e,c071307e47aca919ad5a119b49548103cdf4a089c297d0e2bddd36ef2b8c7a19,fdf5e672e67f504957c2c07a3af6ec64294f901fdd2414edc51e6766a2c8f2fb,c07add433d4917506c3eb6d66a1532e8b100b894d9113886d9278d80ed30e8d4,25e3fcdaf45fb0b73f87c43c0741bb1027561a28344f9ab50eeb283b26f26e4d,71921a574c0112fcb4f2bcb9b0a54b1e21b768b81213a6af0cffc70a3c2ef8a8
"0","1","1010001","0","0","3","0","1","4","0","0","1"
"0","0","1010002","vo_minigame_1005_nikki01_000","0","0","0","2","2","vo_minigame_1005","0","1"
"1.418","0","1010003","0","0","0","202","3","1","0","1","1"
"0","1.858","1010004","0","0","1","0","4","4","0","0","1"
"2.536","0","1010005","0","0","0","316","5","1","0","2","1"
"0","3.484","1010006","0","0","1","0","6","4","0","0","1"
"0","0","1010007","vo_minigame_1005_nikki01_001","0","0","0","7","2","vo_minigame_1005","0","1"
"1.131","0","1010008","0","0","0","121","8","1","0","3","1"
"0","1.407","1010009","0","0","1","0","9","4","0","0","1"
"1.043","0","1010010","0","121","0","276","10","1","0","3","1"
"0","1.719","1010011","0","0","1","0","11","4","0","0","1"
"0.69","0","1010012","0","276","0","389","12","1","0","3","1"
"0","0.69","1010013","0","0","1","0","13","4","0","0","1"
"1.694","0","1010014","0","0","0","224","14","1","0","4","1"
"0","2.204","1010015","0","0","1","0","15","4","0","0","1"
"1.298","0","1010016","0","224","0","384","16","1","0","4","1"
"0","1.298","1010017","0","0","1","0","17","4","0","0","1"
"1.118","0","1010018","0","0","0","131","18","1","0","5","1"
"0","1.199","1010019","0","0","1","0","19","4","0","0","1"
"0.958","0","1010020","0","131","0","244","20","1","0","5","1"
"0","1.269","1010021","0","0","1","0","21","4","0","0","1"
"1.373","0","1010022","0","244","0","394","22","1","0","5","1"
"0","1.373","1010023","0","0","1","0","23","4","0","0","1"
"0.193","0","1010024","0","0","0","25","24","1","0","6","1"
