dd5f29b800de653ad589a90dfab1dafce1e9e5d26ae31e93046530bdd4457da5,8a34e37ea1f6ff39a4e543ef226de0d8800810ea540dc985cb4d2f44e54a9a22,c44bd4f499ec1683cdc414ca5cbb6e3b730c9de4abcea470e1466fcc6228adf3,9c01520cb60e23d8a707a60749d6f2f7d2bf99ebd25681f9bf117570aee83711,b44fc93c0ea3746580bf383184e053810d12b902a94cf0818c6d7fc4b0755efa,a2c0242be23f170a95575c5a530d131c5e8cc6fc7eaaca47ea1bdb79eaa79ea2,bfefcca4b8cedcb76193dc820c9c36ea981a6f62abe2f8df7faac71aa052c056,885ac5a5a8e1dc3395df97406db86dcdba39a2e19ecf08b189036417dd39cce1,52b496247d6d71b584afdb3edde1420f9c793c95f8e49fc13ceb4251cf8dbc42,6a5fcbc3cf629f24903a596a0a19865231b4bea71c231a024fc4d386f5cfe1f6,81c9521f8435e8b08f0cdc7bf283729504109fc8692870423d1b5cacac41f7f2,3e1313df2274c77769b2a6eadb0a57e7b14870786a220daaa00a349a5a0753c1,e0807275d78e1d87a2c18af2f5ae74aba835b8470b38c36a94bd40891ee97a93,02679e80b0f92707a0c1e40a02cb84c349f46abcbb0734592c635412f684c6ad,a4aee678347849a7ec320b73a59edfe1d0a3181a45d60d397e9035c97c18efbb
"8006","0","1","2030/04/01 14:59:59","1","アクダイカンを1体倒そう（NORMAL限定）","20014","2015/04/01 15:00:00","601","1004110","9001","660014101","99001001","0","99001001"
"8007","0","1","2030/04/01 14:59:59","1","アクダイカンを1体倒そう（HARD限定）","20014","2015/04/01 15:00:00","601","1004111","9001","660014201","99001002","0","99001002"
"8010","0","1","2030/04/01 14:59:59","1","アクダイカンを1体倒そう（VERY HARD限定）","20014","2015/04/01 15:00:00","601","1004112","9001","660014301","99001003","0","99001003"
"6011","0","1","2030/04/01 14:59:59","1","アクダイカンを1体倒そう（SPECIAL限定）","10041","2015/04/01 15:00:00","601","1004113","9001","610041401","99001004","0","99001004"
"6006","0","1","2030/04/01 14:59:59","1","ペテルギウスを1体倒そう（NORMAL限定）","10153","2015/04/01 15:00:00","601","1005310","9001","610153101","99001005","0","99001005"
"6007","0","1","2030/04/01 14:59:59","1","ペテルギウスを1体倒そう（HARD限定）","10153","2015/04/01 15:00:00","601","1005311","9001","610153201","99001006","0","99001006"
"6010","0","1","2030/04/01 14:59:59","1","ペテルギウスを1体倒そう（VERY HARD限定）","10153","2015/04/01 15:00:00","601","1005312","9001","610153301","99001007","0","99001007"
"6011","0","1","2030/04/01 14:59:59","1","ペテルギウスを1体倒そう（SPECIAL限定）","10153","2015/04/01 15:00:00","601","1005313","9001","610153401","99001008","0","99001008"
"8006","0","1","2030/04/01 14:59:59","1","雨神様を1体倒そう（NORMAL限定）","20015","2015/04/01 15:00:00","601","1004310","9001","660015101","99001009","0","99001009"
"8007","0","1","2030/04/01 14:59:59","1","雨神様を1体倒そう（HARD限定）","20015","2015/04/01 15:00:00","601","1004311","9001","660015201","99001010","0","99001010"
"8010","0","1","2030/04/01 14:59:59","1","雨神様を1体倒そう（VERY HARD限定）","20015","2015/04/01 15:00:00","601","1004312","9001","660015301","99001011","0","99001011"
"6011","0","1","2030/04/01 14:59:59","1","雨神様を1体倒そう（SPECIAL限定）","10043","2015/04/01 15:00:00","601","1004313","9001","610043401","99001012","0","99001012"
"8006","0","1","2030/04/01 14:59:59","1","マジムンを1体倒そう（NORMAL限定）","20016","2015/04/01 15:00:00","601","1004510","9001","660016101","99001017","0","99001017"
"8007","0","1","2030/04/01 14:59:59","1","マジムンを1体倒そう（HARD限定）","20016","2015/04/01 15:00:00","601","1004511","9001","660016201","99001018","0","99001018"
"8010","0","1","2030/04/01 14:59:59","1","マジムンを1体倒そう（VERY HARD限定）","20016","2015/04/01 15:00:00","601","1004512","9001","660016301","99001019","0","99001019"
"6011","0","1","2030/04/01 14:59:59","1","マジムンを1体倒そう（SPECIAL限定）","10045","2015/04/01 15:00:00","601","1004513","9001","610045401","99001020","0","99001020"
"6001","0","1","2030/04/01 14:59:59","1","カオリのマブイ式空手道場で累計スコアを300000以上獲得","10021","2029/04/01 15:00:00","601","14","0","0","99001021","0","99001021"
"6001","0","1","2030/04/01 14:59:59","1","カオリのマブイ式空手道場EXTRAで1度にスコアを70000以上獲得","10021","2029/04/01 15:00:00","601","15","0","0","99001022","0","99001022"
"6006","0","1","2030/04/01 14:59:59","1","オオドクマンドラゴラを1体倒そう （NORMAL限定）","20017","2015/04/01 15:00:00","601","1004710","9001","660017101","99001023","0","99001023"
"6007","0","1","2030/04/01 14:59:59","1","オオドクマンドラゴラを1体倒そう （HARD限定）","20017","2015/04/01 15:00:00","601","1004711","9001","660017201","99001024","0","99001024"
"6010","0","1","2030/04/01 14:59:59","1","オオドクマンドラゴラを1体倒そう （VERY HARD限定）","20017","2015/04/01 15:00:00","601","1004712","9001","660017301","99001025","0","99001025"
"6011","0","1","2030/04/01 14:59:59","1","オオドクマンドラゴラを1体倒そう （SPECIAL限定）","10047","2015/04/01 15:00:00","601","1004713","9001","610047401","99001026","0","99001026"
"6006","0","1","2030/04/01 14:59:59","1","ファントムバロンを1体倒そう（NORMAL限定）","20018","2015/04/01 15:00:00","601","1004910","9001","660018101","99001027","0","99001027"
"6007","0","1","2030/04/01 14:59:59","1","ファントムバロンを1体倒そう（HARD限定）","20018","2015/04/01 15:00:00","601","1004911","9001","660018201","99001028","0","99001028"
"6010","0","1","2030/04/01 14:59:59","1","ファントムバロンを1体倒そう（VERY HARD限定）","20018","2015/04/01 15:00:00","601","1004912","9001","660018301","99001029","0","99001029"
"6011","0","1","2030/04/01 14:59:59","1","ファントムバロンを1体倒そう（SPECIAL限定）","10049","2015/04/01 15:00:00","601","1004913","9001","610049401","99001030","0","99001030"
"6006","0","1","2030/04/01 14:59:59","1","ドラゴンもどきを1体倒そう（NORMAL限定）","20019","2015/04/01 15:00:00","601","1005110","9001","660019101","99001031","0","99001031"
"6007","0","1","2030/04/01 14:59:59","1","ドラゴンもどきを1体倒そう（HARD限定）","20019","2015/04/01 15:00:00","601","1005111","9001","660019201","99001032","0","99001032"
"6010","0","1","2030/04/01 14:59:59","1","ドラゴンもどきを1体倒そう（VERY HARD限定）","20019","2015/04/01 15:00:00","601","1005112","9001","660019301","99001033","0","99001033"
"6011","0","1","2030/04/01 14:59:59","1","ドラゴンもどきを1体倒そう（SPECIAL限定）","10051","2015/04/01 15:00:00","601","1005113","9001","610051401","99001034","0","99001034"
"6001","0","1","2030/04/01 14:59:59","1","しりとりドラゴンズで累計スコアを300000以上獲得","10021","2029/04/01 15:00:00","601","14","0","0","99001039","0","99001039"
