640382765ecbb2ade65aa2196f0d69f6bd6313db0b6997da90b43e474834d399,a15a977b390b5df9eac6bf1698fd65249d348dd3718bd84d1a6836b82e690b60,2c867d6e84a045133fbffaa84659ecf0e402915e43921c1c86c7d824c39e9f96,eaf16c44860962240925d0617fe2e6533f4472ceda23f32f8f10b63f23b7fec7,14670a0c4ac6ca0bac899d1275be515557773cf6693cabfdb913626aba0e1c55,afd43d4b7daf376baef7c4f6ad68227bbd1be96a636238b5613015c510f128ae,897a4f34bc016087f2f94c84a7842abd593d1b4aa1f801be1e0f09783718d051,989033fa8613157727a0e3ae27a3847d3628406817dacccb02fa001d6072d98d,39bf9fc82691ef2e9e36a5e65964a5ecb0c2218f5999e573cb5f7e0d3b9c9c22
"1101002","0","0","1101001","0","600","21","0","0"
"1101003","0","0","1101002","0","2400","22","600","0"
"1","50","0","1101003","0","1","20","-1500","0"
"1101012","0","0","1101011","0","900","21","0","0"
"1101013","0","0","1101012","0","2100","22","700","0"
"1","200","0","1101013","0","1","20","-1500","0"
"1101022","0","0","1101021","0","400","21","0","0"
"1101023","0","0","1101022","0","2000","22","500","0"
"1","350","0","1101023","0","1","20","-1500","0"
"1101032","0","0","1101031","0","1000","21","0","0"
"1101033","0","0","1101032","0","1800","22","900","0"
"1","500","0","1101033","0","1","20","-1500","0"
"1101042","0","0","1101041","0","500","21","0","0"
"1101043","0","0","1101042","0","1600","22","800","0"
"1","750","0","1101043","0","1","20","-1500","0"
"25","2","2","1101101","0","1","1","2","0"
"1","-100","0","1102001","0","1","20","-2000","0"
"20","10","2","1102101","0","1","1","2","0"
"200000","0","2","1102102","0","2","10","0","0"
"1103002","0","0","1103001","0","500","21","0","0"
"1000","0","2","1103002","0","0","3","0","0"
"-15","0","2","1202001","0","3","2","3000","0"
"15","0","1","1204001","0","3","2","30000","0"
"10","0","1","1205001","0","3","2","30000","0"
"10","0","1","1206001","0","3","2","30000","0"
"10","0","1","1207001","0","3","2","30000","0"
"15","0","1","1208001","0","2","2","3000","0"
"25","0","1","1209001","0","1","2","3000","0"
"10","0","1","1210001","0","2","2","3000","0"
"1210003","0","0","1210002","0","3000","21","0","0"
"15","0","1","1210003","0","1","2","30000","0"
"-10","0","1","1211001","0","2","2","3000","0"
