774ca171c272484fae2b877d3b98c4172583d4d93649b128c70cfbca8c8d3382,8fcbf9e2a2373012525e109fb7934cf368b950e00f9d97552be399720c4615c4,4fa72d14796c938934c7825d326d57116d575c033c259f6a32f622e1fb59486b,99c0a4eac35ac47b71aaa354ebaf2db0e0be0365be357f88a8e8a52352e7ee63
"1","ＨＰ","1","10000"
"2","物理攻撃力","1","10000"
"3","物理防御力","1","10000"
"4","魔法攻撃力","1","10000"
"5","魔法防御力","1","10000"
"6","物理クリティカル","1","10000"
"7","魔法クリティカル","1","10000"
"8","回避","0","1"
"9","ＨＰ吸収","0","1"
"10","ＨＰ自動回復","0","1"
"11","ＴＰ自動回復","0","1"
"12","物理貫通ダメージ","0","1"
"13","魔法貫通ダメージ","0","1"
"14","ＴＰ上昇","0","1"
"15","回復量上昇","0","1"
"16","ＴＰ消費軽減","0","1"
"17","命中","0","1"
"100","物理クリティカルダメージ","1","100"
"101","魔法クリティカルダメージ","1","100"
"102","物理与ダメージ","1","100"
"103","魔法与ダメージ","1","100"
"104","属性ボーナス","1","10000"
