fe4066ac979e4ea6e92b16e58c0c3cd156e99f0c3f58f7a0966d112f6d17123e,5977c694cd36f05e8f07279ba693018e153d42748a4f4ea16fc85f68f49e5d62,2ee9114c5c197043806172f96580d6fc74d6e0990e8d48619a15260253c89da2,cd052ea4c2a5277eb3235c2394ec98edcbeefe8ae7b17a3b3d529b293284a775,623695e1cf319c2f536d05e8e66633b512136f164ea8dc2c16beaef9ac358553,aa88570c9f3e03b2a33e40a048acccbb7e27acab5fbc3865ca1026a4e79357dd,f9318ce7880a2e4cdff5e078a0cbf152aa4c8c13262151f6bff4993202e21cb4,24db54b60da07ff1cd283629e973464eb0ccc83b21311ea3f3ff38c003a1ac6d,dd225e208eec5329698aa8f3f4f9ea59337e5b1cb824f9de16e98222f4360c7a,b5b5f6b4601d4c567c9aa2e7cf8bc0497bf0abef7ff1e502a16f2722df96ed1d
"ライラエル","10001","126501","1001","0","1","最大50％割引確定のショップを開く（1品100％割引あり）","","1",""
"モニカ","10001","105301","1002","0","2","最大1000マイルを入手する","","2",""
"クローチェ","1","126401","1003","0","3","料理を{0}つ入手する","","1",""
"マツリ","1","100501","1004","0","4","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
"ナナカ","2","101301","1005","0","4","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","2","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
"マコト","4","104301","1006","0","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","","2","出目が{0}のダイスを同時に振って\nどちらか選択できる"
"エリコ","3","102701","1007","0","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","","3","出目が{0}のダイスを同時に振って\nどちらか選択できる"
"アンナ","7","100901","1008","0","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","1","出目の合計が{0}以上になるまで\nダイスを追加で振れる"
"ミツキ","10001","105101","1009","0","1","最大50％割引確定のショップを開く（1品100％割引あり）","","1",""
"イオ","10001","101801","1010","0","2","最大1000マイルを入手する","","2",""
"ネフィ＝ネラ","0","129701","1011","0","8","ダイスの表と裏\nどちらを適用するか選択できる","","2","ダイスの表と裏\nどちらを適用するか選択できる"
"スズナ","1","101601","1012","0","4","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
"ルカ","2","105601","1013","0","4","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","2","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
"ミミ","3","102001","1014","0","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","","3","出目が{0}のダイスを同時に振って\nどちらか選択できる"
"アネモネ","7","129601","1015","0","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","1","出目の合計が{0}以上になるまで\nダイスを追加で振れる"
"ミソギ","1","100401","1016","1","10","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","","2","出たダイスの目が{0}だった場合、ライバルを{1}ターン休みにできる"
"リンド","2","127701","1017","1","13","出たダイスの目が{0}だった場合、\n+{1}進める","","3","出たダイスの目が{0}だった場合、\n+{1}進める"
"ヴルム","1","127801","1018","1","10","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","","2","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる"
"ミフユ","10001","104801","1019","0","1","最大50％割引確定のショップを開く（1品100％割引あり）","","1",""
"ジュン","2","104701","1020","0","4","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","2","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
