b769fbb34aea72947a227d96cdb90850d50313159356204ed30e6d826fb2dcf9,ae33fb780c198d83c8db4294199fbd0ac8142e1087bf98bf21b28811bbad15f8,640039701f2d0e5fb6830acae34259275ac0ebf37e0834408aaf1a564a959651,d3633f8c63292b232e5fdf5ee670967cbcd2b45cc6fbce75a1b82dfaad186b24,1a0a4fb4ad30035a62515a0fdcca40776a728efcd340e3e8a58afa5410dca435,362e9c3e0d883993db59e268d3491a8227e09949dd94deae5d42ad3435e4197e,0b7187ab720e44054f4ef9a6c835ee7399c715fd24effc44607866391286613d,75cea2288218644571837705324e90c97dedbe775cc4e08009e39a86b340351d,8eb7566179501eae2497d7591307343c3ee3525470af8d95aff8924305fd7c19,21590bb68efd1e6c3ff2f7a9ae8fbe138f66dfc13ff8c4f3820d4b935f5d1773,26796f7b60729d5b22b02ad1263297b1b6ab4df5e66109dc4ea7b74f0d822d5c,5a847bd695a7e6b787d7b30d3dd66a987d333353b524a38ad84ccfe37542775e,181ddc115bc2b658ea26eb34e324d5a7dc32b49c198a79b3ed3b9d0837336bab,1f6338b686c4134f4c09c742b469acf0001179ba82a39b691ac0050ea3e47774,24dfcf2a82de8c7e04dfabd81e7b1dd4fec33b99cf7790ff1d6b79030e02e631,8c925048e8a5833abd60edb74b7d8fe0ace2d4e091d421573fcee1921ad2fe39,b21a5ac30651488da7929f02097a5669bce13f24a25383fe0a074e2fbf89773b,3c4d6515db418972b5eb97daa7cf069cddc28b2779e599ed5fe5493b36bda165
"1","20003","22003","1","8","2","150","20","5","2","0","5","91002","0","0","12","150000","94002"
"6","20003","22003","2","8","2","145","15","2","2","0","9","91002","0","0","12","100000","94002"
"10","20003","22002","3","8","2","140","11","5","2","0","19","91002","0","0","12","80000","94002"
"20","20003","22002","4","8","2","130","10","5","2","0","29","91002","0","0","12","80000","94002"
"30","20003","22002","5","8","2","120","9","4","2","0","39","91002","0","0","12","70000","94002"
"40","20003","22002","6","8","2","110","8","4","2","0","49","91002","0","0","12","70000","94002"
"50","20003","22002","7","8","2","100","7","3","2","0","99","91002","0","0","12","60000","94002"
"100","20003","22002","8","8","2","80","2","2","2","0","499","91002","0","0","12","40000","94002"
"500","20002","22002","9","8","2","50","7","1","2","0","999","91002","0","0","12","20000","94002"
"1000","20002","22001","10","8","2","20","4","3","2","0","4999","91002","0","0","12","16000","94002"
"5000","20002","22001","11","8","2","15","3","2","2","0","9999","91002","0","0","12","9000","94002"
"10000","20001","22001","12","8","2","10","8","1","2","0","11999","91002","0","0","12","4000","94002"
"12000","20001","22001","13","8","2","5","7","1","2","0","13999","91002","0","0","12","3000","94002"
"14000","20001","22001","14","8","2","4","6","1","2","0","14999","91002","0","0","12","2000","94002"
"15000","20001","22001","15","8","2","3","5","1","2","0","30000","91002","0","0","12","1800","94002"
