16f6f94d2ec4d59cc4807da3fc5d44eb2c12c29f7676088997db926377d2c32d,93d5dd2d147dcf817572478619e0beee6ce7865af09cd07b365d865da868f5ac,1da3ed0da0725ee54a99f2ace182141e687f50e93bf86dee97a9be4e0be4deb3,df24cf291b60fdac9e8b86483dffcdf3f8aa624e8887f458f71a7c2d719cdc16,a36f3557ace1265accf0398cceb20284ee576f8b949b76d0287a8e3c95cb86da,8295ad51a4ffacc970ccde8cd2d6af9037e381d084ce4d20c96043a6175a6130,785cd83989d36c71ff127dfaa43b5454b1fc0cd80c1f8faba0ad76911465d3d7,449fca601ab0376a607b1b5bdf370a99c1726e517397f2ca3813f63b0901769b,23b33cdcb62b4f407ca0dcc5597a0e1d82117c4ef3af0e4038c2fb9a490bae6a,7015b695b9d1b7b756ca7b120e6c27b80c1ef16b8f238ec390992b13f294e39b,5245cb6b2fd5f4e3602e56d9b322f353c857260c8061c822397df4c9d3820ee5,0e621d8ca6123e7c23223afd0b3f06c3b3ac8cd7c5cd7e4107cf96a924420fc4,490553ea07ef8fe4269aaba13043c2b6f03f3918ec9808bf2796f32a5350b7e9,3a1bbe6b0c0130103341eda61a1df7f077d1746a3bda4ac96e0fffeef72255c0,6c3b0313a30e8394614b1d440c92a3151fbd911e37bfa7aca951d5013ebfa832,126fc1d815d99b4a833925660195cfb808656ae560152099107f363e5c05aff2,d0862030797000c5648228b99f66a509193f769a3873136492112ebe159b988f,b5564587772750805cfaad0a60992052923accc5edb7faa83f2cc5d7d4d75ffd,094435e182e420ba4bccdaed68890bb80d85d1669a24b8e635ab753ea472566f,34e2484dc5433b9203d065c8aa49db59e1f1a2fb2699cbf4ead73e1e4632ec01
"1001","1001","『ミヤコ』の口癖であり、ユニオンバースト名にもなっているフレーズ","これ、何と言う？","12375","12420","4","4","4","4","してやるの","","12427","1","12390","1","12398","4","1","プリンにしてやるの"
"1008","0","半年に一度開催される障害物競走。4人の走者から、1着のキャラを予想しよう！","これ、何と言う？","12521","12489","5","5","5","5","ランドソル","","12477","1","12531","1","12523","5","1","ランドソル杯"
"1010","0","『レイ（★6）』のユニオンバースト、その剣捌きはまるで嵐のように","これ、何と言う？","12486","12506","5","5","5","5","テンペスト","","12473","1","12531","1","12488","5","1","スラッシュテンペスト"
"1011","0","『マホ（★6）』のユニオンバースト。マホマホ王国ここにあり？","これ、何と言う？","12461","12464","5","5","5","5","キングダム","","12480","2","12531","1","12512","5","1","メルヘンキングダム"
"1012","0","『ハツネ（★6）』のユニオンバースト。夜空を照らす、まばゆい流星","これ、何と言う？","12511","12486","5","5","5","5","ミーティア","","12451","2","12540","1","12450","5","1","シューティング☆ミーティア"
"1013","0","『ナナカ（★6）』のユニオンバースト。唯一無二の魔法の輝き","これ、何と言う？","12464","12483","5","5","5","5","グリッター","","12479","2","12522","1","12540","5","1","ナナカ・∞・グリッター"
"1014","0","『カスミ』のユニオンバースト。悪しき者をとらえる魔法の檻","これ、何と言う？","12463","12511","5","5","5","5","クリミナル","","12490","1","12522","1","12523","5","1","クリミナルプリズン"
"1015","0","『イオ（★6）』のユニオンバースト。敵すら虜にする魅惑の旋風","これ、何と言う？","12469","12463","5","5","5","5","サイクロン","","12525","2","12452","1","12531","5","1","ハートラブサイクロン"
"1016","0","『ミミ（★6）』のユニオンバースト。ぴょんぴょん革命を巻き起こせ","これ、何と言う？","12358","12366","4","4","4","4","うさぎさん","","12373","2","12373","1","12435","4","1","うさぎさんレボリューション"
"1017","0","『ヨリ（★6）』のユニオンバースト。裁きの雷槍は空を切り裂く","これ、何と言う？","12472","12505","5","5","5","5","ジャベリン","","12522","2","12515","1","12531","5","1","ジャッジメントジャベリン"
