f1e23c089c84e5bd5ce43f87ba8092278a12ee8234d7c7d43ee11c69a08c5409,77217b83ac776eceee00e9e2099a3ccfecc86cd26ffacdd75a0bd0fe3e408a3b,244f2eeefd2a4d71c5e8054abeb9abdd57476d49847c55cdd08ff56ffc5c79a9,d025796329d77d69f11b197d6c101ebdf7f21dd53138387ec3e1dce097d2497c,f8068b9d84efcc360c03a1bb5825f844a8ea2074fb5551cf7b375c3422c37530,826a4e5031e3e4cb2e84eb4aa824bdb97ee997f77cddf5c3fdff8b8ccfb0bfb7,d23bd385424b410affba538d4bc6516c61753338f8de67bc9f61d3cae05d006d
"1","1","9999999","50","50","0","0"
"2","2","9999999","20","80","0","0"
"3","3","2000","70","30","0","0"
"4","3","5000","30","40","30","0"
"5","3","10000","0","40","40","20"
"6","3","15000","0","30","40","30"
"7","3","20000","0","25","40","35"
"8","3","25000","0","20","40","40"
"9","3","30000","0","15","40","45"
"10","3","35000","0","10","40","50"
"11","3","40000","0","10","35","55"
"12","3","45000","0","5","35","60"
"13","3","50000","0","5","30","65"
"14","3","55000","0","0","30","70"
"15","3","60000","0","0","25","75"
"16","3","65000","0","0","20","80"
"17","3","70000","0","0","15","85"
"18","3","75000","0","0","10","90"
"19","3","80000","0","0","5","95"
"20","3","9999999","0","0","0","100"
