80c826ad571819045ff5815004c92aa6a1ab9192da14739b37d5603bbfd2ea40,3eb378de67c24bbb02976a74f1776cd6b7bdfd7a893595bb66aee41b91fc0cce,f5dad1360f2ea45be6cef59fa63065f9055beefcac197f2ebb3c6273677f110c,72f3300af4354348e876300ed7b2a8ba729e9d73bff25824377a065d999f2be4,b2ba06f9f9edef8c0c502326d348e79e62e3e1c00308e420e5de2f9cf60788ef,3dad994e90a7309619511c01a14a547deced204b06eb8a42e2cc7b04c7758e43,52e9b232075493dcb7a0b012001a39dd296fc7274647697ea8fd8402f3dd11c0,39af17313f65c23d1b4489a54286ecade2a86a72ed1c5755df876065dc289150,fa33e428348ba638b945d8e313b196d50eff77672eead4b4877dbd17ce306835,f0fd07e859322ced8a3b1ce05f764f4c1214bf5ba9efa48cb011e334d0c3f1b1,5cea3e1533398041e87c89586160fc289ffd16d104d5452a8f96c6c173ba50d3
"-250","110010001","<weapon>_idle","55","2","-100","1001","1","1000001","1.3","0"
"1","110010002","","0","100","0","1001","31","100","1",""
"1","110010003","","0","101","0","1001","31","101","0",""
"1","110010004","","0","4","0","1001","31","4","1",""
"1","110010005","","94.5","5","0","1001","31","5","1",""
"","110010006","","","0","","1001","91","0","",""
"","110010007","","","0.4","","1001","93","0","",""
"","110010008","","0","1000001","","1001","3","<weapon>_joy_short","0.2",""
"","110010009","","","1.3","","1001","93","0","",""
"","110010010","","1","1000001","","1001","3","<weapon>_run","0",""
"0","110010011","","-250","1000001","1","1001","2","800","",""
"","110010012","","","0.7","","1001","93","0","",""
"","110010013","","","101","","1001","32","1","",""
"","110010014","","","0.7","","1001","93","0","",""
"-250","111010001","<weapon>_run","55","2","-640","1101","1","1000001","1.3","0"
"1","111010002","","0","100","0","1101","31","100","1",""
"1","111010003","","0","101","0","1101","31","101","0",""
"1","111010004","","0","4","0","1101","31","4","1",""
"","111010005","","","4","","1101","35","0","",""
"1","111010006","","0","5","0","1101","31","5","1",""
"1","111010007","","0","10","0","1101","31","10","1",""
"","111010008","","","0","","1101","91","","",""
"","111010009","","","100","","1101","35","1","",""
"0","111010010","","-250","1000001","2.1","1101","2","640","",""
"","111010011","","","1.7","","1101","93","0","",""
"","111010012","","","101","","1101","32","1","",""
"","111010013","","","0.7","","1101","93","0","",""
"-240","120010001","look_loop","55","1","0","2001","1","1000001","1.3","0"
"1","120010002","","0","1","0","2001","31","1","0","0"
"","120010003","","","1","","2001","35","0","",""
"","120010004","","","1","","2001","32","1","",""
"1","120010005","","345.4","2","0","2001","31","2","1","0"
"","120010006","","","2","","2001","35","0","",""
"1","120010007","","345.4","3","0","2001","31","3","0","0"
"","120010008","","","3","","2001","35","0","",""
"","120010009","","","3","","2001","32","1","",""
