db3d8e5178388d641fe1da7a93e50eb89605985c37c8ffc87d90a1ed6e2a2833,75c4f4a1d3df6c8166d3e288863a483435d36fdfd72d253c5778e61cda982384,6d08b8772f649bab5c3f90f40dabe85827135b66e34cb26224501d7f8e957338,96ba1188b290959dcca32e0ef91f32749f71dcc33cb1de8d0e9912ab2820be49,609ee2244b4663ac9fe0dd65a82161dc7d4528910a17b4645d6bfebc91deea2b,662b7d031ea6e3edef4385e1e3a7d5647a02e04e136a876bf18129ad12a5e6bc,9ffdbbc9ea18ee24e3f7b1190614d1e852e112b6b8e4809c7eee229d242c1661,5c168859a4f21100bed6c3d1c533ad55afe965d0a9f9da28f66f52d47a938ad8,b4e40b58d75fa0e7e735550c903bc2b4cf21c2aab5fda1034afed0158ef77835,440c1fe5d28ea054c03658e52ffaa0e35523f59cdb4cdb1fa9417ad7509353b4,348c30ac42de3318f64d7debcf70a17b08d5760b1e595a4a8dc5d4dbf4a5a5ca
"0","118511","1","-273","-345","202","2","1","wac_215_karin_idle_normal","111","111001"
"1","105811","1","170","-355","205","2","1","wac_215_idle_joy1","111","111002"
"1","105911","1","50","-325","202","2","1","wac_215_idle_normal_joy","111","111003"
"1","106011","1","300","-330","203","2","1","wac_215_idle_arm_crossed","111","111004"
"1","106431","1","450","-360","204","2","1","wac_215_idle_normal2","111","111005"
"","","131","","","","","1","","111","111006"
"","0","93","","","","","1","","112","112001"
"","wac_215_karin_talk_normal","3","","","1","0.2","118511","","112","112002"
"","vo_wac_220215_000","21","0","","0","","vo_wac_220215","","112","112003"
"0","【美食殿】のみなさん、\n来ていただいてありがとうございます！","11","1","1","10","0","118511","0.5","112","112004"
"","","91","","","","","112004","","112","112005"
"","wac_215_karin_idle_normal","3","","","1","0.2","118511","","112","112006"
"0.2","wac_215_peko_oissu","3","wac_215_talk_normal","1","0","0.2","105811","","112","112007"
"","vo_wac_220215_001","21","0","","0","","vo_wac_220215","","112","112008"
"0","カリンさん、オイッスー！\nどうしたんですか？\nランドソルの端っこに\n呼び出したりなんかして。","11","1","1","10","0","105811","0.5","112","112009"
"","","91","","","","","112009","","112","112010"
"","wac_215_idle_normal","3","","","1","0.2","105811","","112","112011"
"","wac_215_karin_talk_normal","3","","","1","0.2","118511","","112","112012"
"","vo_wac_220215_002","21","0","","0","","vo_wac_220215","","112","112013"
"0","今日はみなさんにお願いしたい\n重要な依頼があるんです。","11","1","1","10","0","118511","0.5","112","112014"
"","","91","","","","","112014","","112","112015"
"","wac_215_karin_idle_normal","3","","","1","0.2","118511","","112","112016"
"0","wac_215_talk_arm_crossed","3","wac_215_talk_arm_crossed_loop","1","0","0.2","106011","","112","112017"
"","vo_wac_220215_003","21","0","","0","","vo_wac_220215","","112","112018"
"0","重要な依頼？\nまた面倒くさいこと押し付けようと\nしてんじゃないでしょうね……","11","1","1","10","0","106011","0.5","112","112019"
"","","91","","","","","112019","","112","112020"
"","wac_215_idle_arm_crossed","3","","","1","0.2","106011","","112","112021"
"","wac_215_karin_talk_normal","3","","","1","0.2","118511","","112","112022"
"","vo_wac_220215_004","21","0","","0","","vo_wac_220215","","112","112023"
"0","実はこのたび景観向上事業として\nランドソルを囲む壁に\n絵を描いて、街を華やかにするという\n計画を進めることになりまして。","11","1","1","10","0","118511","0.5","112","112024"
"","","91","","","","","112024","","112","112025"
"","wac_215_karin_idle_normal","3","","","1","0.2","118511","","112","112026"
"0.2","wac_215_shefy_humu","3","wac_215_talk_normal","1","0","0.2","106431","","112","112027"
"","vo_wac_220215_005","21","0","","0","","vo_wac_220215","","112","112028"
"0","ランドソルを囲む壁に絵を？\nふぅん、楽しそうね。\nここに描けばいいのかしら？","11","1","1","10","0","106431","0.5","112","112029"
"","","91","","","","","112029","","112","112030"
"","wac_215_idle_normal2_joy","3","","","1","0.2","106431","","112","112031"
"","wac_215_karin_talk_normal","3","","","1","0.2","118511","","112","112032"
