6174e3bc5e58594bb508e98477c8b2d36a23a1afb6a18386d44e765e96924b07,6982d49b88ea1b4984faf0431e90e1017b17367e3ff2effe3c58974f9820ba85,d11414e5fffb3c220798e4df0f3ab6893a37494001195cabe0e9016b95850892,a89bd1fa7b1f2108c7daab11849d7e95748f28fa60eb2aec08e4e3dac206f48b,18a9a9ff39ce524aba724c8278cf60e3bd3cceff28a69d98ad269a005a0efa4c,94293d7578d81bda02b2667d394bf67e2f8985d78ddb59712c70f4c33ad11ac2,8f9327de772cf46f0fc52bba8f4b0b17ef86186780cc47d4df72e9e7d18fb5cd,2b4fb66009238d6ca8fc8a731b816ba3befa5965e40e102dd6f16a5624c85337,e2dcedb40d9f37e85c68c7da7ad73730d7786442e33ae29aa503b66f4ccae4bc,0784e88f00d5075e08920d444dcd4125298990b5fccaba3b9fbe5cb1e5d55a1a,a36b736a746aa8c39218bf07c963d42c96610c1127024b275c1085bbbafc7382
"","","","","1082","イ","","","","",""
"","","","","1107","オ","","","","",""
"ツ","","","","1176","","","","","",""
"","ホ","","","1189","ー","ル","","","",""
"","","","","1192","ゥー","","","","",""
"","","","","1245","イ","","","","",""
"","","","","1250","","ちそ","","","ゃさ",""
"ナ","イ","ナメア","イトメ","2013","ト","メ","ナイア","トメア","ア","ナイト"
"ン","ソ","ドソル","ラドソ","2014","ラ","","ランル","ンドル","ル","ランド"
"る","","そのう","そのと","2015","と","","そるう","るのと","う","そるの"
"る","な","るのう","なのと","2016","と","う","るなと","のとう","の","るなう"
"く","","ひてい","ひうて","2017","う","い","ひくて","くうて","","ひくう"
"ふ","","ふん","しん","2019","ゃ","し","ふゃ","","ん","ふゃ"
"ゅ","わ","むゅわ","むぎし","2020","し","む","ぎゅわ","ぎしゅ","ぎ","むしわ"
"","","","","2031","","","E","S","",""
"","","","","2032","","","","","","AE"
"","","R","","2033","","","A","","",""
"","","I","","2034","","","E","","",""
"","","R","","2036","","","UA","","",""
"","","L","E","2037","","","E","","","Y"
"","","L","V","2038","","","E","","","I"
"","","I","","2040","","","L","","",""
"","","A","","2041","","","","","",""
"","","","","2042","","","","Y","",""
"","","A","","2043","","","","K","",""
"","","A","","2045","","","","","",""
"","","R","","2046","","","","Q","",""
"","","R","","2047","","","A","","",""
"","","A","","2048","","","","KQ","",""
"","","","","2049","","","B","","",""
"","","A","","2050","","","U","","","T"
"","","C","","2052","","","EI","","","P"
"","","A","","2053","","","I","","","T"
"","","","","2054","","","","","","S"
"","","R","","2055","","","","","",""
"","","","","2056","","","V","","",""
"","","WU","","2058","","","","","",""
"","","","","2059","","","","R","",""
"","","","","2060","","","","R","",""
"","","S","","2062","","","","","",""
"","","E","S","2063","","","A","","","S"
"","","A","","2064","","","","","","A"
"","","","","2065","","","A","","","S"
"","","","","2066","","","","C","",""
"","","","","2067","","","B","","",""
"","","","","2068","","","I","L","",""
"","","E","","2069","","","","C","",""
"","","","D","2070","","","E","","",""
"","","","N","2071","","","A","","","I"
"","","C","","2074","","","","","","A"
"","","A","","2077","","","","","","A"
"ち","","","","2092","","","","","し",""
"","","ァ","ム","2130","","","ン","フ","","ト"
"か","視","","","2200","聴言","わ","","","聞聴",""
"ー","","","","2201","","","","","ビブ",""
"","","","","2202","","","","","ル",""
"","麦","","","2216","飯","鯉","","","",""
"","し","","","2261","ゅ","う","","","",""
"ぅ","","","","2264","","","","","",""
"","","","","2266","ー","","","","",""
"ん","ひ","","","2295","ふ","く","","","き",""
"","","","","2313","","","","","だ",""
"","","ナ","","3020","","","","ル","",""
"","フ","","","3066","ェ","","","","",""
"","く","","","3068","","","","","",""
"","","","","3073","","が","","","",""
"","","","","3084","","","","","生",""
"","","","","3158","","","","","ア",""
"","","","","3165","","ひ","","","",""
"","","","","3187","","","","","か",""
"オ","","","","3191","","デ","","","シス",""
"ま","","","","3193","","","","","さ",""
"","","","","3195","","","","ブ","",""
"","","","","3222","","ス","","","",""
"","","","","3238","","","","","ず",""
"","","","","3271","","","","","帰",""
"","","","","3277","ク","","","","",""
"","","","","3318","","ア","","","",""
"ち","","","","4029","","","","","し",""
"X","","","","4049","","","","","",""
"","","","","4052","","","","","た",""
"","","","","4077","","","","","さ",""
"帯","","","","4154","","","","","",""
"","","","","4157","","","そ","","",""
"","","","","4167","","","い","","",""
"","","","","4171","","","","二","",""
"","","小","","4194","","","","","","倍"
"","","大","","4195","","","","","","約"
"","高","","","4196","","底","","","",""
"","","","","4197","","","","半","",""
"","","","","4203","","","","","く",""
"","","","","4220","","ウ","","","",""
"","","","","4222","ィ","","","","",""
"","セ","","","4247","","","","","",""
"","","","","5010","","ー","","","",""
"","","","","5011","","ワ","","","",""
"","","","テカ","5030","","","","","","ラモ"
"","","","レカ","5031","","","","","","オモ"
"","","","","5051","","ー","","","",""
"","","","","5066","お","か","","","ら",""
"","","","","5100","","ぶ","","","",""
"","","つ","つ","5109","","","","み","","じ"
"","","ウ","ー","5140","","","ン","カ","","タ"
"ロ","","","","5147","","","","","",""
"","","","","5160","","と","","","",""
"","","戌酉卯","卯戌子","5193","牛","虎","戌卯辰","卯辰戌","","戌酉子"
"ト","","","","6060","","","","","",""
"","","","","6065","","ほ","","","",""
"","","","","6157","","","","","ィ",""
"","","","ト","6188","","","","","",""
"","イ","","","6203","ン","ド","","","",""
"ラ","","","","6216","","ク","","","ジ",""
"","","ョ","","6227","","","ウ","チ","",""
