4649c0c74f86c57a22a1f499de9faa3dcfa136a0d39198054b4710079fc9b72e,00d1e21b68f461a2a0440986caf3523c425da3420270fa5a0b3c149a8b7f95ab
"130032","32"
"130112","16"
"130132","19"
"130162","4"
"130252","1"
"130332","9"
"130492","15"
"130582","10"
"130592","29"
"130602","5"
"130752","10"
"130772","1"
"130792","2"
"130802","3"
"130812","6"
"130822","7"
"130832","8"
"130842","11"
"130852","12"
"130862","13"
"130902","14"
"130912","15"
"130952","17"
"130962","18"
"131002","4"
"131012","21"
"131032","22"
"131042","23"
"131052","24"
"131062","25"
"131072","20"
"131112","26"
"131122","27"
"131132","28"
"131152","33"
"131162","34"
"131172","35"
"131212","1"
"131222","30"
"131232","31"
"131312","36"
"131332","19"
"131702","14"
"131712","15"
