a379bb62e84fffcb4990828c7f4a4f66e4021c1ad0b03f26c620cdcc2bb2877e,5af3660125c65066247b003319e7483d8d7bbfd6b0b2631597cb7ca7692d61c1,c8b4023a36ed4cdb1f018d599c279c83a3bb9fb80d8ff9ea6974ac8fa8d8f2f8,fca9d4db924437a187842bc64d13cf737060ac71b9762196b00328c597fff83e,8cdc61c08d3839724775e0541edbe4e40e93a530419876bb8de8886d0f9af732,4e28c4a2779f5f29b2ddf3c5c2baba6fa5622f7f6d29c586f73f309e3e38856c,5c806f660e6db844027bd3d0a358c4aa1f08fd7dfe4dc39a0cf291afd8a0693c,84bca2116ab4482e65a18691aea0729b327b7be9d7140543e501f8321acbca2a,32332731bd2670ad3a6686b48dc398c8eb171a95a24252cbedb1ff1b1bedceb0,6760d0ea7c9f27fdd418afc12bf5513cec3de53815b62ff9248ad080d0bac931
"バク","0","パグ","2110001","0","バグ","0","1","ハグ","0"
"テクニック","0","手首","2110003","0","テクノロジー","0","1","テイク","0"
"ふぶき","0","ゆきやけ","2110005","0","なだれ","0","1","じひびき","0"
"化石","0","大理石","2110006","0","磁石","0","1","黒曜石","0"
"リバー","0","ミスト","2110007","0","オーシャン","0","1","ガルフ","0"
"ラットマーク","0","カットマーク","2110008","0","アットマーク","0","1","バットマーク","0"
"太陽があたらない場所","0","建物の中の場所","2110010","0","太陽の日があたる場所","0","1","いつもすずしい場所","0"
"ダブルデート","0","バレンタインデート","2110011","0","アップデート","0","1","ハッピーデート","0"
"ブルドーザー","0","バリケード","2110012","0","ブリザード","0","1","オブリガード","0"
"月","0","火星","2110014","0","太陽","0","1","地球","0"
"放物線","0","新幹線","2110016","0","地平線","0","1","電話線","0"
"白歴史","0","青歴史","2110018","0","黒歴史","0","1","赤歴史","0"
"みりん","0","みそ","2110019","0","しょうゆ","0","1","お酢","0"
"お腹","0","顔","2110021","0","背中","0","1","手のひら","0"
"ガラス板","0","看板","2110022","0","鉄板","0","1","ベニヤ板","0"
"プレスコード","0","エンコード","2110023","0","ドレスコード","0","1","バーコード","0"
"だるまおとし","0","まくおとし","2110024","0","こけらおとし","0","1","やくおとし","0"
"コイル","0","ライン","2110025","0","コイン","0","1","ライス","0"
"パラレル","0","パラソル","2110026","0","アパレル","0","1","ナチュラル","0"
"ぼかし","0","薄塗り","2110028","0","透かし","0","1","上塗り","0"
"風邪薬","0","胃薬","2110031","0","目薬","0","1","塗り薬","0"
"のれん","0","石の上","2110032","0","ぬか","0","1","馬の耳","0"
"なみだ","0","豆腐","2110034","0","金棒","0","1","カナブン","0"
"レモネード","0","サイダー","2110035","0","水","0","1","コーラ","0"
"一度","0","四度","2110036","0","三度","0","1","二度","0"
"髪の毛","0","メガネ","2110037","0","たんこぶ","0","1","手ぬぐい","0"
"光","0","天国","2110038","0","闇","0","1","極楽","0"
"団子","0","あんみつ","2110039","0","ぼた餅","0","1","ようかん","0"
"はえ","0","あぶ","2110040","0","はち","0","1","か","0"
"猿","0","猫","2110041","0","馬","0","1","羊","0"
"風","0","土","2110042","0","水","0","1","火","0"
"寒","0","水","2110043","0","冷","0","1","氷","0"
"韓","0","脇","2110044","0","朝","0","1","散","0"
"生麦","0","生卵","2110045","0","生姜","0","1","生米","0"
"先生","0","占星","2110046","0","宣誓","0","1","先制","0"
"気象","0","気性","2110047","0","起床","0","1","希少","0"
"非","0","未","2110049","0","不","0","1","無","0"
"不","0","未","2110050","0","非","0","1","無","0"
"不","0","未","2110051","0","無","0","1","非","0"
"不","0","無","2110052","0","未","0","1","非","0"
"馬耳東風","0","有名無実","2110053","0","三日坊主","0","1","一日千秋","0"
"ねこ","0","きつね","2110054","0","たぬき","0","1","いぬ","0"
"くつひも","0","あしのうら","2110056","0","たび","0","1","てぶくろ","0"
"十","0","万 ","2110058","0","百","0","1","千","0"
"九","0","七","2110060","0","十","0","1","八","0"
"ジャッジメント","0","ハイテンション","2111001","0","ハッピーエンド","0","1","アジテーション","0"
"ちぇる～ん☆","0","夢はスーパースター☆☆★","2111002","0","どるるるる～ん★","0","1","やばいですね★","0"
"獣の耳と尻尾がある","0","二つの角を頭部に持つ","2111003","0","尖った長い耳","0","1","最も人口が多い","0"
"クォン","0","キャォン","2111004","0","カォン","0","1","パォン","0"
"輝く","0","教育","2111005","0","成長","0","1","高価","0"
"銅","0","金","2120002","0","銀","0","1","鉄","0"
"ラバー","0","モツ","2120004","0","レバー","0","1","ハツ","0"
"タケウマ","0","ストレス","2120005","0","トラウマ","0","1","バシャウマ","0"
"秒雨","0","雷雨","2120006","0","時雨","0","1","分雨","0"
"銀","0","金","2120009","0","鉄","0","1","銅","0"
"大赤柱","0","大白柱","2120011","0","大黒柱","0","1","大青柱","0"
"電車","0","電灯","2120012","0","電報","0","1","電源","0"
"しょうゆ","0","みそ","2120013","0","みりん","0","1","お酢","0"
"ですぎ","0","こいめ","2120014","0","でがらし","0","1","しぶみ","0"
"うわて","0","じょうず","2120016","0","かみて","0","1","じょうしゅ","0"
"よりせき","0","よるせき","2120017","0","よせ","0","1","よせき","0"
"ロングウェイ","0","レールウェイ","2120018","0","フリーウェイ","0","1","フライアウェイ","0"
"釘","0","念仏","2120021","0","かすがい","0","1","腕押し","0"
"眉","0","尻","2120022","0","爪","0","1","鼻","0"
"小判","0","かすがい","2120023","0","論語","0","1","念仏","0"
"とっくり","0","巾着","2120025","0","ひょうたん","0","1","花瓶","0"
"馬","0","虎","2120026","0","雀","0","1","牛","0"
"一鳥一石","0","一兆一億","2120027","0","一朝一夕","0","1","一長一短","0"
"2つ","0","8つ","2120028","0","4つ","0","1","6つ","0"
"hallo","0","harro","2120029","0","hello","0","1","herro","0"
"不言実行","0","日進月歩","2120031","0","優柔不断","0","1","一進一退","0"
"木曜日","0","月曜日","2120033","0","金曜日","0","1","日曜日","0"
"金曜日","0","火曜日","2120034","0","水曜日","0","1","木曜日","0"
"ダビングメッセージ","0","ダイビングメッセージ","2120035","0","ダイイングメッセージ","0","1","ダンシングメッセージ","0"
"牛","0","獅子","2120036","0","馬","0","1","犬","0"
"川","0","キッチン","2120037","0","トイレ","0","1","クローゼット","0"
"かんがえる","0","こころみる","2120038","0","かんがみる","0","1","かいまみる","0"
"三百万","0","二百万","2120039","0","八百万","0","1","五百万","0"
"熊","0","猪","2120042","0","蛇","0","1","猿","0"
"瀕死","0","すべて正しい","2120045","0","一死","0","1","状態","0"
"人物","0","すべて正しい","2120046","0","不信","0","1","追跡","0"
"紙幣","0","すべて正しい","2120047","0","硬化","0","1","両替","0"
"はちめんろっぴ","0","さんしゃさんよう","2120048","0","きゅうしいっしょう","0","1","しぶんごれつ","0"
"ひゃっぱちひゃくちゅう","0","いちもうだじん","2120049","0","せんざいいちぐう","0","1","しめんそか","0"
"謀る","0","測る","2120050","0","図る","0","1","計る","0"
"着く","0","付く","2120051","0","就く","0","1","突く","0"
"赤","0","白","2120053","0","青","0","1","黒","0"
"三分","0","二分","2120054","0","五分","0","1","七分","0"
"家族","0","師弟","2120055","0","敵同士","0","1","カップル","0"
"マツタケ","0","アスパラ","2120056","0","タケノコ","0","1","シイタケ","0"
"女","0","命","2120057","0","金","0","1","仕事","0"
"麻","0","糸","2120058","0","真綿","0","1","髪の毛","0"
"耳","0","うなじ","2120059","0","眉","0","1","あご","0"
"鶴","0","猫","2120060","0","亀","0","1","犬","0"
"狸","0","兎","2120061","0","狐","0","1","猫","0"
"ばたんきゅー冒険団","0","バイトばっかり団","2121001","0","バイバイぼっち団","0","1","ぼくらの防衛団","0"
"ザ・バタリオン・オブ・ハデス・イモータル","0","ジ・オーダー・オブ・ハデス・イモータル","2121002","0","ジ・オーダー・オブ・ゲヘナ・イモータルズ","0","1","ザ・バタリオン・オブ・ゲヘナ・イモータルズ","0"
"誓約女君","0","獰猛女君","2121003","0","絶対妻君","0","1","聖夜女君","0"
"しっぷうのめいひめ","0","しっぷうのダークプリンセス","2121004","0","しっぷうのヘカーテ","0","1","しっぷうのめいひ","0"
"10000000","0","100000000","2121005","0","1000000","0","1","1000","0"
"親指","0","中指","2130004","0","薬指","0","1","小指","0"
"薬指","0","人差し指","2130005","0","中指","0","1","親指","0"
"中指","0","親指","2130006","0","人差し指","0","1","薬指","0"
"肉","0","米","2130007","0","酒","0","1","野菜","0"
"貧乏人","0","料理人","2130008","0","世間知らず","0","1","頑固者","0"
"病","0","尾","2130009","0","床","0","1","原","0"
"東","0","北","2130011","0","南","0","1","西","0"
"トイレ","0","納戸","2130014","0","台所","0","1","居間","0"
"七","0","八","2130015","0","九","0","1","六","0"
"琴","0","ピアノ","2130016","0","三味線","0","1","ギター","0"
"再三再四","0","馬耳東風","2130018","0","天衣無法","0","1","千変万化","0"
"貢献","0","穀物","2130019","0","格下","0","1","貴重","0"
"貝殻","0","木刀","2130020","0","掛軸","0","1","金券","0"
"器用貧乏","0","汚名返上","2130021","0","羊頭苦肉","0","1","無芸大食","0"
"春","0","冬","2130022","0","秋","0","1","夏","0"
"ホン","0","タン","2130023","0","ハン","0","1","チュウ","0"
"イツ","0","コン","2130024","0","タン","0","1","サン","0"
"イン","0","テン","2130025","0","シン","0","1","キン","0"
"伊乃木","0","乃伊木","2130026","0","木乃伊","0","1","木伊乃","0"
"さらゆ","0","ねっとう","2130027","0","ぬるまゆ","0","1","ちょうおんとう","0"
"手風琴","0","鉄琴","2130028","0","自鳴琴","0","1","口風琴","0"
"点描","0","寸描","2130029","0","素描","0","1","線描","0"
"大胆","0","平凡","2130030","0","用心しすぎ","0","1","不注意","0"
"将棋","0","双六","2130031","0","囲碁","0","1","麻雀","0"
"賭け事","0","女性","2130033","0","釣り","0","1","食事","0"
"鮪","0","鰹","2130034","0","鰯","0","1","鯵","0"
"悪いときの助け船","0","災難続き","2130035","0","良いときの邪魔者","0","1","突然のチャンス","0"
"菊","0","百合","2130036","0","蓮","0","1","薔薇","0"
"桜","0","松","2130037","0","菊","0","1","梅","0"
"いちまつ","0","いっぺん","2130039","0","いちる","0","1","いっき","0"
"タコ漁","0","指圧","2130041","0","サイコロ博打","0","1","生け花","0"
"カマキリ","0","ヤモリ","2130044","0","クモ","0","1","カエル","0"
"カエル","0","スズムシ","2130045","0","カラス","0","1","ネコ","0"
"盗人","0","武士","2130046","0","江戸っ子","0","1","居候","0"
"カラス","0","サギ","2130047","0","キジ","0","1","カモ","0"
"カビ","0","芽","2130048","0","苔","0","1","草","0"
"ついかく","0","すいさつ","2130049","0","すいこう","0","1","ずいし","0"
"刀","0","獅子","2130050","0","翼","0","1","車","0"
"塩をつける","0","辛子をつける","2130052","0","味噌をつける","0","1","酢をつける","0"
"筆むぎ","0","筆あわ","2130053","0","筆まめ","0","1","筆いね","0"
"しばらく","0","ことごとく","2130054","0","ようやく","0","1","あまねく","0"
"詩集","0","詩を書く","2130055","0","詩人","0","1","詩","0"
"びわ","0","ざくろ","2130058","0","いちじく","0","1","あけび","0"
"わらび","0","つくし","2130059","0","うど","0","1","ぜんまい","0"
"しょうぶ","0","さるすべり","2130061","0","かきつばた","0","1","おみなえし","0"
"ディープエターナル＝エアスラッシャー","0","エターナルアビス＝エアスラッシャー","2131001","0","エターナルアビス＝ディヴァイダー","0","1","ディープエターナル＝ディヴァイダー","0"
"アポカリプスコード・スリーシックス","0","ギアスグリモワール・ナンバーオブサタン","2131002","0","ギアスアポクリフォ・タイラントコード","0","1","アビステクノロジー・ヘルコード","0"
"百貨店","0","百人一首","2131003","0","百面相","0","1","百点満点","0"
"胸の内","0","愛言葉","2131004","0","推し事","0","1","お仕事","0"
"クルーズ","0","マラソン","2131005","0","キャンプ","0","1","ファイト","0"
"アオダイショウ","0","ゲンゴロウ","2210001","0","オタマジャクシ","0","1","ヤゴ","0"
"翼","0","耳","2210003","0","角","0","1","しっぽ","0"
"ダンゴ","0","ロンゴ","2210004","0","イナゴ","0","1","サンゴ","0"
"ペリカン","0","オウム","2210005","0","カラス","0","1","コウノトリ","0"
"ガーリック","0","ターメリック","2210006","0","ジンジャー","0","1","オニオン","0"
"マンゴー","0","ランブータン","2210007","0","アボカド","0","1","ドリアン","0"
"パンジー","0","パーシー","2210008","0","パクチー","0","1","パール","0"
"ピーマン","0","キュウリ","2210009","0","ニンジン","0","1","ハクサイ","0"
"哺乳類","0","は虫類","2210011","0","魚類","0","1","鳥類","0"
"罷免","0","自己防衛","2210012","0","免疫","0","1","慣れ","0"
"鼻","0","目","2210013","0","耳","0","1","口","0"
"リス科","0","ネコ科","2210015","0","イタチ科","0","1","イヌ科","0"
"お父さん","0","おばあさん","2210016","0","お母さん","0","1","おじいさん","0"
"口","0","目","2210018","0","鼻","0","1","耳","0"
"サバ","0","コイ","2210019","0","サケ","0","1","アユ","0"
"パンダ","0","ゴリラ","2210020","0","ラクダ","0","1","ヒツジ","0"
"ダチョウ","0","トラ","2210021","0","チーター","0","1","ライオン","0"
"カッコウ","0","フクロウ","2210022","0","オウム","0","1","キツツキ","0"
"情知らず","0","八重歯","2210024","0","親知らず","0","1","物知らず","0"
"フラミンゴ","0","ライチョウ","2210025","0","クジャク","0","1","コウノトリ","0"
"ズワイガニ","0","モクズガニ","2210026","0","タラバガニ","0","1","タカアシガニ","0"
"ミカン糖","0","イチゴ糖","2210027","0","ブドウ糖","0","1","レモン糖","0"
"マツタケ","0","マイタケ","2210029","0","ソデタケ","0","1","シイタケ","0"
"フォアグラ","0","ナツメグ","2210030","0","トリュフ","0","1","キャビア","0"
"剛体動物","0","変体動物","2210032","0","軟体動物","0","1","解体動物","0"
"モヤシ","0","キャベツ","2210034","0","ピーマン","0","1","レタス","0"
"えんどうまめ","0","くろまめ","2210035","0","そらまめ","0","1","なたまめ","0"
"上腕一頭筋","0","上腕五頭筋","2210037","0","上腕二頭筋","0","1","ヒラメ筋","0"
"青","0","緑","2210040","0","赤","0","1","黄","0"
"20匹","0","10匹","2210041","0","1匹","0","1","5匹","0"
"鼻","0","尻尾","2210042","0","耳","0","1","前脚","0"
"川","0","池","2210045","0","海","0","1","湖","0"
"地上を高速で走る","0","木をつついて穴をあける","2210046","0","くちばしが膨らむ","0","1","首が360度回る","0"
"サンゴ","0","小石","2210047","0","貝","0","1","ペンション","0"
"アサガオ","0","キク","2210048","0","サクラ","0","1","サザンカ","0"
"しゃっくり","0","あくび","2210049","0","いびき","0","1","くしゃみ","0"
"頭とう骨","0","頭こう骨","2210050","0","頭がい骨","0","1","頭あい骨","0"
"26℃前後","0","56℃前後","2210051","0","36℃前後","0","1","46℃前後","0"
"キリギリス","0","ハンミョウ","2210052","0","カメレオン","0","1","カマドウマ","0"
"コショウウオ","0","シチミトウガラシウオ","2210054","0","サンショウウオ","0","1","タバスコウオ","0"
"ホッキョクグマ","0","ヒグマ","2210056","0","クマゲラ","0","1","ツキノワグマ","0"
"にがい","0","あまい","2210057","0","あつい","0","1","すっぱい","0"
"セミ","0","ハチ","2210058","0","ホタル","0","1","トンボ","0"
"ソルティドッグ","0","アメリカンドッグ","2210059","0","ブルドッグ","0","1","ホットドッグ","0"
"モミジ","0","ハゼノキ","2210060","0","イチョウ","0","1","ツツジ","0"
"ミソギ","0","ミミ","2211001","0","ユニ","0","1","キョウカ","0"
