11676b87a11702f0f45f6dca16fbf9669348b1a7fef1e9383d21a136783fa6eb,f1843f0d773869bca92992f3725098bd28ea8356e1f91b88fbefe98be55beaed,590630f45d7f70c7fe3b3fd1bb557226046cce952cb236e4a77b09671d7edfdc,798d68f6f36b5eeb1efbcaa24959338f5f6cca8b52ab818963f962210778d1e5,32c33c9ec215304cc3ebad7f9006f7179d8481d05b35e932c4d21be2e5fe4049,72b09231dc49f5da71f8ea220c94762e465bf7259ef08a2b65f071ce9fc04437,9aaf576aa58b7d43a5f4bec95e0ee6f39b8cc0b2017cd77f849b118d1a52d5a5,6d4304ee511e1b010b080d1e8797b43041a343509c315cda79c652cbdb1c7973,69468a0d822c520ec68102860dfba473b84414d28507fe17f74d0cf1a1fc46bc,cb6621264819eadf3b57091357604d6e9968614a6395bf29363bc3567a96d60a,352c3d7fa3f6ba8f06b69f93a110a64d31f5e6e563be1652dbb4cd015356015f,148ec02b524c541f42d5c85baa1dc977cebcef63502518f0d416c6debbf4c2f3
"0","4","0","10116115","1011611501","0","0","1","0","0","1","0.8"
"0","2","0","10116115","1011611502","0","0","0","vo_won_10116115_01","vo_won","2","0"
"0","1","2.68","10116115","1011611503","1","395","0","0","0","3","0"
"0","4","0","10116115","1011611504","0","0","1","0","0","4","3.17"
"0","1","3.51","10116115","1011611505","2","430","0","0","0","5","0"
"0","4","0","10116115","1011611506","0","0","1","0","0","6","4.03"
"0","1","1.92","10116115","1011611507","3","280","0","0","0","7","0"
"0","4","0","10116115","1011611508","0","0","1","0","0","8","2.42"
"280","1","1.09","10116115","1011611509","3","430","0","0","0","9","0"
"0","4","0","10116115","1011611510","0","0","1","0","0","10","1.09"
"0","1","1.88","10116115","1011611511","4","210","0","0","0","11","0"
"0","4","0","10116115","1011611512","0","0","1","0","0","12","2.47"
"210","1","1.88","10116115","1011611513","4","440","0","0","0","13","0"
"0","4","0","10116115","1011611514","0","0","1","0","0","14","1.88"
"0","1","0.588999999999999","10116115","1011611515","5","70","0","0","0","15","0"
"0","4","0","10116115","1011611516","0","0","1","0","0","16","0.965999999999999"
"70","1","1.423","10116115","1011611517","5","270","0","0","0","17","0"
"0","4","0","10116115","1011611518","0","0","1","0","0","18","2.673"
"0","2","0","10116115","1011611519","0","0","0","vo_won_10116115_02","vo_won","19","0"
"0","1","1.699","10116115","1011611520","6","213","0","0","0","20","0"
"0","4","0","10116115","1011611521","0","0","1","0","0","21","2.495"
"213","1","1.636","10116115","1011611522","6","450","0","0","0","22","0"
"0","4","0","10116115","1011611523","0","0","1","0","0","23","2.4"
"0","1","2.853","10116115","1011611524","7","430","0","0","0","24","0"
"0","4","0","10116115","1011611525","0","0","1","0","0","25","4.428"
"0","2","0","10116115","1011611526","0","0","0","vo_won_10116115_03","vo_won","26","0"
"0","1","1.261","10116115","1011611527","8","195","0","0","0","27","0"
"0","4","0","10116115","1011611528","0","0","1","0","0","28","1.715"
"195","1","2.245","10116115","1011611529","8","450","0","0","0","29","0"
"0","4","0","10116115","1011611530","0","0","1","0","0","30","2.759"
"0","1","3.212","10116115","1011611531","9","450","0","0","0","31","0"
"0","4","0","10116115","1011611532","0","0","1","0","0","32","3.212"
"0","1","0.499","10116115","1011611533","10","90","0","0","0","33","0"
"0","4","0","10116115","1011611534","0","0","1","0","0","34","2.042"
"0","2","0","10116115","1011611535","0","0","0","vo_won_10116115_04","vo_won","35","0"
"0","1","0.717","10116115","1011611536","11","75","0","0","0","36","0"
"0","4","0","10116115","1011611537","0","0","1","0","0","37","1.491"
"75","1","2.868","10116115","1011611538","11","450","0","0","0","38","0"
"0","4","0","10116115","1011611539","0","0","1","0","0","39","3.897"
"0","2","0","10116115","1011611540","0","0","0","vo_won_10116115_05","vo_won","40","0"
"0","1","1.079","10116115","1011611541","12","133","0","0","0","41","0"
"0","4","0","10116115","1011611542","0","0","1","0","0","42","1.453"
"133","1","2.432","10116115","1011611543","12","450","0","0","0","43","0"
"0","4","0","10116115","1011611544","0","0","1","0","0","44","2.432"
"0","1","1.321","10116115","1011611545","13","141","0","0","0","45","0"
"0","4","0","10116115","1011611546","0","0","1","0","0","46","2.245"
"0","2","0","10116115","1011611547","0","0","0","vo_won_10116115_06","vo_won","47","0"
"141","1","2.161","10116115","1011611548","13","450","0","0","0","48","0"
"0","4","0","10116115","1011611549","0","0","1","0","0","49","3.392"
"0","2","0","10116115","1011611550","0","0","0","vo_won_10116115_07","vo_won","50","0"
"0","1","0.982","10116115","1011611551","14","142","0","0","0","51","0"
"0","4","0","10116115","1011611552","0","0","1","0","0","52","1.563"
"142","1","1.916","10116115","1011611553","14","450","0","0","0","53","0"
"0","4","0","10116125","1011612501","0","0","1","0","0","1","0.8"
"0","2","0","10116125","1011612502","0","0","0","vo_won_10116125_01","vo_won","2","0"
"0","1","2.458","10116125","1011612503","1","285","0","0","0","3","0"
"0","4","0","10116125","1011612504","0","0","1","0","0","4","3.21"
"285","1","1.255","10116125","1011612505","1","450","0","0","0","5","0"
"0","4","0","10116125","1011612506","0","0","1","0","0","6","1.255"
"0","1","1.63","10116125","1011612507","2","213","0","0","0","7","0"
"0","4","0","10116125","1011612508","0","0","1","0","0","8","2.759"
"0","2","0","10116125","1011612509","0","0","0","vo_won_10116125_02","vo_won","9","0"
"213","1","0.753","10116125","1011612510","2","255","0","0","0","10","0"
"0","4","0","10116125","1011612511","0","0","1","0","0","11","1.229"
"255","1","1.255","10116125","1011612512","2","450","0","0","0","12","0"
"0","4","0","10116125","1011612513","0","0","1","0","0","13","1.255"
"0","1","2.138","10116125","1011612514","3","331","0","0","0","14","0"
"0","4","0","10116125","1011612515","0","0","1","0","0","15","2.985"
"331","1","0.501","10116125","1011612516","3","430","0","0","0","16","0"
"0","4","0","10116125","1011612517","0","0","1","0","0","17","0.501"
"0","1","1.807","10116125","1011612518","4","292","0","0","0","18","0"
"0","4","0","10116125","1011612519","0","0","1","0","0","19","2.584"
"292","1","0.703","10116125","1011612520","4","361","0","0","0","20","0"
"0","4","0","10116125","1011612521","0","0","1","0","0","21","1.405"
"361","1","0.553","10116125","1011612522","4","440","0","0","0","22","0"
"0","4","0","10116125","1011612523","0","0","1","0","0","23","0.553"
"0","1","0.878","10116125","1011612524","5","88","0","0","0","24","0"
"0","4","0","10116125","1011612525","0","0","1","0","0","25","1.279"
"88","1","2.233","10116125","1011612526","5","450","0","0","0","26","0"
"0","4","0","10116125","1011612527","0","0","1","0","0","27","3.38"
"0","2","0","10116125","1011612528","0","0","0","vo_won_10116125_03","vo_won","28","0"
"0","1","2.307","10116125","1011612529","6","280","0","0","0","29","0"
"0","4","0","10116125","1011612530","0","0","1","0","0","30","2.859"
"280","1","1.405","10116125","1011612531","6","450","0","0","0","31","0"
