28a994c2a0e1af7269ae4bb694a76eb27c9dedfa47177cc7f918fb23771a8956,c033e26a1fdb76729810666babfa9993fe0590bcfe35900af80d2ecf03abf238,17b7055bd51bb8bcd016bec9d765d82844af4b1408ade7f157a04eaa0a54ffdd,bd81e05bdef2e1778560349ab55022aec6c1122eef4d65edc6778a103af3a1b2,9d7d577482d7a6a572b042eacdca0abacff3c18310576871e5c6c6879951ebc8,7148eca87d1394615a075a62fb57ad480947f4204027df001ed825090b818488,e8da4da651fcc5f6606fe5621809eddf8931fb1ce112d038530823df4bbef41e,39b7cf75211da3a1a71063393c4175cfd37c6fafd5063f8d7a6a818667c250ae,2c1f767f1a124bb8af9f229d09343bfd7227665585e17bf85750989f5b9599f7,b423361cf6fe464184878845ef74992733f78be1aeb608e903d4425979bcde80,c6f420827b03df4750a53308ff89ff0e781ce38767426f713a14e4b124efd1b2,9ca61b0a5c4140c7007ee90173763c6337266df46f2b3d77b17a075d2c73a8d4,839611986cff0596d60c495cbbecbc8c7d8903378789fedd9fb28d59094db587,1c0bd244817be7d7776cc51b26a0cfd7f4950329b7ef78534fc75c73ec781614,9203a3381d34f18f9a1b770691651319ed1f60dd590418436bff373761415e52,759858b9b6066b66cb3d92629910c341ef3e25aa792f671549f4042329df58b4,2d367b4a2f93f2ef3b280d3e55fc95fabc5b47a8871a72d6418112a40edbcb5d,6ce8e5357bc75661c8e4a208721af627a0aabe0e244657b3fa861ef21e909b9f,42184795598030f5e2d00c45b9aef1367ea00e03cc800cb2bdfac8b48287ab6f
"65","0","0","0","0","0","0","100101","16","0","75","0","0","2","10","0","1","1","0"
"185","0","0","0","0","0","0","100101","68","0","125","0","0","3","30","0","3","2","0"
"420","0","0","0","0","0","0","100101","158","0","260","3","0","4","60","0","7","4","0"
"810","0","0","0","0","0","0","100101","293","0","420","7","0","5","100","0","12","7","0"
"1340","0","0","0","3","0","0","100101","486","0","630","11","0","6","130","0","17","11","0"
"1660","0","0","0","6","0","0","100101","731","0","1235","17","0","7","155","0","26","15","0"
"2290","0","0","0","9","0","0","100101","1030","0","1795","24","9","8","180","0","35","15","10"
"2540","0","0","0","9","5","0","100101","1459","0","1795","27","23","9","205","0","46","16","40"
"2740","0","10","0","9","10","0","100101","1941","0","1795","35","37","10","205","0","51","16","100"
"3100","0","20","0","9","15","0","100101","2439","3","1795","44","37","11","205","0","55","16","158"
"3470","0","20","0","9","15","0","100101","2871","36","2045","46","37","12","205","0","66","18","198"
"3720","0","20","0","9","15","0","100101","3345","56","2045","54","37","13","230","0","79","18","251"
"3880","0","20","0","9","15","0","100101","3840","56","2045","68","37","14","255","0","97","20","328"
"3880","0","20","0","9","15","0","100101","4412","56","2045","82","37","15","255","0","111","20","448"
"3880","0","20","0","9","15","0","100101","5015","59","2045","94","37","16","255","0","124","20","586"
"3930","0","20","0","9","15","0","100101","5656","62","2045","103","37","17","255","0","142","20","711"
"3980","0","20","0","9","15","0","100101","6351","62","2045","119","37","18","255","0","157","20","856"
"4075","0","20","0","9","15","0","100101","7154","62","2045","135","37","19","255","0","173","20","984"
"4270","0","20","0","9","15","0","100101","8017","62","2045","147","37","20","255","0","203","20","1065"
"4580","0","20","0","9","15","0","100101","8971","62","2045","157","37","21","255","0","232","20","1160"
"4790","0","20","0","9","15","0","100101","10078","62","2045","176","37","22","255","0","259","20","1262"
"4880","0","20","0","9","15","0","100101","11352","62","2045","199","37","23","255","0","287","20","1343"
"4970","0","20","0","9","15","0","100101","12783","62","2045","221","37","24","255","0","308","20","1416"
"5230","0","20","0","9","15","0","100101","14334","62","2045","247","37","25","255","0","331","20","1471"
"6835","0","20","0","9","15","0","100101","15835","62","2045","280","37","26","255","0","359","20","1495"
"8440","0","20","0","9","15","0","100101","17449","62","2045","313","37","27","255","0","387","20","1513"
"9225","0","20","0","9","15","0","100101","19454","62","2045","326","37","28","255","0","400","20","1538"
"10010","0","20","0","9","15","0","100101","21599","62","2045","341","37","29","255","0","415","20","1571"
"10270","0","20","0","9","15","0","100101","23844","62","2045","366","37","30","255","0","440","20","1614"
"10795","0","20","0","9","15","0","100101","26318","62","2045","376","37","31","255","0","450","20","1657"
"11845","0","20","0","9","15","0","100101","28948","62","2045","376","37","32","255","0","450","20","1690"
"12370","0","20","0","9","15","0","100101","31669","62","2045","387","37","33","255","0","461","20","1729"
"12370","0","20","0","9","15","0","100101","34498","62","2045","409","37","34","255","0","483","20","1775"
"12370","0","20","0","9","15","0","100101","37455","62","2045","431","37","35","255","0","505","20","1821"
"12370","0","20","0","9","15","0","100101","40512","62","2045","454","37","36","255","0","528","20","1867"
"12370","0","20","0","9","15","0","100101","43669","62","2045","478","37","37","255","0","552","20","1913"
"12370","0","20","0","9","15","0","100101","46929","62","2045","502","37","38","255","0","576","20","1959"
"12370","0","20","0","9","15","0","100101","50287","62","2045","526","37","39","255","0","600","20","2005"
"55","0","0","0","0","0","0","100201","0","0","75","2","0","2","0","23","1","0","0"
"150","0","0","0","0","0","0","100201","0","0","125","8","0","3","0","81","1","0","0"
"325","0","10","0","0","0","0","100201","0","0","175","17","0","4","5","172","4","0","0"
