62957cdd7782c48ee7fa6f532e9e7210a2c034fe35212543348a54b39a963c8e,d3aac9f55afa7be99cec49211f4fab0bd32cea1cd2e37e14b33998030ab610af,4210a3e3b1871014fdc561dc3bb3cac47625bd7bbabe199eeedd7c9d5177cc96,213e8144ac274af788b5a8d4bc35df0a0751cea4490894bd233db882179274f7,c4d282653555391d3e66dc4f8fe15e10c03e3959cff5dd501f964998b15d9f76,cc4b9e7a93db2a6b545ef648544e6dbe260de54abb312ca7d221649ec187fe17
"1","vo_caravan_105801_start_001","1","1","vo_caravan","11101"
"1","vo_caravan_105801_start_002","1","1","vo_caravan","11102"
"1","vo_caravan_105901_start_001","2","1","vo_caravan","12101"
"1","vo_caravan_105901_start_002","2","1","vo_caravan","12102"
"1","vo_caravan_106001_start_001","3","1","vo_caravan","13101"
"1","vo_caravan_106001_start_002","3","1","vo_caravan","13102"
"1","vo_caravan_106401_start_001","4","1","vo_caravan","14101"
"1","vo_caravan_106401_start_002","4","1","vo_caravan","14102"
"2","vo_caravan_105801_dice_001","1","1","vo_caravan","21101"
"2","vo_caravan_105801_dice_002","1","1","vo_caravan","21102"
"2","vo_caravan_105901_dice_001","2","1","vo_caravan","22101"
"2","vo_caravan_105901_dice_002","2","1","vo_caravan","22102"
"2","vo_caravan_106001_dice_001","3","1","vo_caravan","23101"
"2","vo_caravan_106001_dice_002","3","1","vo_caravan","23102"
"2","vo_caravan_106401_dice_001","4","1","vo_caravan","24101"
"2","vo_caravan_106401_dice_002","4","1","vo_caravan","24102"
"3","vo_caravan_105801_slot_001","1","1","vo_caravan","31101"
"3","vo_caravan_105901_slot_001","2","1","vo_caravan","32101"
"3","vo_caravan_106001_slot_001","3","1","vo_caravan","33101"
"3","vo_caravan_106401_slot_001","4","1","vo_caravan","34101"
"4","vo_caravan_105801_dish_001","1","1","vo_caravan","41101"
"4","vo_caravan_105801_dish_002","1","1","vo_caravan","41102"
"4","vo_caravan_105901_dish_001","2","1","vo_caravan","42101"
"4","vo_caravan_105901_dish_002","2","1","vo_caravan","42102"
"4","se_caravan_food_peko","1","2","se_caravan","42201"
"4","se_caravan_food_coccoro","2","2","se_caravan","42202"
"4","se_caravan_food_kyaru","3","2","se_caravan","42203"
"4","se_caravan_food_coccoro","4","2","se_caravan","42204"
"4","se_caravan_food_onigiri","100","2","se_caravan","42205"
"4","vo_caravan_106001_dish_001","3","1","vo_caravan","43101"
"4","vo_caravan_106001_dish_002","3","1","vo_caravan","43102"
"4","vo_caravan_106401_dish_001","4","1","vo_caravan","44101"
"4","vo_caravan_106401_dish_002","4","1","vo_caravan","44102"
"4","vo_caravan_onigiri_dish_001","100","1","vo_caravan","45101"
"6","vo_caravan_105801_goal_001","0","1","vo_caravan","61101"
"61","vo_caravan_105801_win_001","0","1","vo_caravan","61201"
"62","vo_caravan_105801_lose_001","0","1","vo_caravan","61301"
"6","vo_caravan_105901_goal_001","0","1","vo_caravan","62101"
"61","vo_caravan_105901_win_001","0","1","vo_caravan","62201"
"62","vo_caravan_105901_lose_001","0","1","vo_caravan","62301"
"6","vo_caravan_106001_goal_001","0","1","vo_caravan","63101"
"61","vo_caravan_106001_win_001","0","1","vo_caravan","63201"
"62","vo_caravan_106001_lose_001","0","1","vo_caravan","63301"
"6","vo_caravan_118501_goal_001","0","1","vo_caravan","64101"
"6","vo_caravan_106401_goal_001","0","1","vo_caravan","65101"
"61","vo_caravan_106401_win_001","0","1","vo_caravan","65201"
"62","vo_caravan_106401_lose_001","0","1","vo_caravan","65301"
"7","vo_caravan_105801_appraise_001","0","1","vo_caravan","71101"
"7","vo_caravan_105901_appraise_001","0","1","vo_caravan","72101"
"7","vo_caravan_106001_appraise_001","0","1","vo_caravan","73101"
"7","vo_caravan_106401_appraise_001","0","1","vo_caravan","74101"
"8","vo_caravan_105801_result_001","0","1","vo_caravan","81101"
"8","vo_caravan_105901_result_001","0","1","vo_caravan","82101"
"8","vo_caravan_106001_result_001","0","1","vo_caravan","83101"
"8","vo_caravan_106401_result_001","0","1","vo_caravan","84101"
"2","vo_caravan_319700_dice_001","11","1","vo_caravan","211101"
"2","vo_caravan_319700_dice_002","11","1","vo_caravan","211102"
"2","vo_caravan_319800_dice_001","12","1","vo_caravan","212101"
"2","vo_caravan_319800_dice_002","12","1","vo_caravan","212102"
"2","vo_caravan_319900_dice_001","13","1","vo_caravan","213101"
"2","vo_caravan_319900_dice_002","13","1","vo_caravan","213102"
