516543932a6e69baada45ef65e003338688d5065dcdd53f3ac9d295efd7d8d7e,3f522bb5f6aa106311724842e5403802a15fcac58c0fedc6ae854f2dc8a80731,1512769a9a0ef6b739163f1a8a45800cd7c2d93fafa6de7e3e84d53accaaa00b,c6d487172502cd30aebbfa01d5c2682ab3f056446593932d2b12cd19333862cc,20523558ce4233379c4b6b7612f93209a2f5eaf2878e9545ac72188165bd654a,50d6e27373ed57cabcb65747ad3eb8db9c52322bca55dee64a9b873524f58825,6ecea783a8e2f0a48986e743934a1f0e327945f1fb2467b57d0571f69d9c6403,74aea1aea3edcf2183452fa5b8a79fde13167e4637944e186e27a2ba25dbbee6,d554e58b80c46947f2c9c7abc41b0d2108e3731caf2d71683ec34fff607f5511,caad0d784fae6cacdbd127abdb2648a35cfc7b2669dee1f3fd388bd318fe8237,04fcbd2780b4f6549e89eca7c8665a75eb0b340243547b39cd25760609ebb96b
"idle_normal","1.4","1","-216","5","100","1","1","-103","1","1001"
"","0","1","-140","31","-57","","13","1","13","1002"
"","0","1","-140","31","-57","","14","1","14","1003"
"","","1","","91","","","0","","0","1004"
"","0.2","1","top_luis_arm_crossed_idle","3","0","0","1","1","top_luis_arm_crossed_in","1005"
"","","1","","93","","","4","","0","1006"
"","0.2","1","top_luis_approach_idle","3","0","0","1","1","top_luis_approach_in","1007"
"","","1","","93","","","3.5","","0","1008"
"","0.2","1","","3","1","","1","","top_luis_thinking","1009"
"","","1","","93","","","3.5","","0","1010"
"","0.2","1","","3","1","","1","","top_luis_walk_think","1011"
"","","1","2","2","-103","","1","0","-495","1012"
"","","1","","93","","","2","","0","1013"
"","","1","","4","","","1","","0","1014"
"","","1","2","2","-103","","1","0","-216","1015"
"","","1","","93","","","2","","0","1016"
"","0","1","","3","1","","1","","top_luis_notice","1017"
"","","1","","93","","","1","","0","1018"
"","0.2","1","","3","1","","1","","top_luis_walk_jog","1019"
"","","1","0.5","2","-130","","1","0","-100","1020"
"","","1","","93","","","0.5","","0","1021"
"","","1","","4","","","1","","1","1022"
"","0.2","1","top_luis_sit_idle","3","0","0","1","1","top_luis_sit_in","1023"
"","","1","","93","","","0.1","","0","1024"
"","","1","0.4","2","-140","","1","0","-57","1025"
"","","1","","93","","","1","","0","1026"
"","0.2","1","","3","0","","1","","top_luis_experiment_failer_in","1027"
"","","1","","93","","","2.3","","0","1028"
"","0.1","1","","3","0","","1","","top_luis_experiment_failer_mix","1029"
"","","1","","93","","","2.7","","0","1030"
"","","1","","32","","","13","","1","1031"
"","0.1","1","","3","0","","1","","top_luis_experiment_failer_burst","1032"
"","","1","","93","","","2.7","","0","1033"
"","0.1","1","","3","0","","1","","top_luis_experiment_failer_out","1034"
"","","1","","93","","","1.1","","0","1035"
"","0.2","1","idle_normal","3","0","0","1","1","top_luis_sit_out","1036"
"","","1","0.3","2","-130","","1","0","-100","1037"
"","","1","","93","","","1","","0","1038"
"","0.2","1","","3","0","","1","","walk_normal","1039"
"","","1","1","2","-103","","1","0","-216","1040"
"","","1","","93","","","1","","0","1041"
"","0.1","1","","3","0","","1","","idle_normal","1042"
"","","1","","93","","","0.8","","0","1043"
"","","1","","32","","","13","","0","1044"
"","0.2","1","top_luis_arm_crossed_idle","3","0","0","1","1","top_luis_arm_crossed_in","1045"
"","","1","","93","","","4","","0","1046"
"","0.2","1","top_luis_approach_idle","3","0","0","1","1","top_luis_approach_in","1047"
"","","1","","93","","","3.5","","0","1048"
"","0.2","1","","3","1","","1","","top_luis_thinking","1049"
"","","1","","93","","","3.5","","0","1050"
"","0.2","1","","3","1","","1","","top_luis_walk_think","1051"
"","","1","2","2","-103","","1","0","-495","1052"
"","","1","","93","","","2","","0","1053"
"","","1","","4","","","1","","0","1054"
"","","1","2","2","-103","","1","0","-216","1055"
"","","1","","93","","","2","","0","1056"
"","0","1","","3","1","","1","","top_luis_notice","1057"
"","","1","","93","","","1","","0","1058"
"","0.2","1","","3","1","","1","","top_luis_walk_jog","1059"
"","","1","0.5","2","-130","","1","0","-100","1060"
"","","1","","93","","","0.5","","0","1061"
"","","1","","4","","","1","","1","1062"
"","0.2","1","top_luis_sit_idle","3","0","0","1","1","top_luis_sit_in","1063"
"","","1","","93","","","0.1","","0","1064"
"","","1","0.4","2","-140","","1","0","-57","1065"
"","","1","","93","","","1","","0","1066"
"","0.2","1","","3","0","","1","","top_luis_experiment_success_in","1067"
"","","1","","93","","","2.3","","0","1068"
"","0.1","1","","3","0","","1","","top_luis_experiment_success_mix","1069"
"","","1","","93","","","2.7","","0","1070"
"","","1","","32","","","14","","1","1071"
"","0.1","1","","3","0","","1","","top_luis_experiment_success_burst","1072"
"","","1","","93","","","2.7","","0","1073"
"","0.1","1","","3","0","","1","","top_luis_experiment_success_out","1074"
"","","1","","93","","","1.1","","0","1075"
"","0.2","1","idle_normal","3","0","0","1","1","top_luis_sit_out","1076"
"","","1","0.3","2","-130","","1","0","-100","1077"
"","","1","","93","","","1","","0","1078"
"","0.2","1","","3","0","","1","","walk_normal","1079"
"","","1","1","2","-103","","1","0","-216","1080"
"","","1","","93","","","1","","0","1081"
"","0.1","1","","3","0","","1","","idle_normal","1082"
"","","1","","93","","","0.8","","0","1083"
"","","1","","32","","","14","","0","1084"
"","","1","0","101","0","","1005","","","1085"
"top_iroha_read","1.43","2","400","5","100","1","2","-130","2","2001"
"butterfly","1.4","2","980","5","101","1","11","130","11","2002"
"","0","2","-130","31","400","","11","1","11","2003"
"","","2","","91","","","0","","0","2004"
"","0.2","2","","3","1","","2","","top_iroha_read","2005"
"","","2","","93","","","9","","0","2006"
"","","2","","4","","","11","","1","2007"
"","","2","7","2","130","","11","0","-980","2008"
"","","2","","93","","","2.5","","0","2009"
"","0.2","2","","3","0","","2","","top_iroha_read_notice","2010"
"","","2","","93","","","0.6","","0","2011"
"","0","2","top_iroha_run","3","0","0","2","1","top_iroha_notice_to_run","2012"
"","","2","","93","","","0.4","","0","2013"
"","","2","","32","","","11","","1","2014"
"","","2","","37","","","11","","smokeR","2015"
"","","2","4.2","33","-130","","11","0","-980","2016"
"","","2","4.2","2","-130","","2","0","-980","2017"
"","","2","","93","","","4.2","","0","2018"
"","","2","","32","","","11","","0","2019"
"","","2","","93","","","1","","0","2020"
"","","2","","4","","","11","","0","2021"
"","","2","7","2","130","","11","0","980","2022"
"","","2","","93","","","1.5","","0","2023"
"","","2","","32","","","11","","1","2024"
"","","2","","37","","","11","","smokeL","2025"
"","","2","5.964","33","-130","","11","0","980","2026"
"","0","2","","3","1","","2","","top_iroha_run_joy","2027"
"","","2","","4","","","2","","0","2028"
"","","2","5.964","2","-130","","2","0","980","2029"
"","","2","","93","","","5.964","","0","2030"
"","","2","","32","","","11","","0","2031"
"","","2","","93","","","2","","0","2032"
"","0","2","","3","1","","2","","top_iroha_walk","2033"
"","","2","","4","","","2","","1","2034"
"","","2","3","2","-130","","2","0","400","2035"
"","","2","3","33","-130","","11","0","400","2036"
"","","2","","93","","","3","","0","2037"
"","0.2","2","idle_normal","3","0","0","2","1","top_iroha_walk_out","2038"
"","","2","","93","","","0.4","","0","2039"
"","0.2","2","","3","0","0.2","2","","top_iroha_sit_in","2040"
"","","2","","93","","","4","","0","2041"
"","","2","","101","","","2005","","","2042"
"top_sono_readPaper","1.38","3","350","5","100","1","3","-130","3","3001"
"","1","3","-18","31","475","","10","1","10","3002"
"","","3","","91","","","0","","0","3003"
"","0.2","3","","3","1","","3","","top_sono_readPaper","3004"
"","","3","","93","","","13.6","","0","3005"
"","0.2","3","top_sono_stretch","3","0","0","3","1","top_sono_sit_out","3006"
"","","3","","93","","","3.5","","0","3007"
"","0.2","3","","3","1","","3","","top_sono_drink","3008"
"","","3","","93","","","10.5","","","3009"
"","0.2","3","","3","0","","3","","top_sono_sit_in","3010"
"","","3","","93","","","2.6","","0","3011"
"","","3","","101","","","3004","","","3012"
"top_iroha_read","1.43","4","400","5","101","1","2","-130","2","4001"
"top_luis_thinking","1.4","4","-216","5","100","1","1","-103","1","4002"
"butterfly","1.4","4","980","5","102","1","11","130","11","4003"
"","0","4","-130","31","400","","11","1","11","4004"
"","","4","","91","","","0","","0","4005"
"","0.2","4","","3","1","","1","","top_luis_thinking","4006"
"","0.2","4","","3","1","","2","","top_iroha_read","4007"
"","","4","","93","","","9","","0","4008"
"","","4","","4","","","11","","1","4009"
"","","4","7","2","130","","11","0","-980","4010"
"","","4","","93","","","2.5","","0","4011"
"","0.2","4","","3","0","","2","","top_iroha_read_notice","4012"
"","","4","","93","","","0.6","","0","4013"
"","0","4","top_iroha_run","3","0","0","2","1","top_iroha_notice_to_run","4014"
"","","4","","93","","","0.4","","0","4015"
"","","4","","32","","","11","","1","4016"
"","","4","","37","","","11","","smokeR","4017"
"","","4","4.2","33","-130","","11","0","-980","4018"
"","","4","4.2","2","-130","","2","0","-980","4019"
"","","4","","93","","","1.9","","0","4020"
"","0.2","4","top_luis_surprise_idle","3","0","0","1","1","top_luis_surprise_in","4021"
"","","4","","93","","","2.3","","0","4022"
"","","4","","32","","","11","","0","4023"
"","","4","","93","","","1","","0","4024"
"","","4","","4","","","11","","0","4025"
"","","4","7","2","130","","11","0","980","4026"
"","","4","","93","","","1.5","","0","4027"
"","","4","","32","","","11","","1","4028"
"","","4","","37","","","11","","smokeL","4029"
"","","4","5.964","33","-130","","11","0","980","4030"
"","0","4","","3","1","","2","","top_iroha_run_joy","4031"
"","","4","","4","","","2","","0","4032"
"","","4","5.964","2","-130","","2","0","980","4033"
"","","4","","93","","","2.2","","0","4034"
"","0","4","","3","1","","1","","top_luis_surprise_look","4035"
"","","4","","93","","","3.764","","0","4036"
"","0.2","4","","3","1","","1","","top_luis_thinking","4037"
"","","4","","32","","","11","","0","4038"
"","","4","","93","","","2","","0","4039"
"","0","4","","3","1","","2","","top_iroha_walk","4040"
"","","4","","4","","","2","","1","4041"
"","","4","3","2","-130","","2","0","400","4042"
"","","4","3","33","-130","","11","0","400","4043"
"","","4","","93","","","3","","0","4044"
"","0.2","4","idle_normal","3","0","0","2","1","top_iroha_walk_out","4045"
"","","4","","93","","","0.4","","0","4046"
"","0.2","4","","3","0","0.2","2","","top_iroha_sit_in","4047"
"","","4","","93","","","4","","0","4048"
"","","4","","101","","","4007","","","4049"
"top_sono_readPaper","1.4","5","350","5","100","1","3","-130","3","5001"
"top_iroha_read_loop","1.4","5","452","5","110","1","2","-130","2","5002"
"","","5","","91","","","0","","0","5003"
"","0.2","5","","3","1","","2","","top_iroha_read_loop","5004"
"","0.2","5","","3","1","","3","","top_sono_readPaper","5005"
"","","5","","93","","","13.6","","0","5006"
"","0.2","5","top_sono_stretch","3","0","0","3","1","top_sono_sit_out","5007"
"","","5","0.3","2","-130","","3","0","287","5008"
"","","5","","93","","","3.5","","0","5009"
"","0.2","5","","3","1","","3","","top_sono_drink","5010"
"","","5","","93","","","2.6","","0","5011"
"","0.4","5","","3","0","","2","","top_iroha_read_look","5012"
"","","5","","93","","","7.9","","0","5013"
"","0.2","5","","3","0","","3","","top_sono_sit_in","5014"
"","","5","","93","","","0.1","","0","5015"
"","0.2","5","","3","1","","2","","top_iroha_read_loop","5016"
"","","5","0.3","2","-130","","3","0","350","5017"
"","","5","","93","","","2.5","","0","5018"
"","","5","","101","","","5005","","","5019"
"idle_normal","1.4","6","-216","5","100","1","1","-103","1","6001"
"top_sono_readPaper_loop","1.38","6","350","5","101","1","3","-130","3","6002"
"","1","6","-18","31","475","","10","1","10","6003"
"","0","6","-140","31","56","","13","1","13","6004"
"","0","6","-140","31","56","","14","1","14","6005"
"","","6","","91","","","0","","0","6006"
"","0.2","6","","3","1","","3","","top_sono_readPaper_loop","6007"
"","0.2","6","top_luis_arm_crossed_idle","3","0","0","1","1","top_luis_arm_crossed_in","6008"
"","","6","","93","","","4","","0","6009"
"","0.2","6","top_luis_approach_idle","3","0","0","1","1","top_luis_approach_in","6010"
"","","6","","93","","","3.5","","0","6011"
"","0.2","6","","3","1","","1","","top_luis_thinking","6012"
"","","6","","93","","","3.5","","0","6013"
"","0.2","6","","3","1","","1","","top_luis_walk_think","6014"
"","","6","2","2","-103","","1","0","-495","6015"
"","","6","","93","","","2","","0","6016"
"","","6","","4","","","1","","0","6017"
"","","6","2","2","-103","","1","0","-216","6018"
"","","6","","93","","","2","","0","6019"
"","0","6","","3","1","","1","","top_luis_notice","6020"
"","","6","","93","","","1","","0","6021"
"","0.2","6","","3","1","","1","","top_luis_walk_jog","6022"
"","","6","0.5","2","-130","","1","0","-100","6023"
"","","6","","93","","","0.5","","0","6024"
"","","6","","4","","","1","","1","6025"
"","0.2","6","top_luis_sit_idle","3","0","0","1","1","top_luis_sit_in","6026"
"","","6","","93","","","0.1","","0","6027"
"","","6","0.4","2","-140","","1","0","-57","6028"
"","","6","","93","","","0.4","","0","6029"
"","","6","0","2","-140","","1","0","-16","6030"
