28e498236ae16190beb715aaf5abbf8372f5b6734b321b97ea9950dfea1af66e,4f148a0e8f48fe7c098c2361f8846d20e7318acb42cf4369998ec2c1106abc13,ca6f0340c6c5119a52c7ea0f0cccd984c1dfd4b45d98ccb631723d603aeb3401,e6043cbc110b571f320caf9ce87e6291f5966f300e9bb3536ff538475c4e37fc,b757b1d5535c13e89236965068d63cee70b5483f1ac01629ec4a920ad3d2f323,6efbae135cff29030e9fb746015780c28b538b8d7b44b11b9385f1919d38e8ea,97c8568a340df5b514812a497e3cf954e1fbaa174267fb869643c0e68b5bf448,1a005895cb41143cdc69920bd569439d245074da11ff08330ca543ba48f1ec64,2636e042414e5bd343d39394a845bb8beb024407908ff5c8c039277aeea3a47f,90f6567329ae5038d93cc5c05fc82d7aee57b2b87767419d010cce1ccc30fd78,5f32d3397048dc463985c78885e190459a307c2354c33e1052d6f5ea95795ad4,6a6d76faa8c2cbaa2d8a813f55d93a8780a859782cb3a29ea238b38156e9b8c0,8639a6b94ab4ebd4b86af8be8dae0e72f10242528b1132b7f4f6fd36b071ffd0,43a8dd4d7343f87b881bf1e3d2a91d039d4d5b2440d4d577bfff00830598eb00,fe687685a16535312311e9c5776a3838dac9abe29fafabc9d1f60855d5084b66,dac7bde5418f440e1221496a02c8e2b67d818feaab58ba7e026fc900c4eac9e8
"20000","0","1","0","0","15","0","0","プリンを15種類食べよう","0","12","0","0","94002","1","0"
"30000","0","1","0","0","30","0","0","プリンを30種類食べよう","0","12","0","0","94002","2","0"
"50","0","1","0","0","40","0","0","プリンを40種類食べよう","0","8","0","0","91002","3","0"
"50000","0","1","0","0","50","0","0","プリンを50種類食べよう","0","12","0","0","94002","4","0"
"50","0","1","0","0","55","0","0","プリンを55種類食べよう","0","8","0","0","91002","5","0"
"100000","0","1","0","0","60","0","0","プリンを60種類食べよう","0","12","0","0","94002","6","0"
"1","0","1","0","0","66","0","91002","プリンを全66種類食べよう","0","15","0","8","11001164","7","100"
"50000","0","2","0","0","25","0","0","プリンノートを25％コンプリートしよう","0","12","0","0","94002","8","0"
"50","0","2","0","0","50","0","0","プリンノートを50％コンプリートしよう","0","8","0","0","91002","9","0"
"100000","0","2","0","0","75","0","0","プリンノートを75％コンプリートしよう","0","12","0","0","94002","10","0"
"1","8","2","0","0","100","0","11001165","プリンノートを100％コンプリートしよう","91002","16","100","15","9000100","11","1"
