79b9525a8acd5c4cc49e215cd15c246b56a6d6a73ec8ca7943b54a2118975eaf,f7d6ec78159187260b3b79c01e7923f43aa9465df86cb34e63b76a9310f801fe,eccefba83a7788f5ab91dd80c4ef2c113f79307072284f10e1f662bb03137610,ea5c97c1193b8c3110c9678be8ca45c82c0311e76ba082b46fef053717e5a42e,4e89a821c45f3d5926588fba767fc9524194241f9cc9831491197bd313a3afb0,597f4a80a237629bbc362430e2b57818263ddc2756db176416b2abea5155c23f
"100","1","","200","0","2"
"101","2","","200","2","300"
"200","200","","201","7","100207"
"200","201","","100900","6","100206"
"300","300","","301","0","302"
"301","301","","302","0","100301"
"200","302","","100910","1","303"
"200","303","","100910","2","100201"
"0","100201","201","0","0","0"
"0","100206","206","0","0","0"
"0","100207","207","0","0","0"
"0","100301","301","0","0","0"
"300","100900","1","0","0","0"
"0","100901","1","0","0","0"
"0","100910","1,2000","0","0","0"
