f545951c953c1baaabb3ceca4c84c7d3562ebe7c89c0a08fbc9ede0d5cf37df2,7dad29c397389e5975875d7a4d798c17faef31a42ece17c1f0de35cee1fb3239,f786c63ae60f19861edf42bf2fb92a02b0f0dcf7479946e80b25133ee803397b,cfbb9772bc7ad8a8e7ce9bcc28cd527de1eee927297380bf70c1704173b269e6,0884cded0cd6157d7dd6207439eaa93f2ad399630d521537dc0714299042ce8c,a33d7d91b6535381f3546db41b03c79cc1bc7edc352a3a294b4cd2f9f90b4814,eb5a775f16c315e1ca84ddfca2268d3c5fcc6a9d247d3a04e587fa7d5ca9b0a9,1dc109440ecf4697120ce2bd5bd40fe64cd46c86c851098a83c4b3546e54b684,6937c3dce5cffb7c87bd4ffe4e7dfcd96cf44b33d4d135168b1e8adb2cd8bec0,a91457087ba0d8720d149eea9bc75cdcc3a7ef8f250af5955b6ef7f5c7f7b616,a0ec73af9c52d55d1e8ef613ec9434f33d94ef8b13ba9cc5fbbd09f71f7ad594,2a61c729b736e0664143165e8c42ed97330772f3d344c421cdb97f7fe38e596d
"0","1","0","1","0","2","vo_10020900","0","0","0","vo_10020900_0001","1010001"
"180","2","0.818181818181818","1","0","1","0","0","0","1","0","1010002"
"0","3","0","1","0.818181818181818","4","0","1","0","1","0","1010003"
"148","4","0.634285714285714","1","0","1","0","0","0","2","0","1010004"
"0","5","0","1","1.03428571428571","4","0","1","0","2","0","1010005"
"460","6","1.33714285714286","1","0","1","0","0","148","2","0","1010006"
"0","7","0","1","2.13714285714286","4","0","1","0","2","0","1010007"
"0","8","0","1","0","2","vo_10020900","0","0","0","vo_10020900_0002","1010008"
"223","9","1.12948051948052","1","0","1","0","0","0","3","0","1010009"
"0","10","0","1","2.12948051948052","4","0","1","0","3","0","1010010"
"0","11","0","1","0","2","vo_10020900","0","0","0","vo_10020900_0003","1010011"
"343","12","0.545454545454545","1","0","1","0","0","223","3","0","1010012"
"0","13","0","1","1.04545454545455","4","0","1","0","3","0","1010013"
"700","14","1.71545454545455","1","0","1","0","0","343","3","0","1010014"
"0","15","0","1","2.71545454545455","4","0","1","0","3","0","1010015"
"0","16","0","1","0","2","vo_10020900","0","0","0","vo_10020900_0004","1010016"
"275","17","1.67857142857143","1","0","1","0","0","0","4","0","1010017"
"0","18","0","1","2.17857142857143","4","0","1","0","4","0","1010018"
"0","19","0","1","0","2","vo_10020900","0","0","0","vo_10020900_0005","1010019"
"465","20","1.28311688311688","1","0","1","0","0","275","4","0","1010020"
"0","21","0","1","1.98311688311688","4","0","1","0","4","0","1010021"
"715","22","1.2987012987013","1","0","1","0","0","465","4","0","1010022"
"0","23","0","1","1.9987012987013","4","0","1","0","4","0","1010023"
"400","24","2.07792207792208","1","0","1","0","0","0","5","0","1010024"
"0","25","0","1","3.07792207792208","4","0","1","0","5","0","1010025"
"0","26","0","1","0","2","vo_10020900","0","0","0","vo_10020900_0006","1010026"
"182","27","1.06363636363636","1","0","1","0","0","0","6","0","1010027"
"0","28","0","1","1.56363636363636","4","0","1","0","6","0","1010028"
"700","29","2.96","1","0","1","0","0","182","6","0","1010029"
"0","30","0","1","3.96","4","0","1","0","6","0","1010030"
"0","31","0","1","0","2","vo_10020900","0","0","0","vo_10020900_0007","1010031"
"85","32","0.386363636363636","1","0","1","0","0","0","7","0","1010032"
"0","33","0","1","0.886363636363636","4","0","1","0","7","0","1010033"
"750","34","3.54090909090909","1","0","1","0","0","85","7","0","1010034"
"0","35","0","1","4.54090909090909","4","0","1","0","7","0","1010035"
"0","36","0","1","0","2","vo_10020900","0","0","0","vo_10020900_0008","1010036"
"95","37","0.431818181818182","1","0","1","0","0","0","8","0","1010037"
"0","38","0","1","1.03181818181818","4","0","1","0","8","0","1010038"
"0","39","0","1","0","2","vo_10020900","0","0","0","vo_10020900_0009","1010039"
"235","40","0.709090909090909","1","0","1","0","0","95","8","0","1010040"
"0","41","0","1","1.30909090909091","4","0","1","0","8","0","1010041"
"0","42","0","1","0","2","vo_10020900","0","0","0","vo_10020900_0010","1010042"
"750","43","3.07662337662338","1","0","1","0","0","235","8","0","1010043"
"0","44","0","1","4.07662337662338","4","0","1","0","8","0","1010044"
"0","45","0","1","0","2","vo_10020900","0","0","0","vo_10020900_0011","1010045"
"170","46","1.43506493506493","1","0","1","0","0","0","9","0","1010046"
"0","47","0","1","2.43506493506493","4","0","1","0","9","0","1010047"
"0","48","0","1","0","2","vo_10020900","0","0","0","vo_10020900_0012","1010048"
"720","49","2.75","1","0","1","0","0","170","9","0","1010049"
"0","50","0","1","3.95","4","0","1","0","9","0","1010050"
"0","51","0","1","0","2","vo_10020900","0","0","0","vo_10020900_0013","1010051"
"585","52","1.67792207792208","1","0","1","0","0","170","10","0","1010052"
"0","53","0","1","2.27792207792208","4","0","1","0","10","0","1010053"
"750","54","0.9","1","0","1","0","0","585","10","0","1010054"
