bcbbbb2f83a4d6f3e2b986deaa7aabbb9ff8c851d550042eea696caf6673ed7b,efa4b7f899a69e15a759a63dd7aa6febc1de44f9087b31b00e27c0569c41b786,05c4e0f7387f3f54abff905fecfff544d800637785693bb166b92b43c72f75aa,4646346b489bf1cbf01a4361afabcc8ad035d1218cbf98106adedae943a5a71e,1b5919f31c44ddb125545243821b71bbc58c7b4fc1ed5d0f5c9224b933cb7bf7
"1045","1025","1","1048","1037"
"1006","1003","2","1004","1062"
"1006","1003","3","1007","1029"
"1062","1047","4","1045","1025"
"1022","1043","5","1013","1003"
"1019","1006","6","1004","1048"
"1003","1062","7","1033","1037"
"1059","1056","8","1053","1050"
"1034","1001","9","1011","1030"
"1026","1063","10","1023","1046"
"1044","1020","11","1038","1014"
"1040","1017","12","1049","1008"
"1020","1023","13","1044","1017"
"1020","1017","14","1038","1001"
"1008","1030","15","1048","1036"
"1011","1044","16","1038","1004"
"1022","1043","17","1011","1005"
"1047","1046","18","1016","1042"
"1063","1014","19","1028","1041"
"1058","1052","20","1055","1061"
"1024","1025","21","1001","1031"
"1005","1024","22","1063","1064"
"1044","1040","23","1000","1066"
"1010","1000","24","1038","1076"
"1043","1003","25","1019","1077"
"1068","1070","26","1069","1071"
"1090","1092","27","1091","1089"
"1099","1098","28","1100","1097"
"1103","1102","29","1104","1101"
"1107","1106","30","1108","1105"
"1021","1012","31","1006","1083"
"1084","1087","32","1085","1086"
"1096","1094","33","1095","1093"
