3e976915124ca504debf8c3a2b822b419d23a75dc1075e1c5ee44d561c9954e0,201c8cc48ebab3c5b20b1cf738e5978d96ccf80c66a4279011fb5f77714548b8,9050f6ec80bff8e8dde471a2b50c0fd8d121ce248512c7709588025bec2431d3,b79007f76f31c06016c6f17f92cd5bda76cdc155466e49285445d63bab6e8e14,c205c4b2b6174a2fcb5a0207ad489ce24e01c03f5b71185c33d8cbed101dee6e,b6c2bd7e355c0d91f44be60185cf6a91100fc8c4f08dc739a4411fb8a412f8f8,36c183371000810b9be77f411820c3a161a9f2fa93fd2623a21fde042cfb46ef,e2c27663622164547856c23073c4b9d7ffd7f98ac9c63e1bc93225e4f35c0a34,e397079f35ac26e8940656215198414423120642fcfe6cf4ad30fff3c5b89d30,46a49112899228af1a5dad0094586b30878728b46f5ba77fd6310c25e1b1333e
"1","0","1","","0","2","vo_10011600_0101","vo_10011600","0","1010001"
"1","0","2","　明日から","8","1","0","0","0","1010002"
"1","1.625","3","","0","4","0","0","1","1010003"
"1","0","4","聖テレサ女学院に通うことになっちゃった！","10","1","0","0","0","1010004"
"1","4","5","","0","4","0","0","1","1010005"
"1","0","6","","0","2","vo_10011600_0102","vo_10011600","0","1010006"
"1","0","7","　なんで、","8","1","0","0","0","1010007"
"1","1.375","8","","0","4","0","0","1","1010008"
"1","0","9","どうしてこんなことになっちゃったんだろう。\n","9","1","0","0","0","1010009"
"1","3.33333333333333","10","","0","4","0","0","1","1010010"
"1","0","11","","0","2","vo_10011600_0103","vo_10011600","0","1010011"
"1","0","12","ミサト先生は","8","1","0","0","0","1010012"
"1","1.75","13","","0","4","0","0","1","1010013"
"1","0","14","私ならきっとやれると言ってくれたけど……","10","1","0","0","0","1010014"
"1","3","15","","0","4","0","0","1","1010015"
"1","0","16","絶対ムリだー！\n","8","1","0","0","0","1010016"
"1","3.875","17","","0","4","0","0","1","1010017"
"1","0","18","","0","2","vo_10011600_0104","vo_10011600","0","1010018"
"1","0","19","でも。","8","1","0","0","0","1010019"
"1","2.375","20","","0","4","0","0","1","1010020"
"1","0","21","でも……","8","1","0","0","0","1010021"
"1","2.5","22","","0","4","0","0","1","1010022"
"1","0","23","","0","2","vo_10011600_0105","vo_10011600","0","1010023"
"1","0","24","でも、","8","1","0","0","0","1010024"
"1","1.375","25","","0","4","0","0","1","1010025"
"1","0","26","もしも、","8","1","0","0","0","1010026"
"1","1.5","27","","0","4","0","0","1","1010027"
"1","0","28","私が聖テレサ女学院で頑張ることが出来たら。\n\n","8","1","0","0","0","1010028"
"1","4.875","29","","0","4","0","0","1","1010029"
"1","0","30","","0","2","vo_10011600_0106","vo_10011600","0","1010030"
"1","0","31","……友達、","6","1","0","0","0","1010031"
"1","1.58333333333333","32","","0","4","0","0","1","1010032"
"1","0","33","できるかな？","8","1","0","0","0","1010033"
"1","1.75","34","","0","4","0","0","1","1010034"
"2","0","1","","0","2","vo_10011600_0201","vo_10011600","0","1020001"
