862fb81bc1c32ad536801c41362880155354d282b8e277002cb62270abdb516f,678dd687ab98bd1dc1fd47f2b990291fa41f47c79add33f4f580517ec72e1e7b,e6bac6f6c468ad8e093164d4b64e500a54e2c59ee9704495a6a75417562f27f0,55cff5302c8acb2974d333af7d67934a1228f4d49319b5ace095a6edc9a33ee2,3ca84190ddaebaca645e7da5bc4453d74f25299828e9145f54ec13bbf8f313a1,457f8264233cab96c8421e037158a9530adee6e2706bc26103d7dbb891049476,4fed7240a1ed1d621b44873c0162203d9c6801004a31149081f6052f63d6e575,f861766d55a74d67a4a387287eb60cfa515186d3119a1e2a539d732866b39b48,456cdabdff67e366a05ff28255c56531f1bdbc929a351208207988853c764a75,d8f885416bb19571695d309f35961014ad5b1e4beca1395989107a4cb64790f5,927cc3533395175fd1ef025668e6c55184afcea353c0bc522a74b4ea901703e1,f87f20c37538558591d9a872fbc44cf3240a642975026a540a623cdb8554d06d,2e72c26f67fd86e64ab2bdd5792e5ead9b96e7c2d863ab078c3cbc84175ff00e
"A2001197329/","-1","-1","1","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-01/1361481742?app=itunes","2018-10-18 15:00:00","Lost Princess","","","20","","1","ろすとぷりんせす"
"A2001197334/","-1","-1","2","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-02/1361483195?app=itunes","2018-10-18 15:00:00","Connecting Happy！！","","","17","","2","こねくてぃんぐはっぴー"
"","-1","1000","3","","2018-10-18 15:00:00","旅の始まり","","","20","","3","たびのはじまり"
"","-1","1000","4","","2018-10-18 15:00:00","森を駆ける風","","","20","","4","もりをかけるかぜ"
"","-1","1000","5","","2018-10-18 15:00:00","メサルティム","","","20","","5","めさるてぃむ"
"","-1","1000","6","","2018-10-18 15:00:00","ハツネのプレゼント大作戦","","","20","","6","はつねのぷれぜんとだいさくせん"
"","-1","1000","7","","2018-10-18 15:00:00","ジズ","","","20","","7","じず"
"A2001305115/","-1","1500","8","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-04/1411112401?app=itunes","2018-10-18 15:00:00","Smiley Contrast","","","20","","8","すまいりーこんとらすと"
"","-1","1000","9","","2018-10-18 15:00:00","ミノタウロス","","","20","","9","みのたうろす"
"","-1","1000","10","","2018-10-18 15:00:00","リトル・リリカル・アドベンチャーズ","","","20","","10","りとるりりかるあどべんちゃーず"
"","-1","1000","11","","2018-10-18 15:00:00","アルマ","","","20","","11","あるま"
"A2001336697/","-1","1500","12","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-05/1436280052?app=itunes","2018-10-18 15:00:00","リトルアドベンチャー","","","18","","12","りとるあどべんちゃー"
"","-1","1000","13","","2018-10-18 15:00:00","グラットン","","","20","","13","ぐらっとん"
"","-1","1000","14","","2018-10-18 15:00:00","トリックオアプリン！約束のハロウィンパーティー","","","20","","14","とりっくおあぷりんやくそくのはろうぃんぱーてぃー"
"","-1","1000","15","","2018-10-18 15:00:00","ジャック・オー・プリン","","","17","","15","じゃっくおーぷりん"
"A2001411119/","-1","1500","16","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-07/1450772144?app=itunes","2018-10-18 15:00:00","もっと！ふたりのパ～ティ～ナイト","","","20","","16","もっとふたりのぱーてぃーないと"
"","-1","1000","17","","2018-10-18 15:00:00","耀う氷の結晶","","","20","","17","かがようこおりのけっしょう"
"A2001253711/","3010003","1500","18","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-03/1386518679?app=itunes","2018-11-19 15:00:00","Shining Future","","","20","","18","しゃいにんぐふゅーちゃー"
"A2001253711/","3010003","1500","19","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-03/1386518679?app=itunes","2018-11-19 15:00:00","風への誓い","","","20","","19","かぜへのちかい"
"A2001305115/","3010003","1500","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-04/1411112401?app=itunes","2018-11-19 15:00:00","君の笑顔が見たいから","","","18","","20","きみのえがおがみたいから"
"A2001336697/","1054007","1500","21","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-05/1436280052?app=itunes","2018-11-19 15:00:00","アマノジャクハート！","","","18","","21","あまのじゃくはーと"
"","-1","1000","22","","2018-11-19 15:00:00","不穏な空気と立ち向かう闘志","","","20","","22","ふおんなくうきとたちむかうとうし"
"","-1","1000","23","","2018-11-19 15:00:00","ツインピッグス","","","20","","23","ついんぴっぐす"
"","-1","1000","24","","2018-11-19 15:00:00","ヴァンパイアハンターwithイリヤ","","","20","","24","ヴぁんぱいあはんたーうぃずいりや"
"","-1","1000","25","","2018-11-19 15:00:00","ガルグ","","","20","","25","がるぐ"
"A2001552686/","-1","1500","26","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-09/1474199447?app=itunes","2018-11-19 15:00:00","Peaceful*ちゃんぷるー","","","20","","26","ぴーすふるちゃんぷるー"
"","-1","1000","27","","2018-11-19 15:00:00","レサトパルト","","","20","","27","れさとぱると"
"","-1","1000","28","","2018-11-19 15:00:00","トワイライトブレイカーズ","","","20","","28","とわいらいとぶれいかーず"
"","-1","1000","29","","2018-11-19 15:00:00","オラム","","","20","","29","おらむ"
"A2001502066/","-1","1500","30","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-08/1465192235?app=itunes","2018-11-19 15:00:00","サイツヨでしょ、でしょ？","","","20","","30","さいつよでしょでしょ"
"","-1","1000","31","","2018-11-19 15:00:00","氷海の地","","","20","","31","ひょうかいのち"
"","-1","1000","32","","2018-12-19 15:00:00","氷と雪の世界","","","20","","32","こおりとゆきのせかい"
"","-1","1000","33","","2018-12-19 15:00:00","爽やかな風","","","20","","33","さわやかなかぜ"
"","-1","1000","34","","2018-12-19 15:00:00","カルキノス","","","20","","34","かるきのす"
"","-1","1000","35","","2018-12-19 15:00:00","デンジャラスバカンス！渚のグルメプリンセス","","","20","","35","でんじゃらすばかんすなぎさのぐるめぷりんせす"
"","-1","1000","36","","2018-12-19 15:00:00","テンタパス","","","20","","36","てんたぱす"
"A2001197334/","-1","1500","37","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-02/1361483195?app=itunes","2018-12-19 15:00:00","えがおのマイホーム","","","20","","37","えがおのまいほーむ"
"","-1","1000","38","","2018-12-19 15:00:00","サジタリウス","","","20","","38","さじたりうす"
"","-1","1000","39","","2018-12-19 15:00:00","忘却のキャロル","","","20","","39","ぼうきゃくのきゃろる"
