2491ab6487ede9ab204d237fb5f95bb112311afcb2bf9e25188a37df7d0fba68,6c9e269b1bc6f052f7f1d7d3265702da9c3a01df887696e459e60ac6e9169ab1,3d9942bddc60a4f2e53f05faa9677a2dd7bfdeb2fd2ed2ae6d9038fb5711e64d,4dcdaa17b9dbd43525f74f1c5ce16d457df11fe6a85aa7beaa3066a2a9111bd1,d029077d756053e4fe482f7d7f65fd89685624da4af007d6e0c6cd548acc2656
"1","300","135","1","1"
"1","-100","425","2","1"
"1","125","-100","3","2"
"1","-415","375","4","2"
"1","-50","25","5","3"
"1","-300","-25","6","3"
"1","-335","-195","7","4"
"1","-415","105","8","4"
"1","-160","135","9","5"
"1","-40","345","10","6"
"1","90","-230","11","7"
"1","-420","230","12","8"
"1","250","30","13","9"
"1","-245","280","14","10"
"1","-110","-150","15","11"
