a4257c262d625a2810ab459b29a10cc3299c5defbafb360391eb6fa68aa99d09,b9d006e0bde01009e7f886045d77598beabefcda371ba52da099f7f237a73d19,9a0893981966eaf7987f5f7afd455abaa66a5a334ccd701c0176027dc120f373,a53c17504e77d6c188ef169fb70ecaf1c55e3ac5459d6528ae027c73bb72999d,7eb8fc07b154deaa20ab4cb3db4387ae94e1589f3d699a7214de792bccf24df7,6af504a84b9078a2a7786231c07d302618f2ca39f53c55a06456d35ae4e504fe,3fac99a6fab6ebc1482794b33d016363792857a7cac9d1830b6a076824dff4f0
"1","1","0","0","","10008111","10008101"
"2","1","0","0","","10008115","10008112"
"3","3","0","0","","10008103","10008101"
"4","3","0","0","","10008115","10008105"
"5","4","0","0","","150","10008112"
"6","1","0","0","","10028111","10028101"
"7","1","0","0","","10028115","10028112"
"8","3","0","0","","10028103","10028101"
"9","3","0","0","","10028115","10028105"
"10","4","0","0","","150","10028112"
"11","11","0","20012107","","20012104","20012104"
"12","11","0","20012109","","20012108","20012108"
"13","11","0","20012114","","20012110","20012110"
"14","11","0","20012115","","20012115","20012115"
"15","4","0","0","","120","20012110"
"16","1","0","0","","20008111","20008101"
"17","1","0","0","","20008115","20008112"
"18","3","0","0","","20008103","20008101"
"19","3","0","0","","20008115","20008105"
"20","4","0","0","","150","20008112"
